task,metric_name,train_accuracy,val_accuracy,test_accuracy,train_roc_auc,val_roc_auc,test_roc_auc,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,geometry_error,dataset,model,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,mean_active_charts,run_id,config_hash,source_hash
link_prediction,roc_auc,,,,,,,0.6659697567389876,0.6676384839650146,0.700124947938359,0.6659697567389876,0.6676384839650146,0.700124947938359,0.6545718742002592,0.6300094462809762,0.6840114427217107,,,,,,,,,,,,,,,,atlas_het,appnp,0,4,4,0,4,0.6676384839650146,5059,120,780,0,0.1644890308380127,cpu,0,,atlas_het__link_prediction__appnp__split0__seed0__e1575cab1369,e1575cab1369,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.8840302432610124,0.7197001249479384,0.7996668054977092,0.8840302432610124,0.7197001249479384,0.7996668054977092,0.870913290608621,0.743911535282199,0.840453249974026,,,,,,,,,,,,,,,,atlas_het,gcn,0,1,4,0,4,0.7197001249479384,899,120,780,0,0.10964441299438477,cpu,0,,atlas_het__link_prediction__gcn__split0__seed0__95854a6f32f7,95854a6f32f7,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.8067192636423405,0.5914202415660141,0.7434402332361516,0.8067192636423405,0.5914202415660141,0.7434402332361516,0.7865201509329073,0.6138281386185944,0.7819846925479188,,,0.010601380251193645,0.6285714285714286,,,,,,,,,,,,atlas_het,geometry_moe,0,3,4,0,4,0.5914202415660141,1356,120,780,0,0.1690230369567871,cpu,0,3.0,atlas_het__link_prediction__geometry_moe__split0__seed0__7524d66fdf67,7524d66fdf67,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.8462327416173571,0.6355685131195336,0.7292794668887962,0.8462327416173571,0.6355685131195336,0.7292794668887962,0.8298816776231913,0.6142470630544167,0.7325074744255506,,,,,,,,,,,,,,,,atlas_het,gprgnn,0,3,4,0,4,0.6355685131195336,5068,120,780,0,0.19155335426330566,cpu,0,,atlas_het__link_prediction__gprgnn__split0__seed0__ee12b43e62dd,ee12b43e62dd,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.6007363576594347,0.5935027072053312,0.616826322365681,0.6007363576594347,0.5935027072053312,0.616826322365681,0.6399760356866064,0.6486974014408831,0.6509420377075914,,,-0.017718089958059225,0.6285714285714286,0.0549553819000721,0.0,0.0,0.0,0.0,2.078181023534853e-05,2.078181023534853e-05,0.0,2.078181023534853e-05,0.010662904940545559,0.20358282327651978,atlas_het,graphatlas,0,1,4,0,4,0.5935027072053312,10338,120,780,0,0.6870427131652832,cpu,0,2.0,atlas_het__link_prediction__graphatlas__split0__seed0__ee9d1551729e,ee9d1551729e,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.601137409598948,0.5935027072053312,0.616826322365681,0.601137409598948,0.5935027072053312,0.616826322365681,0.64046679466145,0.6486974014408831,0.6509420377075914,,,-0.017718089958059225,0.6285714285714286,0.054956138134002686,9.67054916145571e-07,2.146375436495873e-06,1.8168240785598755e-05,0.000104513019323349,2.077797216770705e-05,2.077797216770705e-05,0.0,2.077797216770705e-05,0.010066905058920383,0.18552276492118835,atlas_het,graphatlas_free_transition,0,1,4,0,4,0.5935027072053312,10374,120,780,0,0.5938076972961426,cpu,0,2.0,atlas_het__link_prediction__graphatlas_free_transition__split0__seed0__14fe9c56f6ea,14fe9c56f6ea,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.6011374095989481,0.5935027072053312,0.616826322365681,0.6011374095989481,0.5935027072053312,0.616826322365681,0.6404592603897017,0.6486974014408831,0.6509420377075914,,,-0.017718089958059225,0.6285714285714286,0.0549560971558094,9.737452728586504e-07,2.109882871081936e-06,1.8768012523651123e-05,0.00010397657752037048,2.0900479285046458e-05,2.0900479285046458e-05,0.0,2.0900479285046458e-05,0.010694565251469612,0.20358069241046906,atlas_het,graphatlas_no_transport,0,1,4,0,4,0.5935027072053312,10338,120,780,0,0.5573573112487793,cpu,0,2.0,atlas_het__link_prediction__graphatlas_no_transport__split0__seed0__38c7b2481dfb,38c7b2481dfb,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.8955029585798817,0.8129945855893378,0.865472719700125,0.8955029585798817,0.8129945855893378,0.865472719700125,0.9208736014764184,0.8478529934538975,0.9126645366735655,,,,,,,,,,,,,,,,atlas_het,h2gcn,0,1,4,1,3,0.8129945855893378,25859,120,780,0,0.1795356273651123,cpu,0,,atlas_het__link_prediction__h2gcn__split0__seed0__72a27263eb7b,72a27263eb7b,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.6819592373438528,0.5751770095793419,0.6014160766347356,0.6819592373438528,0.5751770095793419,0.6014160766347356,0.7109305585010166,0.5325069164838584,0.6507448701697196,,,,,,,,,,,,,,,,atlas_het,linkx,0,1,4,0,4,0.5751770095793419,6795,120,780,0,0.12916278839111328,cpu,0,,atlas_het__link_prediction__linkx__split0__seed0__2cb2a0bf5f16,2cb2a0bf5f16,10fa52ae5f317d93
link_prediction,roc_auc,,,,,,,0.8936752136752135,0.8092461474385672,0.8692211578508955,0.8936752136752135,0.8092461474385672,0.8692211578508955,0.9189432588459286,0.848927642923381,0.9127000320407859,,,,,,,,,,,,,,,,atlas_het,mixhop,0,1,4,0,4,0.8092461474385672,25859,120,780,0,0.19969677925109863,cpu,0,,atlas_het__link_prediction__mixhop__split0__seed0__a96dac762d43,a96dac762d43,10fa52ae5f317d93
