dataset,model,test_metric,runtime,parameters,peak_cuda_memory_bytes,num_nodes,num_edges,peak_cuda_memory_mb
atlas_het,graphatlas_c_beta_-1,0.9090909361839294,18.68187475204468,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_-1,0.9090909361839294,18.513110637664795,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_-1,0.8163265585899353,15.296189069747925,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_-1,0.8163265585899353,15.355329513549805,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_-1,0.8163265585899353,15.383187770843506,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_-1,0.7346938848495483,18.25077795982361,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_-1,0.7346938848495483,18.34464263916016,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_-1,0.7346938848495483,18.33250093460083,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_-1,0.704081654548645,15.279368877410889,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_-1,0.704081654548645,15.438860177993774,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_-1,0.704081654548645,15.403611660003662,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_-1,0.8061224222183228,17.37334442138672,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_-1,0.8061224222183228,17.44809365272522,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_-1,0.8061224222183228,17.61129331588745,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_-2,0.8989899158477783,23.921289920806885,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_-2,0.8989899158477783,23.42477011680603,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_-2,0.8989899158477783,23.56964111328125,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_-2,0.8673469424247742,20.601698398590088,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_-2,0.8673469424247742,20.41807651519776,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_-2,0.8673469424247742,20.338666677474976,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_-2,0.704081654548645,17.513609170913696,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_-2,0.704081654548645,17.507529497146606,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_-2,0.704081654548645,17.452266454696655,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_-2,0.6938775777816772,13.560182332992554,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_-2,0.6938775777816772,13.664517879486084,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_-2,0.6938775777816772,13.445703744888306,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_-2,0.8061224222183228,17.681775093078613,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_-2,0.8061224222183228,17.59924006462097,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_-2,0.8061224222183228,17.464945316314697,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_0,0.8585858345031738,21.75165343284607,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_0,0.8585858345031738,21.83385157585144,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_0,0.8585858345031738,22.04741239547729,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_0,0.8163265585899353,14.332685470581056,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_0,0.8163265585899353,14.344468593597412,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_0,0.8163265585899353,14.49359393119812,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_0,0.704081654548645,17.23168134689331,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_0,0.704081654548645,17.127154111862183,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_0,0.704081654548645,17.2787983417511,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_0,0.7346938848495483,16.29547691345215,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_0,0.7346938848495483,16.191317081451416,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_0,0.7346938848495483,16.23586940765381,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_0,0.8061224222183228,20.936082363128666,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_0,0.8061224222183228,21.07701301574707,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_0,0.8061224222183228,21.005701303482056,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_0.5,0.8989899158477783,15.50059986114502,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_0.5,0.8989899158477783,15.68523359298706,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_0.5,0.8989899158477783,15.420552253723145,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_0.5,0.8265306353569031,15.40766954421997,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_0.5,0.8265306353569031,15.60392951965332,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_0.5,0.8265306353569031,15.48627519607544,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_0.5,0.7244898080825806,19.38017964363098,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_0.5,0.7244898080825806,19.544581413269043,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_0.5,0.7244898080825806,19.9448721408844,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_0.5,0.704081654548645,13.362295866012571,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_0.5,0.704081654548645,13.402946949005129,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_0.5,0.704081654548645,13.683982133865356,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_0.5,0.8061224222183228,22.59634780883789,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_0.5,0.8061224222183228,22.32796430587769,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_0.5,0.8061224222183228,22.67538690567017,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_1,0.8989899158477783,15.780659675598145,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_1,0.8989899158477783,15.399808883666992,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_1,0.8989899158477783,15.597304344177246,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_1,0.8163265585899353,15.601919412612917,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_1,0.8163265585899353,15.406301021575928,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_1,0.8163265585899353,15.52343773841858,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_1,0.7448979616165161,21.53406047821045,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_1,0.7448979616165161,21.41813492774964,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_1,0.7448979616165161,21.44960045814514,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_1,0.7142857313156128,13.5236234664917,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_1,0.7142857313156128,13.356946468353271,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_1,0.7142857313156128,13.413021564483644,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_1,0.8061224222183228,17.54764699935913,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_1,0.8061224222183228,17.445587873458862,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_1,0.8061224222183228,17.37984800338745,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_2,0.8888888955116272,15.613471031188965,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_2,0.8888888955116272,15.578862190246582,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_2,0.8888888955116272,15.63540768623352,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_2,0.7653061151504517,14.397931814193726,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_2,0.7653061151504517,14.600229740142822,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_2,0.7653061151504517,14.486891984939575,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_2,0.7755101919174194,19.385486841201782,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_2,0.7755101919174194,19.557384252548218,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_2,0.7755101919174194,19.38469767570496,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_2,0.7346938848495483,13.381612062454224,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_2,0.7346938848495483,13.512756109237673,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_2,0.7346938848495483,13.68927001953125,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_2,0.7551020383834839,22.418848514556885,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_2,0.7551020383834839,22.520197868347168,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_2,0.7551020383834839,22.34824013710022,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_4,0.8585858345031738,23.372140645980835,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_4,0.8585858345031738,23.639959573745728,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_4,0.8585858345031738,23.32094693183899,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_4,0.7551020383834839,14.447469711303713,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_4,0.7551020383834839,14.688189268112184,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_4,0.7551020383834839,14.476525783538818,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_4,0.704081654548645,15.377278804779053,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_4,0.704081654548645,15.56733775138855,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_4,0.704081654548645,15.409546852111816,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_4,0.7551020383834839,15.351575136184692,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_4,0.7551020383834839,15.524126768112184,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_4,0.7551020383834839,15.354892492294312,64834,0.0,480,6486,0.0
atlas_het,graphatlas_c_beta_4,0.8265306353569031,17.47757124900818,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_4,0.8265306353569031,17.488651990890503,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_4,0.8265306353569031,17.39054012298584,64834,0.0,480,6552,0.0
atlas_het,graphatlas_c_beta_minus_1,0.304347813129425,0.6205317974090576,64834,0.0,96,1274,0.0
atlas_het,graphatlas_c_beta_minus_1,0.304347813129425,0.5557749271392822,64834,0.0,96,1274,0.0
atlas_het,graphatlas_c_beta_minus_1,0.9090909361839294,19.384108304977417,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.9090909361839294,18.48425316810608,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.9090909361839294,18.640894651412964,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.9090909361839294,18.50660228729248,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8787878751754761,19.426063537597656,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8787878751754761,20.25427508354187,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8787878751754761,19.40138292312622,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8787878751754761,19.37912917137146,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.868686854839325,22.46716070175171,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.868686854839325,23.23456025123596,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.868686854839325,23.11983370780945,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.868686854839325,23.49201726913452,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8888888955116272,19.69532060623169,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8888888955116272,20.0211980342865,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8888888955116272,19.74216914176941,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8888888955116272,19.721856355667114,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8163265585899353,15.630429029464722,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8163265585899353,15.896228551864624,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8163265585899353,15.517947673797607,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8163265585899353,15.44255805015564,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7653061151504517,21.31123399734497,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7653061151504517,21.341182947158813,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7653061151504517,21.31260657310486,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7653061151504517,22.034066677093502,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8265306353569031,21.32900261878968,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8265306353569031,22.04950785636902,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8265306353569031,21.982605457305908,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8265306353569031,21.67742133140564,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8367347121238708,23.635132789611816,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8367347121238708,23.786417722702023,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8367347121238708,23.556407690048218,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.8367347121238708,24.27877187728882,64834,0.0,480,6456,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7346938848495483,18.53880000114441,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7346938848495483,18.426603317260746,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7346938848495483,18.497138023376465,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7346938848495483,18.46438241004944,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7448979616165161,22.40760827064514,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7448979616165161,22.30504155158997,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7448979616165161,22.28473734855652,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7448979616165161,22.25770401954651,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7653061151504517,24.411567211151123,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7653061151504517,25.38985538482666,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7653061151504517,25.157501697540283,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.7653061151504517,24.770434141159058,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.704081654548645,13.62562608718872,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.704081654548645,13.71713638305664,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.704081654548645,13.639110326766968,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_beta_minus_1,0.704081654548645,13.513723850250244,64834,0.0,480,6506,0.0
atlas_het,graphatlas_c_coordinate_relu,0.304347813129425,0.5476040840148926,64834,0.0,96,1274,0.0
atlas_het,graphatlas_c_coordinate_relu,0.304347813129425,0.5452523231506348,64834,0.0,96,1274,0.0
atlas_het,graphatlas_c_coordinate_relu,0.8787878751754761,16.517726182937622,64834,0.0,480,6540,0.0
atlas_het,graphatlas_c_coordinate_relu,0.8787878751754761,16.589335441589355,64834,0.0,480,6540,0.0
