dataset,task,condition_id,seed,split,model,test_metric,routing_mode
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_beta_-1,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.00,3,0,graphatlas_c_beta_-1,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.15,3,0,graphatlas_c_beta_-1,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.30,3,0,graphatlas_c_beta_-1,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.00,4,0,graphatlas_c_beta_-1,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.15,4,0,graphatlas_c_beta_-1,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.30,4,0,graphatlas_c_beta_-1,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c_beta_-2,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c_beta_-2,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c_beta_-2,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.00,1,0,graphatlas_c_beta_-2,0.8673469424247742,certificate
atlas_het,node_classification,ov0.10_cross0.15,1,0,graphatlas_c_beta_-2,0.8673469424247742,certificate
atlas_het,node_classification,ov0.10_cross0.30,1,0,graphatlas_c_beta_-2,0.8673469424247742,certificate
atlas_het,node_classification,ov0.10_cross0.00,2,0,graphatlas_c_beta_-2,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.15,2,0,graphatlas_c_beta_-2,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_beta_-2,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.00,3,0,graphatlas_c_beta_-2,0.6938775777816772,certificate
atlas_het,node_classification,ov0.10_cross0.15,3,0,graphatlas_c_beta_-2,0.6938775777816772,certificate
atlas_het,node_classification,ov0.10_cross0.30,3,0,graphatlas_c_beta_-2,0.6938775777816772,certificate
atlas_het,node_classification,ov0.10_cross0.00,4,0,graphatlas_c_beta_-2,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.15,4,0,graphatlas_c_beta_-2,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.30,4,0,graphatlas_c_beta_-2,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c_beta_0,0.8585858345031738,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c_beta_0,0.8585858345031738,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c_beta_0,0.8585858345031738,certificate
atlas_het,node_classification,ov0.10_cross0.00,1,0,graphatlas_c_beta_0,0.8163265585899353,certificate
atlas_het,node_classification,ov0.10_cross0.15,1,0,graphatlas_c_beta_0,0.8163265585899353,certificate
atlas_het,node_classification,ov0.10_cross0.30,1,0,graphatlas_c_beta_0,0.8163265585899353,certificate
atlas_het,node_classification,ov0.10_cross0.00,2,0,graphatlas_c_beta_0,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.15,2,0,graphatlas_c_beta_0,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_beta_0,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.00,3,0,graphatlas_c_beta_0,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.15,3,0,graphatlas_c_beta_0,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.30,3,0,graphatlas_c_beta_0,0.7346938848495483,certificate
atlas_het,node_classification,ov0.10_cross0.00,4,0,graphatlas_c_beta_0,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.15,4,0,graphatlas_c_beta_0,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.30,4,0,graphatlas_c_beta_0,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c_beta_0.5,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c_beta_0.5,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c_beta_0.5,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.00,1,0,graphatlas_c_beta_0.5,0.8265306353569031,certificate
atlas_het,node_classification,ov0.10_cross0.15,1,0,graphatlas_c_beta_0.5,0.8265306353569031,certificate
atlas_het,node_classification,ov0.10_cross0.30,1,0,graphatlas_c_beta_0.5,0.8265306353569031,certificate
atlas_het,node_classification,ov0.10_cross0.00,2,0,graphatlas_c_beta_0.5,0.7244898080825806,certificate
atlas_het,node_classification,ov0.10_cross0.15,2,0,graphatlas_c_beta_0.5,0.7244898080825806,certificate
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_beta_0.5,0.7244898080825806,certificate
atlas_het,node_classification,ov0.10_cross0.00,3,0,graphatlas_c_beta_0.5,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.15,3,0,graphatlas_c_beta_0.5,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.30,3,0,graphatlas_c_beta_0.5,0.704081654548645,certificate
atlas_het,node_classification,ov0.10_cross0.00,4,0,graphatlas_c_beta_0.5,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.15,4,0,graphatlas_c_beta_0.5,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.30,4,0,graphatlas_c_beta_0.5,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c_beta_1,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c_beta_1,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c_beta_1,0.8989899158477783,certificate
atlas_het,node_classification,ov0.10_cross0.00,1,0,graphatlas_c_beta_1,0.8163265585899353,certificate
atlas_het,node_classification,ov0.10_cross0.15,1,0,graphatlas_c_beta_1,0.8163265585899353,certificate
atlas_het,node_classification,ov0.10_cross0.30,1,0,graphatlas_c_beta_1,0.8163265585899353,certificate
atlas_het,node_classification,ov0.10_cross0.00,2,0,graphatlas_c_beta_1,0.7448979616165161,certificate
atlas_het,node_classification,ov0.10_cross0.15,2,0,graphatlas_c_beta_1,0.7448979616165161,certificate
atlas_het,node_classification,ov0.10_cross0.30,2,0,graphatlas_c_beta_1,0.7448979616165161,certificate
atlas_het,node_classification,ov0.10_cross0.00,3,0,graphatlas_c_beta_1,0.7142857313156128,certificate
atlas_het,node_classification,ov0.10_cross0.15,3,0,graphatlas_c_beta_1,0.7142857313156128,certificate
atlas_het,node_classification,ov0.10_cross0.30,3,0,graphatlas_c_beta_1,0.7142857313156128,certificate
atlas_het,node_classification,ov0.10_cross0.00,4,0,graphatlas_c_beta_1,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.15,4,0,graphatlas_c_beta_1,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.30,4,0,graphatlas_c_beta_1,0.8061224222183228,certificate
atlas_het,node_classification,ov0.10_cross0.00,0,0,graphatlas_c_beta_2,0.8888888955116272,certificate
atlas_het,node_classification,ov0.10_cross0.15,0,0,graphatlas_c_beta_2,0.8888888955116272,certificate
atlas_het,node_classification,ov0.10_cross0.30,0,0,graphatlas_c_beta_2,0.8888888955116272,certificate
atlas_het,node_classification,ov0.10_cross0.00,1,0,graphatlas_c_beta_2,0.7653061151504517,certificate
