epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,metric_direction_error,metric_scale_error,chart_rank,chart_min_relative_singular_value,chart_condition_number,cover,balance,sparsity,geometry,total
1,0.34517765045166016,0.3450586199760437,0.34517765045166016,0.3450586199760437,1.0981649160385132,0.03353014960885048,4.258574335835874e-05,2.0639647118514404e-05,2.1946094420854934e-05,0.0,3.349099636077881,1.9735908508300781,13.755085945129395,0.0,0.8030612468719482,1.4777235984802246,0.0,0.0860564112663269,0.0,0.0,1.1672544479370117
5,0.4060913622379303,0.3919597864151001,0.4060913622379303,0.3919597864151001,1.0960001945495605,0.005206470377743244,0.0011632159585133195,0.0006569604156538844,0.0005062555428594351,0.0,0.4838816523551941,0.352631539106369,1.3125005960464478,0.0,0.8283805847167969,1.3973336219787598,0.0,0.13361641764640808,0.0,0.4829823970794678,1.1114528179168701
10,0.4263959228992462,0.4271356761455536,0.4263959228992462,0.4271356761455536,1.0536938905715942,0.01410656701773405,0.02005806937813759,0.01405574195086956,0.006002328358590603,0.0,0.06958072632551193,0.05990498512983322,0.0967574268579483,0.0,0.8690463900566101,1.2861721515655518,0.0,0.15960043668746948,0.0,0.4982660114765167,1.0618321895599365
15,0.4720812141895294,0.5410385131835938,0.4720812141895294,0.5410385131835938,0.9764114022254944,0.03535608947277069,0.08845537900924683,0.06853105872869492,0.01992432400584221,0.0,0.10067924857139587,0.06577721983194351,0.3490203619003296,0.0,0.8981308937072754,1.2182735204696655,0.0,0.15960043668746948,0.0,0.6923343539237976,0.9889978766441345
20,0.4467005133628845,0.5209380388259888,0.4467005133628845,0.5209380388259888,0.9508565664291382,0.0427522175014019,0.2349199652671814,0.18228870630264282,0.05263126268982887,0.0,0.10595018416643143,0.06142398715019226,0.44526198506355286,0.0,0.9095787405967712,1.19465970993042,0.0,0.08309280127286911,0.0,0.47574731707572937,0.9631615877151489
25,0.4974619150161743,0.5879396796226501,0.4974619150161743,0.5879396796226501,0.8757829070091248,0.06788796931505203,0.32580554485321045,0.24836190044879913,0.07744365930557251,0.0,0.12269511073827744,0.07735215127468109,0.4534296691417694,0.0,0.9064261317253113,1.2039341926574707,0.0,0.06096041202545166,0.0,0.376515656709671,0.8897337317466736
30,0.5482233166694641,0.6398659944534302,0.5482233166694641,0.6398659944534302,0.8176686763763428,0.05969710648059845,0.19976726174354553,0.1525135189294815,0.04725373536348343,0.0,0.13776905834674835,0.10694918036460876,0.30819883942604065,0.0,0.8651877641677856,1.3293194770812988,0.0,0.1540900319814682,0.0,0.46650099754333496,0.8313146829605103
35,0.5634517669677734,0.663316547870636,0.5634517669677734,0.663316547870636,0.7167037129402161,0.09869851917028427,0.18607401847839355,0.14807432889938354,0.03799968585371971,0.0,0.14310258626937866,0.10775783658027649,0.3534472584724426,0.0,0.8327582478523254,1.40328848361969,0.0,0.1600000113248825,0.0,0.7180227637290955,0.7347216606140137
40,0.5685279369354248,0.7236180901527405,0.5685279369354248,0.7236180901527405,0.6518858671188354,0.12164610624313354,0.12093640863895416,0.09290846437215805,0.02802794612944126,0.0,0.12280872464179993,0.07675711810588837,0.4605160355567932,0.0,0.8589487075805664,1.331610083580017,0.0,0.1600000113248825,0.0,0.8341317176818848,0.6710553169250488
45,0.5380710363388062,0.6549413800239563,0.5380710363388062,0.6549413800239563,0.7848153114318848,0.10452145338058472,0.09157946705818176,0.068381667137146,0.023197796195745468,0.0,0.09849429130554199,0.05770088732242584,0.4079340100288391,0.0,0.8549011945724487,1.3357770442962646,0.0,0.06275560706853867,0.0,0.6079241037368774,0.7995520830154419
50,0.5532994866371155,0.7286431789398193,0.5532994866371155,0.7286431789398193,0.6873946189880371,0.14871150255203247,0.44225946068763733,0.35015812516212463,0.0921013355255127,0.0,0.19224543869495392,0.1278625875711441,0.6438283324241638,0.0,0.8910086154937744,1.2511928081512451,0.0,0.1600000113248825,0.0,1.026015043258667,0.7150788903236389
55,0.5786802172660828,0.7587939500808716,0.5786802172660828,0.7587939500808716,0.6314190030097961,0.18306438624858856,0.26437389850616455,0.18882228434085846,0.07555161416530609,0.0,0.1446095108985901,0.09604498744010925,0.4856454133987427,0.0,0.8469751477241516,1.3468068838119507,0.0,0.1600000113248825,0.0,1.1267321109771729,0.6589310169219971
60,0.5786802172660828,0.7788944840431213,0.5786802172660828,0.7788944840431213,0.5543779134750366,0.13214519619941711,0.16967153549194336,0.10260676592588425,0.06706477701663971,0.0,0.13027726113796234,0.0793442577123642,0.5093299746513367,0.0,0.8763129115104675,1.279078722000122,0.0,0.15920160710811615,0.0,0.9970126152038574,0.5767242312431335
65,0.6091370582580566,0.8023450374603271,0.6091370582580566,0.8023450374603271,0.5622717142105103,0.14255893230438232,0.15466412901878357,0.10323907434940338,0.05142505094408989,0.0,0.1142561212182045,0.06184868887066841,0.5240743160247803,0.0,0.8839608430862427,1.2644833326339722,0.0,0.1056976243853569,0.0,0.9862582087516785,0.5841367840766907
