number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
25,0.1587301641702652,PRUNED,focal,0.4,layernorm,64,0.0005303020625317983,1,1,694,1.0,0.00010907567390321745,,0.28205129504203796,,,,,,
26,0.6507936716079712,PRUNED,cross_entropy,0.4,layernorm,256,0.002429341926801183,1,1,324,4.0,2.208437557262611e-05,,0.7435897588729858,,,,,,
27,0.4285714626312256,PRUNED,cross_entropy,0.4,none,64,0.0015175479328666806,2,2,244,1.0,0.00031974951848885415,,0.43589743971824646,,,,,,
28,0.4285714626312256,PRUNED,cross_entropy,0.4,layernorm,128,0.0001635492115343234,2,2,326,1.0,9.333689419022423e-05,,0.43589743971824646,,,,,,
29,0.4285714626312256,PRUNED,weighted_ce,0.2,l2,256,0.0002820230567028652,2,2,55,1.0,0.0001497592019817876,,0.43589743971824646,,,,,,
30,0.4285714626312256,PRUNED,cross_entropy,0.4,l2,128,0.0007432314211720314,1,1,603,1.0,0.0005652225130990665,,0.43589743971824646,,,,,,
31,0.4285714626312256,PRUNED,cross_entropy,0.0,none,256,0.0005320559929205811,2,2,619,0.25,0.0015975401518635074,,0.43589743971824646,,,,,,
32,0.5384615659713745,COMPLETE,cross_entropy,0.2,layernorm,256,0.0004620649485009182,2,1,749,0.25,0.0006579095854439257,hetgb_cornell,0.4615384638309479,accuracy,"{'learning_rate': 0.0004620649485009182, 'weight_decay': 0.0006579095854439257, 'dropout': 0.2, 'hidden_dim': 256, 'num_charts': 1, 'membership_topk': 1, 'transportability_beta': 0.25, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 749}",outputs\oracle_upper_bound\runs\hetgb_cornell\trial_0032,stratified_48_32_20,0.5384615659713745,0.5873016119003296
33,0.4285714626312256,PRUNED,cross_entropy,0.0,layernorm,256,0.0003285471809839911,2,2,190,0.5,0.00014178178087157525,,0.43589743971824646,,,,,,
34,0.4285714626312256,PRUNED,cross_entropy,0.4,layernorm,128,0.0009367779536349639,2,4,588,0.0,0.0001030892956233357,,0.43589743971824646,,,,,,
35,0.6190476417541504,PRUNED,cross_entropy,0.1,layernorm,256,0.0012612246250049658,2,2,690,4.0,0.00010472959116876237,,0.6410256624221802,,,,,,
36,0.7179487347602844,COMPLETE,cross_entropy,0.6,layernorm,256,0.0006226104955340915,2,2,498,0.25,9.334286493682481e-05,hetgb_cornell,0.7435897588729858,accuracy,"{'learning_rate': 0.0006226104955340915, 'weight_decay': 9.334286493682481e-05, 'dropout': 0.6, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 0.25, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 498}",outputs\oracle_upper_bound\runs\hetgb_cornell\trial_0036,stratified_48_32_20,0.7179487347602844,0.7619048357009888
37,0.4761905074119568,PRUNED,weighted_ce,0.6,layernorm,128,0.0007129393563855032,1,3,371,1.0,0.0004023416538580617,,0.4615384638309479,,,,,,
38,0.30158731341362,PRUNED,focal,0.6,layernorm,256,0.0004999970086049982,2,2,614,0.25,1.9525443037399007e-05,,0.3076923191547394,,,,,,
39,0.6410256624221802,COMPLETE,cross_entropy,0.2,layernorm,256,0.0014420144346338785,2,2,381,1.0,8.227891178352455e-06,hetgb_cornell,0.692307710647583,accuracy,"{'learning_rate': 0.0014420144346338785, 'weight_decay': 8.227891178352455e-06, 'dropout': 0.2, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 1.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 381}",outputs\oracle_upper_bound\runs\hetgb_cornell\trial_0039,stratified_48_32_20,0.6410256624221802,0.6666666865348816
