epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,cover,balance,sparsity,geometry,total
1,0.1396293044090271,0.13952873647212982,0.1396293044090271,0.13952873647212982,2.8725028038024902,0.021829327568411827,0.0,0.0,0.0,0.0,0.0,0.0,0.04366156831383705,0.12180867791175842,0.0,2.8744218349456787
5,0.1396293044090271,0.13952873647212982,0.1396293044090271,0.13952873647212982,2.831136703491211,0.003545513842254877,0.0,0.0,0.0,0.0,0.0,0.0,0.05933685600757599,0.12332747131586075,0.0,2.8322272300720215
10,0.1396293044090271,0.13952873647212982,0.1396293044090271,0.13952873647212982,2.6670379638671875,0.028397459536790848,0.0030611520633101463,0.0011658681323751807,0.0018952838145196438,0.0,0.09012182801961899,0.0,0.06989700347185135,0.10229846090078354,0.0,2.670250415802002
15,0.1406884342432022,0.13944047689437866,0.1406884342432022,0.13944047689437866,2.5125880241394043,0.09830465167760849,0.0,0.0,0.0,0.0,0.0,0.0,0.08007286489009857,0.09855783730745316,0.0,2.5183963775634766
20,0.13503971695899963,0.13246844708919525,0.13503971695899963,0.13246844708919525,2.4209091663360596,0.13910342752933502,0.06763719022274017,0.020406022667884827,0.047231171280145645,0.0,0.10170339047908783,0.0,0.05742383748292923,0.10604167729616165,0.0,2.430375099182129
25,0.2626654803752899,0.2541699707508087,0.2626654803752899,0.2541699707508087,2.3158390522003174,0.1962556689977646,0.0,0.0,0.0,0.0,0.0,0.0,0.030032139271497726,0.11282134801149368,0.0,2.3263661861419678
30,0.32321271300315857,0.31806549429893494,0.32321271300315857,0.31806549429893494,2.190082550048828,0.2180047631263733,0.07739414274692535,0.044612981379032135,0.03278116136789322,0.0,0.2828657329082489,0.0,0.021318184211850166,0.11228358745574951,0.0,2.2052533626556396
35,0.34563106298446655,0.34277644753456116,0.34563106298446655,0.34277644753456116,2.016422986984253,0.42772066593170166,0.0,0.0,0.0,0.0,0.0,0.0,0.01978018321096897,0.11071228981018066,0.0,2.038461685180664
40,0.4206531345844269,0.4127614498138428,0.4206531345844269,0.4127614498138428,1.891262412071228,0.4613129794597626,0.4821387827396393,0.2616700232028961,0.22046875953674316,0.0,0.4369637072086334,0.0,0.0228101909160614,0.10679783672094345,0.0,1.9241671562194824
45,0.42012354731559753,0.4210572838783264,0.42012354731559753,0.4210572838783264,1.7821402549743652,0.30699944496154785,0.0,0.0,0.0,0.0,0.0,0.0,0.029621409252285957,0.09989223629236221,0.0,1.7981377840042114
