task,metric_name,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,train_link_mrr,val_link_mrr,test_link_mrr,test_link_hits_at_10,test_link_hits_at_50,train_nll,train_accuracy,train_ece,train_worst_class_recall,train_weighted_f1,train_mcc,train_balanced_accuracy,train_brier,train_macro_f1,train_micro_f1,val_nll,val_accuracy,val_ece,val_worst_class_recall,val_weighted_f1,val_mcc,val_balanced_accuracy,val_brier,val_macro_f1,val_micro_f1,test_nll,test_accuracy,test_ece,test_worst_class_recall,test_weighted_f1,test_mcc,test_balanced_accuracy,test_brier,test_macro_f1,test_micro_f1,train_roc_auc,val_roc_auc,test_roc_auc,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,intervention_flip_rate_affine,intervention_flip_rate_nonlinear,intervention_test_metric_drop_affine,intervention_test_metric_drop_nonlinear,intervention_test_metric_nonlinear,metric_recovery_error,metric_recovery_mean_error,transition_error,local_distortion,cross_chart_distortion,curvature_flat_fraction,curvature_positive_fraction,curvature_negative_fraction,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,metric_direction_error,metric_scale_error,chart_rank_error,chart_min_relative_singular_value,chart_condition_number,geometry_error,dataset,model,model_family,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,transportability_mean,transportability_std,transportability_min,transportability_max,distortion_mean,fraction_q_below_025,fraction_q_above_075,mean_active_charts,overlap_ratio,membership_entropy_mean,membership_entropy_p90,chart_utilization_min,chart_utilization_max,run_id,config_hash,source_hash
node_classification,accuracy,0.6968215703964233,0.44947734475135803,0.4175257682800293,,,,,,,,,,,,0.9558092951774597,0.6968215703964233,0.18936781585216522,0.0,0.635696762636136,0.6313726800166002,0.6521636321636322,0.474920392036438,0.6024744605605338,0.6968215158924206,1.4377158880233765,0.44947734475135803,0.07443851232528687,0.0,0.3823513588369685,0.29697002473415685,0.3777598011744353,0.6875796318054199,0.3263196694803835,0.44947735191637633,1.5002028942108154,0.4175257682800293,0.10120181739330292,0.0,0.3613770250368189,0.29040626763774596,0.40808080808080816,0.7043708562850952,0.3526890756302521,0.4175257731958763,,,,,,,,0.10470747202634811,1.0609275591377809e-07,7.396221946009973e-08,5.7220458984375e-06,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.4175257682800293,,,,,,,,,0.7972180247306824,0.6182710528373718,0.0,0.17894697189331055,0.2962610721588135,0.15392954647541046,1.423315405845642,0.0032976800575852394,0.16178910434246063,9.470654487609863,0.0,chameleon_filtered,certified_beta_1,graphatlas_certified,0,15,65,0,65,0.44947734475135803,520281,890,17708,433766912,29.148526906967163,cuda,0,0.9927983283996582,0.008950343355536461,0.8982529640197754,1.0,0.0072015803307294846,0.0,1.0,1.9988764524459839,0.9988763928413391,0.6877774596214294,0.6914377808570862,0.0,0.5442813038825989,chameleon_filtered__node_classification__graphatlas_certified__split0__seed0__3532c7652c8b,3532c7652c8b,e867de9b1c47d8d2
node_classification,accuracy,0.6992665529251099,0.44947734475135803,0.4175257682800293,,,,,,,,,,,,0.957943320274353,0.6992665529251099,0.19932739436626434,0.0,0.6371723087718456,0.6343602525537623,0.6552405552405552,0.4753683805465698,0.6039684022140163,0.6992665036674817,1.4401507377624512,0.44947734475135803,0.07100660353899002,0.0,0.3841823956492781,0.2962959799748572,0.38260373772568895,0.6870566010475159,0.33362109612346585,0.44947735191637633,1.499381422996521,0.4175257682800293,0.09000680595636368,0.0,0.36200957811031814,0.287793689929297,0.40808080808080804,0.7023611664772034,0.3533987630087775,0.4175257731958763,,,,,,,,0.10166292637586594,9.870945660850339e-08,7.254160294678513e-08,7.62939453125e-06,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.4175257682800293,,,,,,,,,0.7995958924293518,0.6217014789581299,0.0,0.17789439857006073,0.2940462529659271,0.15336626768112183,1.4068000316619873,0.003289397107437253,0.16186164319515228,9.46493911743164,0.0,chameleon_filtered,min_distortion,graphatlas_min_distortion,0,15,65,0,65,0.44947734475135803,520281,890,17708,433756160,76.75191569328308,cuda,0,,,,,,,,1.9988764524459839,0.9988763928413391,0.6882833242416382,0.6916078329086304,0.0,0.5421183705329895,chameleon_filtered__node_classification__graphatlas_min_distortion__split0__seed0__39f43371232d,39f43371232d,e867de9b1c47d8d2
node_classification,accuracy,0.6430318355560303,0.4390243887901306,0.3865979313850403,,,,,,,,,,,,0.9939461946487427,0.6430318355560303,0.15145735442638397,0.0,0.5708703240815128,0.5712674070189623,0.6049467207361945,0.4969651997089386,0.5412130206417204,0.6430317848410758,1.4976487159729004,0.4390243887901306,0.09779582172632217,0.0,0.3715455940934144,0.28670772205279516,0.3844390568780812,0.6970434784889221,0.3303177360605211,0.43902439024390244,1.5150078535079956,0.3865979313850403,0.11690595746040344,0.0,0.3184106248557761,0.24828569151246863,0.37653679653679656,0.7262228727340698,0.3096822746521476,0.3865979381443299,,,,,,,,0.127863347530365,1.604339843197522e-07,7.811862445805673e-08,1.1444091796875e-05,4.76837158203125e-06,0.0,0.0,0.0,0.0,0.3865979313850403,,,,,,,,,0.25624290108680725,0.18551060557365417,0.0,0.07073229551315308,0.24793635308742523,0.16069519519805908,0.8724116683006287,0.001475886325351894,0.1759546548128128,8.244397163391113,0.0,chameleon_filtered,original,graphatlas,0,15,65,0,65,0.4390243887901306,520281,890,17708,433756160,19.225718021392822,cuda,0,,,,,,,,1.9988764524459839,0.9988763928413391,0.685806393623352,0.6930740475654602,0.0,0.5298826694488525,chameleon_filtered__node_classification__graphatlas__split0__seed0__dd5e72d5b1c8,dd5e72d5b1c8,e867de9b1c47d8d2
node_classification,accuracy,0.8440366387367249,0.5675675868988037,0.6756756901741028,,,,,,,,,,,,0.3703731596469879,0.8440366387367249,0.09124042838811874,0.0,0.8023973350808212,0.7897562544807494,0.7164325529542921,0.19154846668243408,0.6677380952380952,0.8440366972477065,1.45212721824646,0.5675675868988037,0.2620868384838104,0.0,0.5365445365445365,0.43686197342115374,0.49444444444444446,0.6342806816101074,0.4504828504828505,0.5675675675675675,1.7102768421173096,0.6756756901741028,0.19630441069602966,0.0,0.6918918918918919,0.43750593409425403,0.4873188405797101,0.535295844078064,0.40985507246376807,0.6756756756756757,,,,,,,,0.725765585899353,9.67920499306274e-08,6.087430648449299e-08,3.814697265625e-06,1.9073486328125e-06,0.0,0.0,0.0,0.0,0.6756756901741028,,,,,,,,,0.1230417788028717,0.07386523485183716,0.0,0.049176547676324844,0.10772275924682617,0.08926340937614441,0.18459345400333405,0.0,0.8261492848396301,1.4000412225723267,0.0,cornell,certified_beta_1,graphatlas_certified,0,15,65,0,65,0.5675675868988037,388868,183,557,121019904,9.735775709152222,cuda,0,0.9873758554458618,0.012760872952640057,0.9372342228889465,1.0,0.012624163180589676,0.0,1.0,1.049180269241333,0.049180325120687485,0.02312561683356762,0.06445082277059555,0.0,0.9930777549743652,cornell__node_classification__graphatlas_certified__split0__seed0__7b07e4e15f5f,7b07e4e15f5f,e867de9b1c47d8d2
node_classification,accuracy,0.8348623514175415,0.5405405759811401,0.6216216087341309,,,,,,,,,,,,0.37230294942855835,0.8348623514175415,0.09223178029060364,0.0,0.7981706877126382,0.7800164332801831,0.7188661970160581,0.19840110838413239,0.6656503327283726,0.8348623853211009,1.6099146604537964,0.5405405759811401,0.23577448725700378,0.0,0.5195046551568291,0.4089957183672787,0.4833333333333333,0.6758124232292175,0.44743812709030106,0.5405405405405406,1.8040966987609863,0.6216216087341309,0.2694165110588074,0.0,0.6313236313236313,0.3424839527396293,0.43478260869565216,0.5901609063148499,0.3597918989223337,0.6216216216216216,,,,,,,,0.7046405673027039,1.0230001379341047e-07,6.175361733085083e-08,4.76837158203125e-06,2.86102294921875e-06,0.0,0.0,0.0,0.0,0.6216216087341309,,,,,,,,,0.14913344383239746,0.09291481226682663,0.0,0.05621863156557083,0.12123815715312958,0.09789039194583893,0.2334776669740677,0.0,0.8089867830276489,1.4419082403182983,0.0,cornell,min_distortion,graphatlas_min_distortion,0,15,65,0,65,0.5405405759811401,388868,183,557,120464896,9.697614431381226,cuda,0,,,,,,,,1.0218578577041626,0.02185792289674282,0.008014770224690437,5.5262041470660606e-11,0.0,0.9973201155662537,cornell__node_classification__graphatlas_min_distortion__split0__seed0__1a08b3a3cf19,1a08b3a3cf19,e867de9b1c47d8d2
node_classification,accuracy,0.9999999403953552,0.7027027010917664,0.7297297716140747,,,,,,,,,,,,0.01601169817149639,0.9999999403953552,0.01443546637892723,1.0,1.0,1.0,1.0,0.004849118646234274,1.0,1.0,2.5390565395355225,0.7027027010917664,0.20223894715309143,0.4444444444444444,0.7197127197127197,0.6337560837915573,0.6666666666666666,0.48225703835487366,0.6402486402486403,0.7027027027027027,2.8114449977874756,0.7297297716140747,0.23905959725379944,0.0,0.7562699660260637,0.5859830872738804,0.7155797101449275,0.48366203904151917,0.5437898686679175,0.7297297297297297,,,,,,,,0.1834622174501419,4.5143686122628424e-08,4.1931720318189036e-08,1.9073486328125e-05,7.62939453125e-06,0.0,0.0,0.0,0.0,0.7297297716140747,,,,,,,,,0.05002979934215546,0.0358060784637928,0.0,0.014223722741007805,0.17199046909809113,0.1653117537498474,0.06678687036037445,0.0,0.7946604490280151,1.486495018005371,0.0,cornell,original,graphatlas,0,40,90,0,90,0.7027027010917664,388868,183,557,122704384,13.299250841140747,cuda,0,,,,,,,,1.010928988456726,0.01092896144837141,0.006173231173306704,5.5262041470660606e-11,0.0,0.9969232082366943,cornell__node_classification__graphatlas__split0__seed0__8f93fe685c0f,8f93fe685c0f,e867de9b1c47d8d2
node_classification,accuracy,0.9174311757087708,0.6486486792564392,0.5405405759811401,,,,,,,,,,,,0.34255778789520264,0.9174311757087708,0.14164668321609497,0.0,0.9071986796757441,0.8587895288638572,0.6541666666666666,0.18649965524673462,0.6558597883597883,0.9174311926605505,1.026462435722351,0.6486486792564392,0.17240047454833984,0.0,0.6365365447949393,0.5060850720206043,0.55,0.5023253560066223,0.4927811236696642,0.6486486486486487,2.1134564876556396,0.5405405759811401,0.11884138733148575,0.0,0.47959861975434837,0.3397812179209174,0.425,0.7105771899223328,0.3709059448770239,0.5405405405405406,,,,,,,,0.6210067272186279,9.275779433437492e-08,6.882015668452368e-08,5.7220458984375e-06,2.86102294921875e-06,0.0,0.0,0.0,0.0,0.5405405759811401,,,,,,,,,0.05759356915950775,0.01580893062055111,0.0,0.04178463667631149,0.06139325350522995,0.05421898141503334,0.0717427060008049,0.0,0.8898329734802246,1.2480720281600952,0.0,texas,certified_beta_1,graphatlas_certified,0,20,70,0,70,0.6486486792564392,388868,183,574,121060864,31.90007758140564,cuda,0,0.9823936223983765,0.019473180174827576,0.902070939540863,1.0,0.017606345936655998,0.0,1.0,1.0,0.0,5.5262041470660606e-11,5.5262041470660606e-11,0.0,1.0,texas__node_classification__graphatlas_certified__split0__seed0__d9d1e1b53efd,d9d1e1b53efd,e867de9b1c47d8d2
node_classification,accuracy,0.9082568287849426,0.6486486792564392,0.5135135054588318,,,,,,,,,,,,0.33416426181793213,0.9082568287849426,0.11236317455768585,0.0,0.9008909021860991,0.8403466015832428,0.6475,0.18105007708072662,0.6537769855416913,0.908256880733945,1.038447618484497,0.6486486792564392,0.1262260228395462,0.0,0.6334930613368643,0.5149249859423615,0.5666666666666667,0.5063298344612122,0.4943002667960223,0.6486486486486487,2.246349811553955,0.5135135054588318,0.17845895886421204,0.0,0.45063813813813813,0.30568018432417937,0.409375,0.7124616503715515,0.3524305555555556,0.5135135135135135,,,,,,,,0.5936869978904724,9.215466434397968e-08,6.177208433655323e-08,7.62939453125e-06,2.86102294921875e-06,0.0,0.0,0.0,0.0,0.5135135054588318,,,,,,,,,0.057597555220127106,0.016777748242020607,0.0,0.04081980511546135,0.06301164627075195,0.055372945964336395,0.07638698071241379,0.0,0.8862724304199219,1.2565802335739136,0.0,texas,min_distortion,graphatlas_min_distortion,0,20,70,0,70,0.6486486792564392,388868,183,574,120482304,60.30285882949829,cuda,0,,,,,,,,1.0,0.0,5.5262041470660606e-11,5.5262041470660606e-11,0.0,1.0,texas__node_classification__graphatlas_min_distortion__split0__seed0__5d7a235f0a15,5d7a235f0a15,e867de9b1c47d8d2
node_classification,accuracy,0.9908256530761719,0.7027027010917664,0.5675675868988037,,,,,,,,,,,,0.0286931823939085,0.9908256530761719,0.012698499485850334,0.0,0.9862725110431533,0.9840319674650694,0.8,0.011781095527112484,0.7985185185185185,0.9908256880733946,8.619271278381348,0.7027027010917664,0.2188945859670639,0.0,0.6772655007949125,0.5664226667907595,0.5944444444444444,0.556364119052887,0.5375816993464052,0.7027027027027027,8.10372543334961,0.5675675868988037,0.3787553310394287,0.0,0.5416944037633693,0.3850794922335396,0.4264204545454546,0.7706691026687622,0.39203612479474553,0.5675675675675675,,,,,,,,0.3357110321521759,1.5659973939818883e-07,6.73939908324428e-08,7.62939453125e-05,3.0517578125e-05,0.0,0.0,0.0,0.0,0.5675675868988037,,,,,,,,,0.023798853158950806,0.023798853158950806,0.0,4.734540884343552e-12,0.0010768185602501035,0.0010381813626736403,0.0003863713936880231,0.0,0.890405535697937,1.2578679323196411,0.0,texas,original,graphatlas,0,35,85,0,85,0.7027027010917664,388868,183,574,122721792,14.83253812789917,cuda,0,,,,,,,,1.0,0.0,5.5262041470660606e-11,5.5262041470660606e-11,0.0,1.0,texas__node_classification__graphatlas__split0__seed0__22be06ea68f0,22be06ea68f0,e867de9b1c47d8d2
node_classification,accuracy,0.9800000190734863,0.7199999690055847,0.7058823704719543,,,,,,,,,,,,0.10931792855262756,0.9800000190734863,0.061331044882535934,0.8333333333333334,0.9798995317156236,0.9697332481975833,0.936996336996337,0.05164170637726784,0.9424953335298163,0.98,1.4411832094192505,0.7199999690055847,0.18563638627529144,0.0,0.6943465045592706,0.5895067371991924,0.47391304347826085,0.42995893955230713,0.45116514690982773,0.72,1.1187721490859985,0.7058823704719543,0.1822962462902069,0.0,0.7133619405208892,0.5741247781782747,0.6210516536603493,0.4486348032951355,0.5124957784532252,0.7058823529411765,,,,,,,,0.9644166231155396,7.099269083710169e-08,4.9031200433091726e-08,9.5367431640625e-06,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.7058823704719543,,,,,,,,,0.16636615991592407,0.01908828876912594,0.0,0.14727787673473358,0.17433670163154602,0.12594495713710785,0.4839174449443817,0.0,0.6502881646156311,2.3094711303710938,0.0,wisconsin,certified_beta_1,graphatlas_certified,0,25,75,0,75,0.7199999690055847,388868,251,916,130703872,30.829928874969482,cuda,0,0.9287261366844177,0.07673398405313492,0.6287994384765625,1.0,0.07127397507429123,0.0,0.942139744758606,1.0,0.0,5.5262041470660606e-11,5.5262041470660606e-11,0.0,1.0,wisconsin__node_classification__graphatlas_certified__split0__seed0__42ca856933f8,42ca856933f8,e867de9b1c47d8d2
