task,metric_name,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,train_link_mrr,val_link_mrr,test_link_mrr,test_link_hits_at_10,test_link_hits_at_50,train_worst_class_recall,train_weighted_f1,train_balanced_accuracy,train_nll,train_brier,train_micro_f1,train_accuracy,train_mcc,train_ece,train_macro_f1,val_worst_class_recall,val_weighted_f1,val_balanced_accuracy,val_nll,val_brier,val_micro_f1,val_accuracy,val_mcc,val_ece,val_macro_f1,test_worst_class_recall,test_weighted_f1,test_balanced_accuracy,test_nll,test_brier,test_micro_f1,test_accuracy,test_mcc,test_ece,test_macro_f1,train_roc_auc,val_roc_auc,test_roc_auc,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,intervention_flip_rate_affine,intervention_flip_rate_nonlinear,intervention_test_metric_drop_affine,intervention_test_metric_drop_nonlinear,intervention_test_metric_nonlinear,metric_recovery_error,metric_recovery_mean_error,transition_error,local_distortion,cross_chart_distortion,curvature_flat_fraction,curvature_positive_fraction,curvature_negative_fraction,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,metric_direction_error,metric_scale_error,chart_rank_error,chart_min_relative_singular_value,chart_condition_number,geometry_error,dataset,model,model_family,condition_id,intervention_profile,certified_routing_mode,transportability_beta,readout_mode,coordinate_activation,coordinate_left_linear,link_decoder,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,transportability_mean,transportability_std,transportability_min,transportability_max,distortion_mean,fraction_q_below_025,fraction_q_above_075,active_source_chart_count,q_route_spread_mean,q_route_spread_p90,routing_kl_from_membership,fraction_edges_with_multiple_source_charts,routing_total_variation_from_membership,routing_entropy_mean,active_target_chart_count,fraction_edges_with_multiple_target_charts,q_route_spread_median,q_route_spread_max,q_delta_closure_error,routing_opportunity,irreducible_transport_risk,cross_chart_mass,q_reference_agreement,mean_active_charts,overlap_ratio,membership_entropy_mean,membership_entropy_p90,chart_utilization_min,chart_utilization_max,run_id,config_hash,source_hash
node_classification,accuracy,0.9128919839859009,0.7553191781044006,0.8989899158477783,,,,,,,,,,,,0.8846153846153846,0.9127765325396949,0.914243856390641,0.21669405698776245,0.13163553178310394,0.9128919860627178,0.9128919839859009,0.86925445453274,0.030448317527770996,0.9135749169899814,0.7352941176470589,0.7557486325159627,0.7567776832646297,1.1749833822250366,0.43042734265327454,0.7553191489361702,0.7553191781044006,0.6343537781915982,0.19062939286231995,0.7553926360377973,0.8709677419354839,0.8988306693644533,0.8991188769414576,0.38475337624549866,0.18269012868404388,0.898989898989899,0.8989899158477783,0.8486196319018405,0.0758884847164154,0.8985817538114929,,,,0.9166666865348816,0.8888888955116272,0.1231596942920175,0.5626204238921002,0.2071196734905243,7.330604034905264e-08,5.94432485456764e-08,4.76837158203125e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.8989899158477783,,,,,,,,,0.17538174986839294,0.12020926922559738,0.0,0.05517248064279556,0.2534748911857605,0.19214744865894318,0.6132745742797852,1.496273966949957e-06,0.5324808955192566,2.766631841659546,1.3933022022247314,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.00,,certificate,1.0,full,none,False,dot,0,50,75,0,75,0.7553191781044006,64834,480,6540,0,15.705996036529541,cpu,0,0.962411105632782,0.05864306539297104,0.6376705765724182,1.0,0.03758889436721802,0.0,0.9850552678108215,1.7587156295776367,0.05513390898704529,0.137766033411026,0.0005021774559281766,0.7587155699729919,0.0075716678984463215,0.38244983553886414,1.7587156295776367,0.7587155699729919,0.026703953742980957,0.3611941933631897,2.510698777768994e-07,0.020922305062413216,0.03758889064192772,0.35589730739593506,0.5809378027915955,1.71875,0.71875,0.3762596845626831,0.6675931215286255,0.042518842965364456,0.5134512186050415,atlas_het__node_classification__graphatlas_c__split0__seed0__c4b3c0ec750a,c4b3c0ec750a,975d6eec98ed54f0
node_classification,accuracy,0.9128919839859009,0.7553191781044006,0.8989899158477783,,,,,,,,,,,,0.8846153846153846,0.9127765325396949,0.914243856390641,0.21669405698776245,0.13163553178310394,0.9128919860627178,0.9128919839859009,0.86925445453274,0.030448317527770996,0.9135749169899814,0.7352941176470589,0.7557486325159627,0.7567776832646297,1.1749833822250366,0.43042734265327454,0.7553191489361702,0.7553191781044006,0.6343537781915982,0.19062939286231995,0.7553926360377973,0.8709677419354839,0.8988306693644533,0.8991188769414576,0.38475337624549866,0.18269012868404388,0.898989898989899,0.8989899158477783,0.8486196319018405,0.0758884847164154,0.8985817538114929,,,,0.9166666865348816,0.8888888955116272,0.1231596942920175,0.5626204238921002,0.2071196734905243,7.330604034905264e-08,5.94432485456764e-08,4.76837158203125e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.8989899158477783,,,,,,,,,0.17538174986839294,0.12020926922559738,0.0,0.05517248064279556,0.2534748911857605,0.19214744865894318,0.6132745742797852,1.496273966949957e-06,0.5324808955192566,2.766631841659546,1.3933022022247314,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.15,,certificate,1.0,full,none,False,dot,0,50,75,0,75,0.7553191781044006,64834,480,6540,0,15.540953397750854,cpu,0,0.962411105632782,0.05864306539297104,0.6376705765724182,1.0,0.03758889436721802,0.0,0.9850552678108215,1.7587156295776367,0.05513390898704529,0.137766033411026,0.0005021774559281766,0.7587155699729919,0.0075716678984463215,0.38244983553886414,1.7587156295776367,0.7587155699729919,0.026703953742980957,0.3611941933631897,2.510698777768994e-07,0.020922305062413216,0.03758889064192772,0.35589730739593506,0.5809378027915955,1.71875,0.71875,0.3762596845626831,0.6675931215286255,0.042518842965364456,0.5134512186050415,atlas_het__node_classification__graphatlas_c__split0__seed0__10fa22a27b4e,10fa22a27b4e,975d6eec98ed54f0
node_classification,accuracy,0.9128919839859009,0.7553191781044006,0.8989899158477783,,,,,,,,,,,,0.8846153846153846,0.9127765325396949,0.914243856390641,0.21669405698776245,0.13163553178310394,0.9128919860627178,0.9128919839859009,0.86925445453274,0.030448317527770996,0.9135749169899814,0.7352941176470589,0.7557486325159627,0.7567776832646297,1.1749833822250366,0.43042734265327454,0.7553191489361702,0.7553191781044006,0.6343537781915982,0.19062939286231995,0.7553926360377973,0.8709677419354839,0.8988306693644533,0.8991188769414576,0.38475337624549866,0.18269012868404388,0.898989898989899,0.8989899158477783,0.8486196319018405,0.0758884847164154,0.8985817538114929,,,,0.9166666865348816,0.8888888955116272,0.1231596942920175,0.5626204238921002,0.2071196734905243,7.330604034905264e-08,5.94432485456764e-08,4.76837158203125e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.8989899158477783,,,,,,,,,0.17538174986839294,0.12020926922559738,0.0,0.05517248064279556,0.2534748911857605,0.19214744865894318,0.6132745742797852,1.496273966949957e-06,0.5324808955192566,2.766631841659546,1.3933022022247314,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.30,,certificate,1.0,full,none,False,dot,0,50,75,0,75,0.7553191781044006,64834,480,6540,0,15.629584074020386,cpu,0,0.962411105632782,0.05864306539297104,0.6376705765724182,1.0,0.03758889436721802,0.0,0.9850552678108215,1.7587156295776367,0.05513390898704529,0.137766033411026,0.0005021774559281766,0.7587155699729919,0.0075716678984463215,0.38244983553886414,1.7587156295776367,0.7587155699729919,0.026703953742980957,0.3611941933631897,2.510698777768994e-07,0.020922305062413216,0.03758889064192772,0.35589730739593506,0.5809378027915955,1.71875,0.71875,0.3762596845626831,0.6675931215286255,0.042518842965364456,0.5134512186050415,atlas_het__node_classification__graphatlas_c__split0__seed0__f7603b147e2a,f7603b147e2a,975d6eec98ed54f0
node_classification,accuracy,0.895470380783081,0.8315789699554443,0.8163265585899353,,,,,,,,,,,,0.8620689655172413,0.8952865191463985,0.8938169679036868,0.2141091525554657,0.1318860948085785,0.8954703832752613,0.895470380783081,0.8428707604127654,0.044083982706069946,0.8943124635907435,0.8181818181818182,0.8331895312050618,0.8314176245210728,0.6783283352851868,0.29754993319511414,0.8315789473684211,0.8315789699554443,0.7485439441782563,0.13352897763252258,0.8313186509907822,0.696969696969697,0.814781676217285,0.814862914862915,0.6384133100509644,0.2640359699726105,0.8163265306122449,0.8163265585899353,0.7295179549906766,0.11050988733768463,0.8133625250866631,,,,0.8292682766914368,0.8070175647735596,-0.03312311809597821,0.5517241379310345,0.18932367861270905,9.843103754292315e-08,8.390811956360267e-08,1.52587890625e-05,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.8163265585899353,,,,,,,,,0.0731680616736412,0.05274195596575737,0.0,0.020426105707883835,0.11918620765209198,0.0954926460981369,0.23693564534187317,1.9524752133293077e-05,0.5818737745285034,2.3704957962036133,0.7419161200523376,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.00,,certificate,1.0,full,none,False,dot,1,50,75,0,75,0.8315789699554443,64834,480,6456,0,15.574329137802124,cpu,0,0.9608392119407654,0.04555562138557434,0.480132132768631,1.0,0.03916075825691223,0.0,0.9951723217964172,1.4076827764511108,0.05741134285926819,0.08668684959411621,0.00013663602294400334,0.40768277645111084,0.003692484460771084,0.18781907856464386,1.4076827764511108,0.40768277645111084,0.058604300022125244,0.24183422327041626,2.3780765445735597e-07,0.010433531366288662,0.03916076943278313,0.20780764520168304,0.7697749137878418,1.3520833253860474,0.35208332538604736,0.1896604597568512,0.6470888257026672,0.012954880483448505,0.779316246509552,atlas_het__node_classification__graphatlas_c__split0__seed1__394bc13a9e33,394bc13a9e33,975d6eec98ed54f0
node_classification,accuracy,0.895470380783081,0.8315789699554443,0.8163265585899353,,,,,,,,,,,,0.8620689655172413,0.8952865191463985,0.8938169679036868,0.2141091525554657,0.1318860948085785,0.8954703832752613,0.895470380783081,0.8428707604127654,0.044083982706069946,0.8943124635907435,0.8181818181818182,0.8331895312050618,0.8314176245210728,0.6783283352851868,0.29754993319511414,0.8315789473684211,0.8315789699554443,0.7485439441782563,0.13352897763252258,0.8313186509907822,0.696969696969697,0.814781676217285,0.814862914862915,0.6384133100509644,0.2640359699726105,0.8163265306122449,0.8163265585899353,0.7295179549906766,0.11050988733768463,0.8133625250866631,,,,0.8292682766914368,0.8070175647735596,-0.03312311809597821,0.5517241379310345,0.18932367861270905,9.843103754292315e-08,8.390811956360267e-08,1.52587890625e-05,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.8163265585899353,,,,,,,,,0.0731680616736412,0.05274195596575737,0.0,0.020426105707883835,0.11918620765209198,0.0954926460981369,0.23693564534187317,1.9524752133293077e-05,0.5818737745285034,2.3704957962036133,0.7419161200523376,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.15,,certificate,1.0,full,none,False,dot,1,50,75,0,75,0.8315789699554443,64834,480,6456,0,15.40701675415039,cpu,0,0.9608392119407654,0.04555562138557434,0.480132132768631,1.0,0.03916075825691223,0.0,0.9951723217964172,1.4076827764511108,0.05741134285926819,0.08668684959411621,0.00013663602294400334,0.40768277645111084,0.003692484460771084,0.18781907856464386,1.4076827764511108,0.40768277645111084,0.058604300022125244,0.24183422327041626,2.3780765445735597e-07,0.010433531366288662,0.03916076943278313,0.20780764520168304,0.7697749137878418,1.3520833253860474,0.35208332538604736,0.1896604597568512,0.6470888257026672,0.012954880483448505,0.779316246509552,atlas_het__node_classification__graphatlas_c__split0__seed1__ec653b0a49cb,ec653b0a49cb,975d6eec98ed54f0
node_classification,accuracy,0.895470380783081,0.8315789699554443,0.8163265585899353,,,,,,,,,,,,0.8620689655172413,0.8952865191463985,0.8938169679036868,0.2141091525554657,0.1318860948085785,0.8954703832752613,0.895470380783081,0.8428707604127654,0.044083982706069946,0.8943124635907435,0.8181818181818182,0.8331895312050618,0.8314176245210728,0.6783283352851868,0.29754993319511414,0.8315789473684211,0.8315789699554443,0.7485439441782563,0.13352897763252258,0.8313186509907822,0.696969696969697,0.814781676217285,0.814862914862915,0.6384133100509644,0.2640359699726105,0.8163265306122449,0.8163265585899353,0.7295179549906766,0.11050988733768463,0.8133625250866631,,,,0.8292682766914368,0.8070175647735596,-0.03312311809597821,0.5517241379310345,0.18932367861270905,9.843103754292315e-08,8.390811956360267e-08,1.52587890625e-05,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.8163265585899353,,,,,,,,,0.0731680616736412,0.05274195596575737,0.0,0.020426105707883835,0.11918620765209198,0.0954926460981369,0.23693564534187317,1.9524752133293077e-05,0.5818737745285034,2.3704957962036133,0.7419161200523376,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.30,,certificate,1.0,full,none,False,dot,1,50,75,0,75,0.8315789699554443,64834,480,6456,0,15.550911664962769,cpu,0,0.9608392119407654,0.04555562138557434,0.480132132768631,1.0,0.03916075825691223,0.0,0.9951723217964172,1.4076827764511108,0.05741134285926819,0.08668684959411621,0.00013663602294400334,0.40768277645111084,0.003692484460771084,0.18781907856464386,1.4076827764511108,0.40768277645111084,0.058604300022125244,0.24183422327041626,2.3780765445735597e-07,0.010433531366288662,0.03916076943278313,0.20780764520168304,0.7697749137878418,1.3520833253860474,0.35208332538604736,0.1896604597568512,0.6470888257026672,0.012954880483448505,0.779316246509552,atlas_het__node_classification__graphatlas_c__split0__seed1__67f4ef96a97c,67f4ef96a97c,975d6eec98ed54f0
node_classification,accuracy,0.9337978959083557,0.8315789699554443,0.7448979616165161,,,,,,,,,,,,0.8977272727272727,0.9338710958710426,0.9322186387832234,0.1432911604642868,0.0886555016040802,0.9337979094076655,0.9337978959083557,0.9011465857739067,0.029047634452581406,0.933988508369031,0.7241379310344828,0.8302931464384393,0.8271636240703177,1.2861889600753784,0.28784996271133423,0.8315789473684211,0.8315789699554443,0.7473304334412235,0.14664670825004578,0.8279022620571915,0.5666666666666667,0.7405052930263014,0.7378066378066378,1.2706632614135742,0.4191727638244629,0.7448979591836735,0.7448979616165161,0.6207539525510652,0.1860351860523224,0.7380103556574144,,,,0.6904761791229248,0.7857142686843872,0.07363949284008886,0.44880174291938996,0.10088161379098892,6.235517702180005e-08,7.020908299182338e-08,1.52587890625e-05,1.52587890625e-05,0.0,0.0,0.0,0.0,0.7448979616165161,,,,,,,,,0.12528011202812195,0.09015168249607086,0.0,0.03512842208147049,0.13944588601589203,0.10518132895231247,0.342645525932312,2.958009463327471e-05,0.4900529980659485,2.9780373573303223,1.359782338142395,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.00,,certificate,1.0,full,none,False,dot,2,80,105,0,105,0.8315789699554443,64834,480,6506,0,21.60216212272644,cpu,0,0.9802778959274292,0.044231247156858444,0.24855521321296692,1.0,0.019722186028957367,0.0001135073762270622,0.9926787614822388,1.612972617149353,0.01774652861058712,0.03338596224784851,4.200578041491099e-05,0.612972617149353,0.0020461820531636477,0.3336382508277893,1.612972617149353,0.612972617149353,0.013570129871368408,0.3953580856323242,2.6003795028373133e-07,0.006309343967586756,0.019722195342183113,0.38529035449028015,0.6793729066848755,1.5729166269302368,0.5729166865348816,0.33479541540145874,0.6908431649208069,0.1407177448272705,0.5390971302986145,atlas_het__node_classification__graphatlas_c__split0__seed2__89b77e2b0fc4,89b77e2b0fc4,975d6eec98ed54f0
node_classification,accuracy,0.9337978959083557,0.8315789699554443,0.7448979616165161,,,,,,,,,,,,0.8977272727272727,0.9338710958710426,0.9322186387832234,0.1432911604642868,0.0886555016040802,0.9337979094076655,0.9337978959083557,0.9011465857739067,0.029047634452581406,0.933988508369031,0.7241379310344828,0.8302931464384393,0.8271636240703177,1.2861889600753784,0.28784996271133423,0.8315789473684211,0.8315789699554443,0.7473304334412235,0.14664670825004578,0.8279022620571915,0.5666666666666667,0.7405052930263014,0.7378066378066378,1.2706632614135742,0.4191727638244629,0.7448979591836735,0.7448979616165161,0.6207539525510652,0.1860351860523224,0.7380103556574144,,,,0.6904761791229248,0.7857142686843872,0.07363949284008886,0.44880174291938996,0.10088161379098892,6.235517702180005e-08,7.020908299182338e-08,1.52587890625e-05,1.52587890625e-05,0.0,0.0,0.0,0.0,0.7448979616165161,,,,,,,,,0.12528011202812195,0.09015168249607086,0.0,0.03512842208147049,0.13944588601589203,0.10518132895231247,0.342645525932312,2.958009463327471e-05,0.4900529980659485,2.9780373573303223,1.359782338142395,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.15,,certificate,1.0,full,none,False,dot,2,80,105,0,105,0.8315789699554443,64834,480,6506,0,21.37270712852478,cpu,0,0.9802778959274292,0.044231247156858444,0.24855521321296692,1.0,0.019722186028957367,0.0001135073762270622,0.9926787614822388,1.612972617149353,0.01774652861058712,0.03338596224784851,4.200578041491099e-05,0.612972617149353,0.0020461820531636477,0.3336382508277893,1.612972617149353,0.612972617149353,0.013570129871368408,0.3953580856323242,2.6003795028373133e-07,0.006309343967586756,0.019722195342183113,0.38529035449028015,0.6793729066848755,1.5729166269302368,0.5729166865348816,0.33479541540145874,0.6908431649208069,0.1407177448272705,0.5390971302986145,atlas_het__node_classification__graphatlas_c__split0__seed2__4374c636d525,4374c636d525,975d6eec98ed54f0
node_classification,accuracy,0.9337978959083557,0.8315789699554443,0.7448979616165161,,,,,,,,,,,,0.8977272727272727,0.9338710958710426,0.9322186387832234,0.1432911604642868,0.0886555016040802,0.9337979094076655,0.9337978959083557,0.9011465857739067,0.029047634452581406,0.933988508369031,0.7241379310344828,0.8302931464384393,0.8271636240703177,1.2861889600753784,0.28784996271133423,0.8315789473684211,0.8315789699554443,0.7473304334412235,0.14664670825004578,0.8279022620571915,0.5666666666666667,0.7405052930263014,0.7378066378066378,1.2706632614135742,0.4191727638244629,0.7448979591836735,0.7448979616165161,0.6207539525510652,0.1860351860523224,0.7380103556574144,,,,0.6904761791229248,0.7857142686843872,0.07363949284008886,0.44880174291938996,0.10088161379098892,6.235517702180005e-08,7.020908299182338e-08,1.52587890625e-05,1.52587890625e-05,0.0,0.0,0.0,0.0,0.7448979616165161,,,,,,,,,0.12528011202812195,0.09015168249607086,0.0,0.03512842208147049,0.13944588601589203,0.10518132895231247,0.342645525932312,2.958009463327471e-05,0.4900529980659485,2.9780373573303223,1.359782338142395,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.30,,certificate,1.0,full,none,False,dot,2,80,105,0,105,0.8315789699554443,64834,480,6506,0,21.504125356674194,cpu,0,0.9802778959274292,0.044231247156858444,0.24855521321296692,1.0,0.019722186028957367,0.0001135073762270622,0.9926787614822388,1.612972617149353,0.01774652861058712,0.03338596224784851,4.200578041491099e-05,0.612972617149353,0.0020461820531636477,0.3336382508277893,1.612972617149353,0.612972617149353,0.013570129871368408,0.3953580856323242,2.6003795028373133e-07,0.006309343967586756,0.019722195342183113,0.38529035449028015,0.6793729066848755,1.5729166269302368,0.5729166865348816,0.33479541540145874,0.6908431649208069,0.1407177448272705,0.5390971302986145,atlas_het__node_classification__graphatlas_c__split0__seed2__5e8a69eb5383,5e8a69eb5383,975d6eec98ed54f0
node_classification,accuracy,0.891986072063446,0.8105263113975525,0.7142857313156128,,,,,,,,,,,,0.8554216867469879,0.8919592071419745,0.8897157256476887,0.22176991403102875,0.13955141603946686,0.89198606271777,0.891986072063446,0.8375894590251858,0.0413847491145134,0.8916823282671461,0.6764705882352942,0.807871987001521,0.8209876543209876,0.8489093780517578,0.33346492052078247,0.8105263157894737,0.8105263113975525,0.7256607295150476,0.12139395624399185,0.8099882990890194,0.6206896551724138,0.715621521335807,0.7094175601274992,1.353424072265625,0.47757694125175476,0.7142857142857143,0.7142857313156128,0.5726403774554785,0.19790396094322205,0.711919191919192,,,,0.6896551847457886,0.7246376872062683,0.044137945778577416,0.4017857142857143,0.22031843662261963,9.06677470879913e-08,6.956970111104965e-08,1.1444091796875e-05,7.62939453125e-06,0.0,0.0,0.0,0.0,0.7142857313156128,,,,,,,,,0.06071239709854126,0.022895362228155136,0.0,0.037817034870386124,0.24454453587532043,0.20370250940322876,0.4084200859069824,0.0,0.6791344881057739,1.9044928550720215,1.1119716167449951,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.00,,certificate,1.0,full,none,False,dot,3,40,65,0,65,0.8105263113975525,64834,480,6486,0,13.656166315078735,cpu,0,0.9007952809333801,0.11973996460437775,0.41684776544570923,1.0,0.09920471161603928,0.0,0.8865280151367188,1.6176379919052124,0.13807813823223114,0.30162298679351807,0.0018939126748591661,0.6176379919052124,0.0163403432816267,0.3302803039550781,1.6176379919052124,0.6176379919052124,0.11665970087051392,0.555924654006958,2.338714324423563e-07,0.046709463000297546,0.09920471161603928,0.3375779688358307,0.7216569185256958,1.556249976158142,0.5562499761581421,0.33145827054977417,0.6890601515769958,0.0052340649999678135,0.5443295836448669,atlas_het__node_classification__graphatlas_c__split0__seed3__33845d17aa06,33845d17aa06,975d6eec98ed54f0
