task,metric_name,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,train_link_mrr,val_link_mrr,test_link_mrr,test_link_hits_at_10,test_link_hits_at_50,train_mcc,train_macro_f1,train_accuracy,train_balanced_accuracy,train_weighted_f1,train_nll,train_worst_class_recall,train_ece,train_brier,train_micro_f1,val_mcc,val_macro_f1,val_accuracy,val_balanced_accuracy,val_weighted_f1,val_nll,val_worst_class_recall,val_ece,val_brier,val_micro_f1,test_mcc,test_macro_f1,test_accuracy,test_balanced_accuracy,test_weighted_f1,test_nll,test_worst_class_recall,test_ece,test_brier,test_micro_f1,train_roc_auc,val_roc_auc,test_roc_auc,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,intervention_flip_rate_affine,intervention_flip_rate_nonlinear,intervention_test_metric_drop_affine,intervention_test_metric_drop_nonlinear,intervention_test_metric_nonlinear,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,geometry_error,dataset,model,model_family,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,mean_active_charts,overlap_ratio,membership_entropy_mean,membership_entropy_p90,chart_utilization_min,chart_utilization_max,run_id,config_hash,source_hash,metric_recovery_error,metric_recovery_mean_error,transition_error,local_distortion,cross_chart_distortion,curvature_flat_fraction,curvature_positive_fraction,curvature_negative_fraction,metric_direction_error,metric_scale_error,chart_rank_error,chart_min_relative_singular_value,chart_condition_number,transportability_mean,transportability_std,transportability_min,transportability_max,distortion_mean,fraction_q_below_025,fraction_q_above_075
node_classification,accuracy,0.9732441306114196,0.7828282713890076,0.7696078419685364,,,,,,,,,,,,0.959915470017646,0.9729107211528732,0.9732441306114196,0.9725209372046796,0.973180299624449,0.0961756780743599,0.9585492227979274,0.0351218022406101,0.050731886178255,0.9732441471571908,0.6744025735294118,0.7818139992053036,0.7828282713890076,0.7827380952380952,0.7822772552680326,1.0891518592834473,0.71875,0.1265869289636612,0.3528502881526947,0.7828282828282829,0.6581320227339943,0.7683837683837683,0.7696078419685364,0.7685185185185186,0.7688367100131807,1.102936863899231,0.6666666666666666,0.1398488581180572,0.3765609264373779,0.7696078431372549,,,,0.7692307829856873,0.7727273106575012,,,,,,,,,,,,,,,,,,,atlas_het_boundary_stress,ambient_vector_gnn,ambient_vector_gnn,0,145,185,0,185,0.7828282713890076,91875,1000,13184,58574336,37.05807852745056,cuda,0,,,,,,,atlas_het_boundary_stress__node_classification__ambient_vector_gnn__split0__seed0__ec748457cc15,ec748457cc15,2f51d3fdcdc3ef3a,,,,,,0.31700000166893,0.2110000103712082,0.4720000326633453,,,,,,,,,,,,
node_classification,accuracy,0.9230769276618958,0.7309644222259521,0.7756097316741943,,,,,,,,,,,,0.8845049256352382,0.9228069969940356,0.9230769276618958,0.9227900928494644,0.9230655070914828,0.20379139482975,0.9105263157894736,0.044099286198616,0.1161153241991996,0.9230769230769232,0.5969288863558185,0.7299127984527144,0.7309644222259521,0.729111146502451,0.730359466121474,0.923925280570984,0.6825396825396826,0.1433327198028564,0.4157514572143554,0.7309644670050761,0.664546332125723,0.7756776476310773,0.7756097316741943,0.7767705204221254,0.7756869549709596,0.6660140752792358,0.7397260273972602,0.0910817086696624,0.3177991211414337,0.775609756097561,,,,0.7729730010032654,0.800000011920929,,,,,,,,,,,,,,,,,,,atlas_het_boundary_stress,ambient_vector_gnn,ambient_vector_gnn,1,110,150,0,150,0.7309644222259521,91875,1000,13234,59682816,30.97792053222656,cuda,0,,,,,,,atlas_het_boundary_stress__node_classification__ambient_vector_gnn__split0__seed1__780919fa9da7,780919fa9da7,2f51d3fdcdc3ef3a,,,,,,0.3120000064373016,0.2190000116825103,0.4690000116825104,,,,,,,,,,,,
node_classification,accuracy,0.9682274460792542,0.7676767706871033,0.7450980544090271,,,,,,,,,,,,0.9525252770376746,0.9681156402903226,0.9682274460792542,0.9685351937337648,0.96815631317581,0.0904018059372901,0.9408866995073892,0.0287844836711883,0.048128955066204,0.968227424749164,0.6540503640205995,0.7666231594617687,0.7676767706871033,0.7682043266602937,0.7671314583141728,1.0317121744155884,0.6865671641791045,0.1630561351776123,0.4081315398216247,0.7676767676767676,0.6195411261114804,0.7451155395895578,0.7450980544090271,0.7458512501990763,0.7455050164930884,1.0396322011947632,0.6857142857142857,0.1530538499355316,0.3931992650032043,0.7450980392156863,,,,0.75,0.699999988079071,,,,,,,,,,,,,,,,,,,atlas_het_boundary_stress,ambient_vector_gnn,ambient_vector_gnn,2,160,200,0,200,0.7676767706871033,91875,1000,13190,58590720,39.06310892105103,cuda,0,,,,,,,atlas_het_boundary_stress__node_classification__ambient_vector_gnn__split0__seed2__025427d4a49c,025427d4a49c,2f51d3fdcdc3ef3a,,,,,,0.309000015258789,0.2100000083446502,0.4810000360012054,,,,,,,,,,,,
node_classification,accuracy,0.8494983315467834,0.7121211886405945,0.7352941632270813,,,,,,,,,,,,0.7742593246991919,0.8488590419602585,0.8494983315467834,0.8481197249649689,0.849308771854452,0.4023483097553253,0.8134715025906736,0.0787758976221084,0.2307635098695755,0.8494983277591973,0.5687210041167241,0.7081131899189499,0.7121211886405945,0.7107142857142857,0.709275786383207,0.7043136954307556,0.578125,0.0992785319685936,0.4000738263130188,0.7121212121212122,0.6026223575278,0.7330883011099175,0.7352941632270813,0.7335858585858586,0.7343360041384974,0.6983700394630432,0.6515151515151515,0.1121183335781097,0.4029196798801422,0.7352941176470589,,,,0.7252747416496277,0.8181818723678589,0.0710899258122903,0.7564766839378239,,,,,,,,,,,,,,,,,atlas_het_boundary_stress,geometry_moe,geometry_moe,0,100,140,0,140,0.7121211886405945,7828,1000,13184,48649216,3.991347312927246,cuda,0,2.072000026702881,0.6710000038146973,0.5465124845504761,1.131201982498169,0.1276977360248565,0.2603416740894317,atlas_het_boundary_stress__node_classification__geometry_moe__split0__seed0__59e517ba45d6,59e517ba45d6,2f51d3fdcdc3ef3a,,,,,,0.31700000166893,0.2110000103712082,0.4720000326633453,,,,,,,,,,,,
node_classification,accuracy,0.91304349899292,0.7005075812339783,0.7365853786468506,,,,,,,,,,,,0.8694392499822586,0.9121591039593592,0.91304349899292,0.9121139871836592,0.9129839163531888,0.2415729314088821,0.8947368421052632,0.068847969174385,0.1313172578811645,0.9130434782608696,0.5508874398733741,0.7012138188608777,0.7005075812339783,0.6998283520022651,0.7012612151459569,0.9508726000785828,0.6825396825396826,0.1494809091091156,0.4440787732601166,0.700507614213198,0.606597808983956,0.7366463604266139,0.7365853786468506,0.7378901068944005,0.7368750610726567,0.8528894186019897,0.6986301369863014,0.1350307464599609,0.3872801661491394,0.7365853658536585,,,,0.7459459900856018,0.6500000357627869,0.0474006221493376,0.7799871712636305,,,,,,,,,,,,,,,,,atlas_het_boundary_stress,geometry_moe,geometry_moe,1,190,200,0,200,0.7005075812339783,7828,1000,13234,48707584,27.97781991958618,cuda,0,2.09000015258789,0.6690000295639038,0.5558470487594604,1.078086495399475,0.0617619156837463,0.2964010238647461,atlas_het_boundary_stress__node_classification__geometry_moe__split0__seed1__29fae97887d3,29fae97887d3,2f51d3fdcdc3ef3a,,,,,,0.3120000064373016,0.2190000116825103,0.4690000116825104,,,,,,,,,,,,
node_classification,accuracy,0.7290970087051392,0.7121211886405945,0.6715686321258545,,,,,,,,,,,,0.5937991970335017,0.7281156068153741,0.7290970087051392,0.7289983427739019,0.7283179371812439,0.6097438931465149,0.6650246305418719,0.0692769065499305,0.3604599237442016,0.7290969899665551,0.5716830653009936,0.7127374182715634,0.7121211886405945,0.7132837449033468,0.7133080588583317,0.7832270860671997,0.6716417910447762,0.0746314749121666,0.4465688169002533,0.7121212121212122,0.5114418269963202,0.6687551152880085,0.6715686321258545,0.6715612889525934,0.6686057032244783,0.8025743961334229,0.5714285714285714,0.0703246295452117,0.4689505398273468,0.6715686274509803,,,,0.6847826242446899,0.550000011920929,0.059466532897596,0.9047619047619048,,,,,,,,,,,,,,,,,atlas_het_boundary_stress,geometry_moe,geometry_moe,2,65,105,0,105,0.7121211886405945,7828,1000,13190,48654848,15.990827322006226,cuda,0,2.954000234603882,0.9220000505447388,0.9224834442138672,1.3638699054718018,0.1504329890012741,0.2438416928052902,atlas_het_boundary_stress__node_classification__geometry_moe__split0__seed2__29e325bd60db,29e325bd60db,2f51d3fdcdc3ef3a,,,,,,0.309000015258789,0.2100000083446502,0.4810000360012054,,,,,,,,,,,,
node_classification,accuracy,0.9515050053596495,0.7626262903213501,0.7892157435417175,,,,,,,,,,,,0.9273105197579434,0.9512732197735668,0.9515050053596495,0.9513067422687131,0.9515444830573252,0.1475582122802734,0.9378238341968912,0.0432870835065841,0.0819365307688713,0.951505016722408,0.6442528156017904,0.7603698159704653,0.7626262903213501,0.7605654761904762,0.7612409017367695,1.1772072315216064,0.671875,0.1674968004226684,0.412475436925888,0.7626262626262627,0.6839277881110487,0.7887868289332413,0.7892157435417175,0.7891414141414143,0.7893669409733776,1.1840358972549438,0.7575757575757576,0.1406189203262329,0.3704703450202942,0.7892156862745098,,,,0.7802197933197021,0.8636363744735718,0.0615363467109701,0.8849456210646823,0.1719302237033844,7.006300961620583e-08,7.329628459729065e-08,3.4332275390625e-05,3.0517578125e-05,0.0,0.0,0.0,0.0,0.7892157435417175,0.3384539186954498,0.2391335517168045,0.0,0.0993203595280647,0.3827071785926819,0.9430604577064514,atlas_het_boundary_stress,graphatlas,graphatlas,0,110,150,0,150,0.7626262903213501,88812,1000,13184,299145216,451.5732216835022,cuda,0,1.874000072479248,0.8740000128746033,0.5043429136276245,0.6900710463523865,0.0,0.4731424152851105,atlas_het_boundary_stress__node_classification__graphatlas__split0__seed0__b66c44eaedeb,b66c44eaedeb,2f51d3fdcdc3ef3a,2.281679630279541,4.023894786834717,0.3523788750171661,0.7610972956665081,0.4617391885423622,0.31700000166893,0.2110000103712082,0.4720000326633453,0.3354875445365906,0.4721964299678802,0.0001381769543513,0.654106855392456,2.4617483615875244,,,,,,,
node_classification,accuracy,0.9698996543884276,0.7715736031532288,0.7609755992889404,,,,,,,,,,,,0.9548931997313852,0.9697063785512076,0.9698996543884276,0.9694435827341104,0.9698891450215734,0.0885926559567451,0.9593908629441624,0.0293598845601081,0.0488971248269081,0.9698996655518396,0.6574712069185498,0.7716729445750374,0.7715736031532288,0.7718426501035197,0.7715058914962938,1.576281189918518,0.7536231884057971,0.1570446342229843,0.3972902297973633,0.7715736040609137,0.642956912715394,0.7604746206310419,0.7609755992889404,0.761742394455541,0.7608688108032583,1.402744174003601,0.7164179104477612,0.1701143383979797,0.3871524035930633,0.7609756097560976,,,,0.7675675749778748,0.699999988079071,0.0907072114546493,0.8519174041297936,0.1319776475429535,5.6405468740194926e-08,5.83667016940126e-08,1.9073486328125e-05,1.9073486328125e-05,0.0,0.0,0.0,0.0,0.7609755992889404,0.2051929831504821,0.1268877685070037,0.0,0.0783052146434784,0.3088018000125885,1.4139230251312256,atlas_het_boundary_stress,graphatlas,graphatlas,1,180,200,0,200,0.7715736031532288,88812,1000,13234,299150336,272.289870262146,cuda,0,1.805000066757202,0.8050000667572021,0.4371994733810425,0.6843841075897217,0.0345272161066532,0.482804536819458,atlas_het_boundary_stress__node_classification__graphatlas__split0__seed1__9637df5980c2,9637df5980c2,2f51d3fdcdc3ef3a,2.2975308895111084,4.311003684997559,0.3380032777786255,0.7642973328796936,0.4765815351097419,0.3120000064373016,0.2190000116825103,0.4690000116825104,0.2725394368171692,0.3626236915588379,5.604037141893059e-05,0.6090703010559082,2.44614315032959,,,,,,,
node_classification,accuracy,0.9698996543884276,0.7626262903213501,0.7696078419685364,,,,,,,,,,,,0.9550296509227442,0.9697345336326496,0.9698996543884276,0.9702406901918847,0.969961801340796,0.09584691375494,0.955665024630542,0.0255969949066638,0.0515072382986545,0.9698996655518396,0.6465584859095725,0.7625137714689952,0.7626262903213501,0.7650410872240015,0.7620826432223989,1.457412600517273,0.7101449275362319,0.1786200553178787,0.4322905242443084,0.7626262626262627,0.6560159233825226,0.7683958713859047,0.7696078419685364,0.7700058395710571,0.7680609946586106,0.9714065194129944,0.6857142857142857,0.1539300978183746,0.3580193221569061,0.7696078431372549,,,,0.760869562625885,0.8500000238418579,0.0320385756223674,0.8620296465222349,0.1764233708381652,8.41915337446153e-08,6.562126486642228e-08,1.52587890625e-05,9.5367431640625e-06,0.0,0.0,0.0,0.0,0.7696078419685364,0.3260444700717926,0.2452301084995269,0.0,0.0808143690228462,0.3484496176242828,0.9444673657417296,atlas_het_boundary_stress,graphatlas,graphatlas,2,125,165,0,165,0.7626262903213501,88812,1000,13190,299149824,170.83184671401978,cuda,0,1.870000123977661,0.8700000643730164,0.5095346570014954,0.6852951645851135,0.0957552567124366,0.3013761639595032,atlas_het_boundary_stress__node_classification__graphatlas__split0__seed2__20b4e35299f5,20b4e35299f5,2f51d3fdcdc3ef3a,2.132655620574951,3.634449005126953,0.3300687372684479,0.7873667696596116,0.4388311337163853,0.309000015258789,0.2100000083446502,0.4810000360012054,0.3008088767528534,0.4764078259468078,0.0,0.7665248513221741,1.6999369859695437,,,,,,,
node_classification,accuracy,0.9364548325538636,0.7777777910232544,0.774509847164154,,,,,,,,,,,,0.9046963219565636,0.9366282717974012,0.9364548325538636,0.9360722781633916,0.9365039249112264,0.177123486995697,0.927461139896373,0.0432077944278717,0.1028391942381858,0.9364548494983278,0.6669219404678621,0.7771696504094917,0.7777777910232544,0.7779761904761905,0.7775075751814227,0.937890887260437,0.734375,0.1015936881303787,0.3689341247081756,0.7777777777777778,0.6625755141456753,0.7738362501488171,0.774509847164154,0.7748316498316498,0.7740217087906646,1.0081888437271118,0.7272727272727273,0.136032223701477,0.369148701429367,0.7745098039215687,,,,0.7692307829856873,0.8181818723678589,0.075020072537113,0.8097560975609757,0.0984754487872123,0.2197878360748291,0.239952951669693,16.029964447021484,17.342750549316406,0.1617647111415863,0.1274509876966476,0.0588235259056091,0.0392156839370727,0.7352941632270813,0.1285191178321838,0.081013411283493,0.0,0.0475057028234005,0.180351585149765,0.7356697916984558,atlas_het_boundary_stress,graphatlas_free_transition,graphatlas_free_transition,0,90,130,0,130,0.7777777910232544,88912,1000,13184,262249472,218.65418362617493,cuda,0,1.7670000791549685,0.7670000195503235,0.4417645335197449,0.6888437271118164,0.0,0.4038081169128418,atlas_het_boundary_stress__node_classification__graphatlas_free_transition__split0__seed0__fd7af3620c43,fd7af3620c43,2f51d3fdcdc3ef3a,0.8685246109962463,2.197518348693848,0.2093081772327423,0.4699279196930717,0.772068781849718,0.31700000166893,0.2110000103712082,0.4720000326633453,0.1497978568077087,0.3055371642112732,2.592574310256168e-05,0.4847630560398102,3.450068235397339,,,,,,,
