task,metric_name,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,train_link_mrr,val_link_mrr,test_link_mrr,test_link_hits_at_10,test_link_hits_at_50,train_micro_f1,train_brier,train_worst_class_recall,train_accuracy,train_weighted_f1,train_macro_f1,train_ece,train_mcc,train_nll,train_balanced_accuracy,val_micro_f1,val_brier,val_worst_class_recall,val_accuracy,val_weighted_f1,val_macro_f1,val_ece,val_mcc,val_nll,val_balanced_accuracy,test_micro_f1,test_brier,test_worst_class_recall,test_accuracy,test_weighted_f1,test_macro_f1,test_ece,test_mcc,test_nll,test_balanced_accuracy,train_roc_auc,val_roc_auc,test_roc_auc,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,intervention_flip_rate_affine,intervention_flip_rate_nonlinear,intervention_test_metric_drop_affine,intervention_test_metric_drop_nonlinear,intervention_test_metric_nonlinear,metric_recovery_error,metric_recovery_mean_error,transition_error,local_distortion,cross_chart_distortion,curvature_flat_fraction,curvature_positive_fraction,curvature_negative_fraction,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,metric_direction_error,metric_scale_error,chart_rank_error,chart_min_relative_singular_value,chart_condition_number,geometry_error,dataset,model,model_family,condition_id,intervention_profile,certified_routing_mode,transportability_beta,readout_mode,coordinate_activation,coordinate_left_linear,link_decoder,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,transportability_mean,transportability_std,transportability_min,transportability_max,distortion_mean,fraction_q_below_025,fraction_q_above_075,active_source_chart_count,q_route_spread_mean,q_route_spread_p90,routing_kl_from_membership,fraction_edges_with_multiple_source_charts,routing_total_variation_from_membership,routing_entropy_mean,active_target_chart_count,fraction_edges_with_multiple_target_charts,q_route_spread_median,q_route_spread_max,q_delta_closure_error,routing_opportunity,irreducible_transport_risk,cross_chart_mass,q_reference_agreement,mean_active_charts,overlap_ratio,membership_entropy_mean,membership_entropy_p90,chart_utilization_min,chart_utilization_max,run_id,config_hash,source_hash
node_classification,accuracy,0.9512194991111755,0.7553191781044006,0.9090909361839294,,,,,,,,,,,,0.9512195121951219,0.08258432894945145,0.9042553191489362,0.9512194991111755,0.9510911493034508,0.9520910978932854,0.027331817895174026,0.9271390521265069,0.14033249020576477,0.9515192752104059,0.7553191489361702,0.4059445261955261,0.7352941176470589,0.7553191781044006,0.7557486325159627,0.7553926360377973,0.17258396744728088,0.6343537781915982,1.5323981046676636,0.7567776832646297,0.9090909090909091,0.16095083951950073,0.8387096774193549,0.9090909361839294,0.9084239817859853,0.9077985777328049,0.07249139994382858,0.8644759625032017,0.39709708094596863,0.9080421146953405,,,,0.9444444179534912,0.8888888955116272,0.07444862606064574,0.5502846299810247,0.19446617364883423,5.80500483238211e-08,4.830722488691208e-08,6.67572021484375e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.9090909361839294,,,,,,,,,0.15567529201507568,0.09425625950098038,0.0,0.06141902506351471,0.2788991630077362,0.23236103355884552,0.4653817415237427,9.693110769148916e-06,0.5703675746917725,2.6849684715270996,1.6182024478912354,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.00,,certificate,-1.0,full,none,False,dot,0,65,90,0,90,0.7553191781044006,64834,480,6540,0,18.599909782409668,cpu,0,0.9445446729660034,0.07892806082963943,0.3533361554145813,1.0,0.05545525252819061,0.0,0.95107501745224,1.7642202377319336,0.06227573752403259,0.13735158741474152,0.0006772601627744734,0.7642201781272888,0.009092195890843868,0.40923336148262024,1.7642202377319336,0.7642201781272888,0.03968346118927002,0.4785974621772766,2.4916622010096035e-07,0.025379793718457222,0.05545525252819061,0.3897893726825714,0.5818042755126953,1.7354166507720947,0.7354166507720947,0.40753576159477234,0.6825417280197144,0.07944904267787933,0.49623796343803406,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed0__c6736c0f093b,c6736c0f093b,975d6eec98ed54f0
node_classification,accuracy,0.9512194991111755,0.7553191781044006,0.9090909361839294,,,,,,,,,,,,0.9512195121951219,0.08258432894945145,0.9042553191489362,0.9512194991111755,0.9510911493034508,0.9520910978932854,0.027331817895174026,0.9271390521265069,0.14033249020576477,0.9515192752104059,0.7553191489361702,0.4059445261955261,0.7352941176470589,0.7553191781044006,0.7557486325159627,0.7553926360377973,0.17258396744728088,0.6343537781915982,1.5323981046676636,0.7567776832646297,0.9090909090909091,0.16095083951950073,0.8387096774193549,0.9090909361839294,0.9084239817859853,0.9077985777328049,0.07249139994382858,0.8644759625032017,0.39709708094596863,0.9080421146953405,,,,0.9444444179534912,0.8888888955116272,0.07444862606064574,0.5502846299810247,0.19446617364883423,5.80500483238211e-08,4.830722488691208e-08,6.67572021484375e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.9090909361839294,,,,,,,,,0.15567529201507568,0.09425625950098038,0.0,0.06141902506351471,0.2788991630077362,0.23236103355884552,0.4653817415237427,9.693110769148916e-06,0.5703675746917725,2.6849684715270996,1.6182024478912354,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.15,,certificate,-1.0,full,none,False,dot,0,65,90,0,90,0.7553191781044006,64834,480,6540,0,18.681874752044678,cpu,0,0.9445446729660034,0.07892806082963943,0.3533361554145813,1.0,0.05545525252819061,0.0,0.95107501745224,1.7642202377319336,0.06227573752403259,0.13735158741474152,0.0006772601627744734,0.7642201781272888,0.009092195890843868,0.40923336148262024,1.7642202377319336,0.7642201781272888,0.03968346118927002,0.4785974621772766,2.4916622010096035e-07,0.025379793718457222,0.05545525252819061,0.3897893726825714,0.5818042755126953,1.7354166507720947,0.7354166507720947,0.40753576159477234,0.6825417280197144,0.07944904267787933,0.49623796343803406,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed0__0f560c83156a,0f560c83156a,975d6eec98ed54f0
node_classification,accuracy,0.9512194991111755,0.7553191781044006,0.9090909361839294,,,,,,,,,,,,0.9512195121951219,0.08258432894945145,0.9042553191489362,0.9512194991111755,0.9510911493034508,0.9520910978932854,0.027331817895174026,0.9271390521265069,0.14033249020576477,0.9515192752104059,0.7553191489361702,0.4059445261955261,0.7352941176470589,0.7553191781044006,0.7557486325159627,0.7553926360377973,0.17258396744728088,0.6343537781915982,1.5323981046676636,0.7567776832646297,0.9090909090909091,0.16095083951950073,0.8387096774193549,0.9090909361839294,0.9084239817859853,0.9077985777328049,0.07249139994382858,0.8644759625032017,0.39709708094596863,0.9080421146953405,,,,0.9444444179534912,0.8888888955116272,0.07444862606064574,0.5502846299810247,0.19446617364883423,5.80500483238211e-08,4.830722488691208e-08,6.67572021484375e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.9090909361839294,,,,,,,,,0.15567529201507568,0.09425625950098038,0.0,0.06141902506351471,0.2788991630077362,0.23236103355884552,0.4653817415237427,9.693110769148916e-06,0.5703675746917725,2.6849684715270996,1.6182024478912354,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.30,,certificate,-1.0,full,none,False,dot,0,65,90,0,90,0.7553191781044006,64834,480,6540,0,18.513110637664795,cpu,0,0.9445446729660034,0.07892806082963943,0.3533361554145813,1.0,0.05545525252819061,0.0,0.95107501745224,1.7642202377319336,0.06227573752403259,0.13735158741474152,0.0006772601627744734,0.7642201781272888,0.009092195890843868,0.40923336148262024,1.7642202377319336,0.7642201781272888,0.03968346118927002,0.4785974621772766,2.4916622010096035e-07,0.025379793718457222,0.05545525252819061,0.3897893726825714,0.5818042755126953,1.7354166507720947,0.7354166507720947,0.40753576159477234,0.6825417280197144,0.07944904267787933,0.49623796343803406,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed0__e3eaf7b248de,e3eaf7b248de,975d6eec98ed54f0
node_classification,accuracy,0.891986072063446,0.821052610874176,0.8163265585899353,,,,,,,,,,,,0.89198606271777,0.1425664871931076,0.8484848484848485,0.891986072063446,0.8911225588721595,0.8904866880941574,0.03559257090091705,0.8385359072080566,0.22913873195648193,0.8897855302771657,0.8210526315789474,0.29803749918937683,0.7878787878787878,0.821052610874176,0.8218893387314441,0.8196581196581197,0.15602204203605652,0.7318252406997389,0.6691922545433044,0.8199233716475095,0.8163265306122449,0.2820592224597931,0.696969696969697,0.8163265585899353,0.814781676217285,0.8133625250866631,0.11671479046344757,0.7295179549906766,0.7366230487823486,0.814862914862915,,,,0.8536585569381714,0.7894737124443054,-0.031579433092339196,0.5260115606936416,0.19211187958717346,8.742311763398902e-08,6.895022863773193e-08,6.67572021484375e-06,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.8163265585899353,,,,,,,,,0.07453980296850204,0.053196221590042114,0.0,0.02134357951581478,0.11374299973249435,0.09213561564683914,0.21607401967048645,1.6534962924197316e-05,0.5973348021507263,2.2727439403533936,0.8210645318031311,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.00,,certificate,-1.0,full,none,False,dot,1,50,75,0,75,0.821052610874176,64834,480,6456,0,15.296189069747925,cpu,0,0.95783531665802,0.04626835137605667,0.5858305096626282,1.0,0.04216470196843147,0.0,0.9973880648612976,1.4042750597000122,0.0671655461192131,0.10086478292942047,0.00017690248205326498,0.4042750895023346,0.004281484521925449,0.1853540986776352,1.4042750597000122,0.4042750895023346,0.06698155403137207,0.24971389770507812,2.439698221223807e-07,0.011552753858268261,0.04216470569372177,0.2097245156764984,0.7568153738975525,1.3479167222976685,0.3479166626930237,0.1882045716047287,0.643985390663147,0.014007440768182278,0.7751296758651733,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed1__d9d491eabc8d,d9d491eabc8d,975d6eec98ed54f0
node_classification,accuracy,0.891986072063446,0.821052610874176,0.8163265585899353,,,,,,,,,,,,0.89198606271777,0.1425664871931076,0.8484848484848485,0.891986072063446,0.8911225588721595,0.8904866880941574,0.03559257090091705,0.8385359072080566,0.22913873195648193,0.8897855302771657,0.8210526315789474,0.29803749918937683,0.7878787878787878,0.821052610874176,0.8218893387314441,0.8196581196581197,0.15602204203605652,0.7318252406997389,0.6691922545433044,0.8199233716475095,0.8163265306122449,0.2820592224597931,0.696969696969697,0.8163265585899353,0.814781676217285,0.8133625250866631,0.11671479046344757,0.7295179549906766,0.7366230487823486,0.814862914862915,,,,0.8536585569381714,0.7894737124443054,-0.031579433092339196,0.5260115606936416,0.19211187958717346,8.742311763398902e-08,6.895022863773193e-08,6.67572021484375e-06,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.8163265585899353,,,,,,,,,0.07453980296850204,0.053196221590042114,0.0,0.02134357951581478,0.11374299973249435,0.09213561564683914,0.21607401967048645,1.6534962924197316e-05,0.5973348021507263,2.2727439403533936,0.8210645318031311,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.15,,certificate,-1.0,full,none,False,dot,1,50,75,0,75,0.821052610874176,64834,480,6456,0,15.355329513549805,cpu,0,0.95783531665802,0.04626835137605667,0.5858305096626282,1.0,0.04216470196843147,0.0,0.9973880648612976,1.4042750597000122,0.0671655461192131,0.10086478292942047,0.00017690248205326498,0.4042750895023346,0.004281484521925449,0.1853540986776352,1.4042750597000122,0.4042750895023346,0.06698155403137207,0.24971389770507812,2.439698221223807e-07,0.011552753858268261,0.04216470569372177,0.2097245156764984,0.7568153738975525,1.3479167222976685,0.3479166626930237,0.1882045716047287,0.643985390663147,0.014007440768182278,0.7751296758651733,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed1__559db2ccc2b3,559db2ccc2b3,975d6eec98ed54f0
node_classification,accuracy,0.891986072063446,0.821052610874176,0.8163265585899353,,,,,,,,,,,,0.89198606271777,0.1425664871931076,0.8484848484848485,0.891986072063446,0.8911225588721595,0.8904866880941574,0.03559257090091705,0.8385359072080566,0.22913873195648193,0.8897855302771657,0.8210526315789474,0.29803749918937683,0.7878787878787878,0.821052610874176,0.8218893387314441,0.8196581196581197,0.15602204203605652,0.7318252406997389,0.6691922545433044,0.8199233716475095,0.8163265306122449,0.2820592224597931,0.696969696969697,0.8163265585899353,0.814781676217285,0.8133625250866631,0.11671479046344757,0.7295179549906766,0.7366230487823486,0.814862914862915,,,,0.8536585569381714,0.7894737124443054,-0.031579433092339196,0.5260115606936416,0.19211187958717346,8.742311763398902e-08,6.895022863773193e-08,6.67572021484375e-06,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.8163265585899353,,,,,,,,,0.07453980296850204,0.053196221590042114,0.0,0.02134357951581478,0.11374299973249435,0.09213561564683914,0.21607401967048645,1.6534962924197316e-05,0.5973348021507263,2.2727439403533936,0.8210645318031311,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.30,,certificate,-1.0,full,none,False,dot,1,50,75,0,75,0.821052610874176,64834,480,6456,0,15.383187770843506,cpu,0,0.95783531665802,0.04626835137605667,0.5858305096626282,1.0,0.04216470196843147,0.0,0.9973880648612976,1.4042750597000122,0.0671655461192131,0.10086478292942047,0.00017690248205326498,0.4042750895023346,0.004281484521925449,0.1853540986776352,1.4042750597000122,0.4042750895023346,0.06698155403137207,0.24971389770507812,2.439698221223807e-07,0.011552753858268261,0.04216470569372177,0.2097245156764984,0.7568153738975525,1.3479167222976685,0.3479166626930237,0.1882045716047287,0.643985390663147,0.014007440768182278,0.7751296758651733,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed1__3ee2dac4b639,3ee2dac4b639,975d6eec98ed54f0
node_classification,accuracy,0.9268292784690857,0.800000011920929,0.7346938848495483,,,,,,,,,,,,0.926829268292683,0.10990883409976959,0.8295454545454546,0.9268292784690857,0.9258522182109259,0.9246009778426986,0.04864639416337013,0.891759586549991,0.18565380573272705,0.922900166002046,0.8,0.299014687538147,0.7586206896551724,0.800000011920929,0.7995493428406697,0.7987554959385945,0.1539245843887329,0.6995858143146124,1.322618842124939,0.7976039553752535,0.7346938775510204,0.4548474848270416,0.6,0.7346938848495483,0.7333946236722538,0.7325451085689357,0.1761264055967331,0.6062848638249351,1.2694182395935059,0.7287157287157288,,,,0.6904761791229248,0.7678571343421936,0.06526394580663168,0.4520547945205479,0.10423856973648071,6.412705744196501e-08,7.21776984846656e-08,1.1444091796875e-05,1.1444091796875e-05,0.0,0.0,0.0,0.0,0.7346938848495483,,,,,,,,,0.11703841388225555,0.08419697731733322,0.0,0.032841432839632034,0.1603243201971054,0.12028313428163528,0.4004118740558624,0.0,0.4837167263031006,2.9059126377105713,1.5948790311813354,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.00,,certificate,-1.0,full,none,False,dot,2,65,90,0,90,0.800000011920929,64834,480,6506,0,18.25077795982361,cpu,0,0.9401997923851013,0.10407494753599167,0.09394877403974533,1.0,0.059800177812576294,0.0013777405256405473,0.9413561820983887,1.5688594579696655,0.07642436772584915,0.18456336855888367,0.0009396006935276091,0.5688595175743103,0.008106131106615067,0.2933349609375,1.5688594579696655,0.5688595175743103,0.0394902229309082,0.6865255236625671,2.3932545900606783e-07,0.0215440820902586,0.059800177812576294,0.3360036611557007,0.6572906970977783,1.5291666984558105,0.5291666388511658,0.2970629334449768,0.6726465225219727,0.05513112619519234,0.5801074504852295,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed2__6169980cf540,6169980cf540,975d6eec98ed54f0
node_classification,accuracy,0.9268292784690857,0.800000011920929,0.7346938848495483,,,,,,,,,,,,0.926829268292683,0.10990883409976959,0.8295454545454546,0.9268292784690857,0.9258522182109259,0.9246009778426986,0.04864639416337013,0.891759586549991,0.18565380573272705,0.922900166002046,0.8,0.299014687538147,0.7586206896551724,0.800000011920929,0.7995493428406697,0.7987554959385945,0.1539245843887329,0.6995858143146124,1.322618842124939,0.7976039553752535,0.7346938775510204,0.4548474848270416,0.6,0.7346938848495483,0.7333946236722538,0.7325451085689357,0.1761264055967331,0.6062848638249351,1.2694182395935059,0.7287157287157288,,,,0.6904761791229248,0.7678571343421936,0.06526394580663168,0.4520547945205479,0.10423856973648071,6.412705744196501e-08,7.21776984846656e-08,1.1444091796875e-05,1.1444091796875e-05,0.0,0.0,0.0,0.0,0.7346938848495483,,,,,,,,,0.11703841388225555,0.08419697731733322,0.0,0.032841432839632034,0.1603243201971054,0.12028313428163528,0.4004118740558624,0.0,0.4837167263031006,2.9059126377105713,1.5948790311813354,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.15,,certificate,-1.0,full,none,False,dot,2,65,90,0,90,0.800000011920929,64834,480,6506,0,18.344642639160156,cpu,0,0.9401997923851013,0.10407494753599167,0.09394877403974533,1.0,0.059800177812576294,0.0013777405256405473,0.9413561820983887,1.5688594579696655,0.07642436772584915,0.18456336855888367,0.0009396006935276091,0.5688595175743103,0.008106131106615067,0.2933349609375,1.5688594579696655,0.5688595175743103,0.0394902229309082,0.6865255236625671,2.3932545900606783e-07,0.0215440820902586,0.059800177812576294,0.3360036611557007,0.6572906970977783,1.5291666984558105,0.5291666388511658,0.2970629334449768,0.6726465225219727,0.05513112619519234,0.5801074504852295,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed2__12d5d7e2e711,12d5d7e2e711,975d6eec98ed54f0
node_classification,accuracy,0.9268292784690857,0.800000011920929,0.7346938848495483,,,,,,,,,,,,0.926829268292683,0.10990883409976959,0.8295454545454546,0.9268292784690857,0.9258522182109259,0.9246009778426986,0.04864639416337013,0.891759586549991,0.18565380573272705,0.922900166002046,0.8,0.299014687538147,0.7586206896551724,0.800000011920929,0.7995493428406697,0.7987554959385945,0.1539245843887329,0.6995858143146124,1.322618842124939,0.7976039553752535,0.7346938775510204,0.4548474848270416,0.6,0.7346938848495483,0.7333946236722538,0.7325451085689357,0.1761264055967331,0.6062848638249351,1.2694182395935059,0.7287157287157288,,,,0.6904761791229248,0.7678571343421936,0.06526394580663168,0.4520547945205479,0.10423856973648071,6.412705744196501e-08,7.21776984846656e-08,1.1444091796875e-05,1.1444091796875e-05,0.0,0.0,0.0,0.0,0.7346938848495483,,,,,,,,,0.11703841388225555,0.08419697731733322,0.0,0.032841432839632034,0.1603243201971054,0.12028313428163528,0.4004118740558624,0.0,0.4837167263031006,2.9059126377105713,1.5948790311813354,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.30,,certificate,-1.0,full,none,False,dot,2,65,90,0,90,0.800000011920929,64834,480,6506,0,18.33250093460083,cpu,0,0.9401997923851013,0.10407494753599167,0.09394877403974533,1.0,0.059800177812576294,0.0013777405256405473,0.9413561820983887,1.5688594579696655,0.07642436772584915,0.18456336855888367,0.0009396006935276091,0.5688595175743103,0.008106131106615067,0.2933349609375,1.5688594579696655,0.5688595175743103,0.0394902229309082,0.6865255236625671,2.3932545900606783e-07,0.0215440820902586,0.059800177812576294,0.3360036611557007,0.6572906970977783,1.5291666984558105,0.5291666388511658,0.2970629334449768,0.6726465225219727,0.05513112619519234,0.5801074504852295,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed2__2251e013e16b,2251e013e16b,975d6eec98ed54f0
node_classification,accuracy,0.9233449697494507,0.821052610874176,0.704081654548645,,,,,,,,,,,,0.9233449477351916,0.10239681601524353,0.9036144578313253,0.9233449697494507,0.9236064511939652,0.924107564858514,0.03978811204433441,0.8849452799730937,0.17114341259002686,0.9221198519568469,0.8210526315789474,0.29590147733688354,0.7058823529411765,0.821052610874176,0.8191850594227503,0.8201560193970061,0.09891670942306519,0.736394359410977,0.6954354643821716,0.8282498184458968,0.7040816326530612,0.45787838101387024,0.5172413793103449,0.704081654548645,0.6984035055463627,0.6927427427427428,0.19800075888633728,0.5558623230448334,1.510932445526123,0.6937023085096108,,,,0.8275862336158752,0.6521739363670349,0.06400864915386333,0.38344226579520696,0.17594823241233826,7.957306991102087e-08,5.8165429805967506e-08,1.1444091796875e-05,1.1444091796875e-05,0.0,0.0,0.0,0.0,0.704081654548645,,,,,,,,,0.07089588046073914,0.040960248559713364,0.0,0.02993563562631607,0.1250879466533661,0.10752733051776886,0.17560623586177826,0.0,0.694564163684845,1.8950964212417603,1.0866234302520752,atlas_het,graphatlas_c_beta_-1,graphatlas_certified,ov0.10_cross0.00,,certificate,-1.0,full,none,False,dot,3,50,75,0,75,0.821052610874176,64834,480,6486,0,15.279368877410889,cpu,0,0.9397338032722473,0.09201154857873917,0.2846662998199463,1.0,0.060266103595495224,0.0,0.9487739205360413,1.626888632774353,0.08412238955497742,0.204383984208107,0.0008912999765016139,0.6268886923789978,0.009549921378493309,0.3328969478607178,1.626888632774353,0.6268886923789978,0.04936641454696655,0.5679062008857727,2.372840128828102e-07,0.024619365110993385,0.06026608869433403,0.36005035042762756,0.6649193167686462,1.5791666507720947,0.5791666507720947,0.33362504839897156,0.6878651976585388,0.05683941766619682,0.5242535471916199,atlas_het__node_classification__graphatlas_c_beta__1__split0__seed3__da4a49145a27,da4a49145a27,975d6eec98ed54f0
