task,metric_name,train_accuracy,val_accuracy,test_accuracy,train_roc_auc,val_roc_auc,test_roc_auc,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,geometry_error,dataset,model,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,mean_active_charts,run_id,config_hash,source_hash
node_classification,accuracy,0.9162790775299072,0.7746478915214539,0.7972972989082336,,,,0.9162790775299072,0.7746478915214539,0.7972972989082336,,,,,,,0.7804877758026123,0.8181818127632141,0.3079063215558521,0.684085510688836,0.1246320903301239,9.076163109966728e-08,6.393914731006589e-08,7.62939453125e-06,4.291534423828125e-06,1.1068034172058105,0.5039220452308655,0.0,0.6028813123703003,1.1980154514312744,0.2440357357263565,atlas_het,graphatlas,0,56,82,78,4,0.7746478915214539,26096,360,4036,0,14.19806170463562,cpu,0,1.5833333730697632,atlas_het__node_classification__graphatlas__split0__seed0__482a0c9fc936,482a0c9fc936,1603a252da85889e
node_classification,accuracy,0.9395349025726318,0.8169013857841492,0.8108108043670654,,,,0.9395349025726318,0.8169013857841492,0.8108108043670654,,,,,,,0.8666666746139526,0.7241379022598267,0.10785090463947927,0.7225548902195609,0.14087606966495514,6.750268966015938e-08,8.522590633219806e-08,4.76837158203125e-06,3.814697265625e-06,0.5219451189041138,0.2072061002254486,0.0,0.31473904848098755,0.6311957836151123,0.21618148684501648,atlas_het,graphatlas,1,74,100,82,18,0.8169013857841492,26096,360,4052,0,16.83840537071228,cpu,0,1.75,atlas_het__node_classification__graphatlas__split0__seed1__355f37922a4f,355f37922a4f,1603a252da85889e
node_classification,accuracy,0.6372092962265015,0.6478873491287231,0.6081081032752991,,,,0.6372092962265015,0.6478873491287231,0.6081081032752991,,,,,,,0.5625,0.692307710647583,0.2148476727913313,0.7164179104477612,0.15468205511569977,5.556507431947466e-08,5.193049190665988e-08,9.5367431640625e-07,5.960464477539062e-07,0.17930226027965546,0.05410774052143097,0.0,0.1251945197582245,0.6198079586029053,0.07449999451637268,atlas_het,graphatlas,2,24,50,0,50,0.6478873491287231,26096,360,4076,0,8.854982376098633,cpu,0,1.8222222328186035,atlas_het__node_classification__graphatlas__split0__seed2__4f57e2081b78,4f57e2081b78,1603a252da85889e
node_classification,accuracy,0.8186046481132507,0.6760563254356384,0.7702702879905701,,,,0.8186046481132507,0.6760563254356384,0.7702702879905701,,,,,,,0.7317073345184326,0.8181818127632141,0.4039272067865826,0.7535070140280561,0.41883447766304016,0.062237076461315155,0.11232300102710724,1.1250157356262207,1.939892053604126,0.5210332870483398,0.358392596244812,0.0,0.16264069080352783,0.4707525670528412,0.4467101991176605,atlas_het,graphatlas_free_transition,0,40,66,0,66,0.6760563254356384,26132,360,4036,0,10.039743423461914,cpu,0,1.7999999523162842,atlas_het__node_classification__graphatlas_free_transition__split0__seed0__cff836e7ead7,cff836e7ead7,1603a252da85889e
node_classification,accuracy,0.9720930457115173,0.8169013857841492,0.7432432174682617,,,,0.9720930457115173,0.8169013857841492,0.7432432174682617,,,,,,,0.7111111283302307,0.7931034564971924,0.11995553684700563,0.8421052631578947,0.1392476111650467,0.024332471191883087,0.2907763719558716,2.105426549911499,28.244972229003906,0.21823301911354065,0.1170424148440361,0.0,0.10119059681892395,0.33930185437202454,0.27639132738113403,atlas_het,graphatlas_free_transition,1,92,100,86,14,0.8169013857841492,26132,360,4052,0,15.549966812133789,cpu,0,1.6777777671813965,atlas_het__node_classification__graphatlas_free_transition__split0__seed1__948bda3d69e4,948bda3d69e4,1603a252da85889e
node_classification,accuracy,0.7116279006004333,0.6760563254356384,0.662162184715271,,,,0.7116279006004333,0.6760563254356384,0.662162184715271,,,,,,,0.5833333134651184,0.807692289352417,0.047073000231714714,0.7085714285714285,0.18602854013442993,0.04090166091918945,0.026395514607429504,0.8247888088226318,0.9235506057739258,0.3120647668838501,0.12998662889003754,0.0,0.18207812309265137,0.5447822213172913,0.14370280504226685,atlas_het,graphatlas_free_transition,2,36,62,0,62,0.6760563254356384,26132,360,4076,0,9.380472421646118,cpu,0,1.7916666269302368,atlas_het__node_classification__graphatlas_free_transition__split0__seed2__fd1f836f834f,fd1f836f834f,1603a252da85889e
node_classification,accuracy,0.8976744413375854,0.7605633735656738,0.7837837934494019,,,,0.8976744413375854,0.7605633735656738,0.7837837934494019,,,,,,,0.7804877758026123,0.7878788113594055,0.3669518623790274,0.6763990267639902,0.22446127235889435,0.05270523950457573,0.13949641585350037,2.102692127227783,7.5939435958862305,0.39190948009490967,0.25412118434906006,0.0,0.1377882957458496,1.043223261833191,0.33556807041168213,atlas_het,graphatlas_no_transport,0,52,78,0,78,0.7605633735656738,26096,360,4036,0,10.22644567489624,cpu,0,1.5555555820465088,atlas_het__node_classification__graphatlas_no_transport__split0__seed0__c3f445754854,c3f445754854,1603a252da85889e
node_classification,accuracy,0.9720930457115173,0.8591549396514893,0.7972972989082336,,,,0.9720930457115173,0.8591549396514893,0.7972972989082336,,,,,,,0.8222222328186035,0.7586206793785095,0.032738968821385814,0.8542094455852156,0.22424493730068207,0.04100029543042183,0.038206420838832855,3.2216598987579346,4.15671968460083,0.3411840796470642,0.1460389792919159,0.0,0.19514508545398712,0.5064399838447571,0.5155626535415649,atlas_het,graphatlas_no_transport,1,94,100,96,4,0.8591549396514893,26096,360,4052,0,13.992986679077148,cpu,0,1.711111068725586,atlas_het__node_classification__graphatlas_no_transport__split0__seed1__8bbab7291f5d,8bbab7291f5d,1603a252da85889e
node_classification,accuracy,0.6232557892799377,0.6478873491287231,0.5270270109176636,,,,0.6232557892799377,0.6478873491287231,0.5270270109176636,,,,,,,0.4791666567325592,0.6153846383094788,0.14426795672056716,0.738404452690167,0.10788527876138687,0.06075848639011383,0.021020909771323204,0.3448143005371094,0.16287708282470703,0.19796040654182434,0.09423163533210754,0.0,0.1037287637591362,0.4097837507724762,0.08956066519021988,atlas_het,graphatlas_no_transport,2,24,50,0,50,0.6478873491287231,26096,360,4076,0,6.602332353591919,cpu,0,1.8305555582046509,atlas_het__node_classification__graphatlas_no_transport__split0__seed2__96fcc6d0c80b,96fcc6d0c80b,1603a252da85889e
