task,metric_name,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,train_link_mrr,val_link_mrr,test_link_mrr,test_link_hits_at_10,test_link_hits_at_50,train_micro_f1,train_balanced_accuracy,train_nll,train_ece,train_mcc,train_brier,train_weighted_f1,train_accuracy,train_worst_class_recall,train_macro_f1,val_micro_f1,val_balanced_accuracy,val_nll,val_ece,val_mcc,val_brier,val_weighted_f1,val_accuracy,val_worst_class_recall,val_macro_f1,test_micro_f1,test_balanced_accuracy,test_nll,test_ece,test_mcc,test_brier,test_weighted_f1,test_accuracy,test_worst_class_recall,test_macro_f1,train_roc_auc,val_roc_auc,test_roc_auc,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,intervention_flip_rate_affine,intervention_flip_rate_nonlinear,intervention_test_metric_drop_affine,intervention_test_metric_drop_nonlinear,intervention_test_metric_nonlinear,metric_recovery_error,metric_recovery_mean_error,transition_error,local_distortion,cross_chart_distortion,curvature_flat_fraction,curvature_positive_fraction,curvature_negative_fraction,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,metric_direction_error,metric_scale_error,chart_rank_error,chart_min_relative_singular_value,chart_condition_number,geometry_error,dataset,model,model_family,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,transportability_mean,transportability_std,transportability_min,transportability_max,distortion_mean,fraction_q_below_025,fraction_q_above_075,active_source_chart_count,q_route_spread_mean,q_route_spread_p90,routing_kl_from_membership,fraction_edges_with_multiple_source_charts,routing_total_variation_from_membership,routing_entropy_mean,active_target_chart_count,fraction_edges_with_multiple_target_charts,q_route_spread_median,q_route_spread_max,mean_active_charts,overlap_ratio,membership_entropy_mean,membership_entropy_p90,chart_utilization_min,chart_utilization_max,run_id,config_hash,source_hash
node_classification,accuracy,0.44572368264198303,0.3708881437778473,0.37828946113586426,,,,,,,,,,,,0.4457236842105263,0.4407399140046511,1.2107794284820557,0.027051614597439766,0.30685067497454654,0.6383751034736633,0.4272799283650618,0.44572368264198303,0.07275541795665634,0.40893272590814556,0.37088815789473684,0.36026488050267347,1.4135866165161133,0.0697401836514473,0.20610403678002084,0.7102370262145996,0.3568301004768049,0.3708881437778473,0.05128205128205128,0.33466614426729285,0.3782894736842105,0.3699669218704936,1.412077784538269,0.05874559283256531,0.21796319126447697,0.7106854915618896,0.3615771015580656,0.37828946113586426,0.03816793893129771,0.3408916976515514,,,,,,,,0.08870130777359009,8.375501892032844e-08,8.715335297893034e-08,3.814697265625e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.37828946113586426,,,,,,,,,0.06736289709806442,0.02841838262975216,0.0,0.03894451633095741,1.0076773166656494,0.9314464926719666,0.7623087763786316,0.00016782674356363714,0.2269151657819748,7.883584022521973,0.0,actor,graphatlas,graphatlas,0,35,115,0,115,0.3708881437778473,446821,7600,53411,0,197.07379984855652,cpu,0,,,,,,,,,,,,,,,,,,,2.0,1.0,0.6393515467643738,0.6652112007141113,0.0,0.6593406796455383,actor__node_classification__graphatlas__split0__seed0__35faf269c0a5,35faf269c0a5,464db07c065a0877
node_classification,accuracy,0.6019108295440674,0.44879961013793945,0.45271924138069153,,,,,,,,,,,,0.6019108280254777,0.5249677353971833,0.9482537508010864,0.01883230358362198,0.44547235953498177,0.5084524750709534,0.5906858715521792,0.6019108295440674,0.36480293308890926,0.5634511601175665,0.4487996080352768,0.35049969923478486,1.5306609869003296,0.13006514310836792,0.22326287550569454,0.707531750202179,0.4270677526961256,0.44879961013793945,0.15849056603773584,0.35837441081164867,0.45271925526702594,0.35345488665409835,1.4858992099761963,0.12311558425426483,0.22874614537048418,0.6940938234329224,0.4306646615688139,0.45271924138069153,0.15567765567765568,0.3616878332147987,,,,,,,,0.11101175099611282,1.223468188982224e-07,1.5148324905567279e-07,1.71661376953125e-05,1.33514404296875e-05,0.0,0.0,0.0,0.0,0.45271924138069153,,,,,,,,,0.1401585191488266,0.0829145759344101,0.0,0.057243943214416504,0.6820125579833984,0.5436580181121826,1.3835455179214478,0.0011156497057527304,0.17892473936080933,8.933021545410156,0.0,amazon_ratings,graphatlas,graphatlas,0,335,400,0,400,0.44879961013793945,264805,24492,186100,0,2504.7514946460724,cpu,0,,,,,,,,,,,,,,,,,,,1.8738771677017212,0.8738771677017212,0.5379782915115356,0.69144606590271,0.04899287968873978,0.41176408529281616,amazon_ratings__node_classification__graphatlas__split0__seed0__97014ccd4af6,97014ccd4af6,464db07c065a0877
node_classification,accuracy,1.0,0.6100000143051147,0.5659999847412109,,,,,,,,,,,,1.0,1.0,1.5386734958156012e-05,1.537799835205078e-05,1.0,7.2099251013924e-09,1.0,1.0,1.0,1.0,0.61,0.5789742230979184,2.6852304935455322,0.2739579677581787,0.526583270574598,0.6494525671005249,0.6076965692197877,0.6100000143051147,0.3448275862068966,0.569698016349668,0.566,0.5473477794517425,3.0390326976776123,0.3219539523124695,0.48192370894502995,0.7340065836906433,0.5604913491546251,0.5659999847412109,0.2857142857142857,0.5351276899274042,,,,,,,,0.21392354369163513,7.334838869610394e-08,1.50460877534897e-07,1.52587890625e-05,2.288818359375e-05,0.0,0.0,0.0,0.0,0.5659999847412109,,,,,,,,,0.22215218842029572,0.20431950688362122,0.0,0.0178326815366745,0.6827289462089539,0.6470414996147156,0.35687434673309326,0.0004054292803630233,0.19047589600086212,8.2516450881958,0.0,citeseer,graphatlas,graphatlas,0,85,165,0,165,0.6100000143051147,1216995,3327,9104,0,110.37487649917603,cpu,0,,,,,,,,,,,,,,,,,,,1.980462908744812,0.980462908744812,0.6333782076835632,0.6924479007720947,0.21243678033351898,0.5093522071838379,citeseer__node_classification__graphatlas__split0__seed0__df3c967ad564,df3c967ad564,464db07c065a0877
node_classification,accuracy,1.0,0.9410962462425232,0.9372784495353699,,,,,,,,,,,,1.0,1.0,3.1788211344974115e-05,3.153085708618164e-05,1.0,8.347233801941911e-07,1.0,1.0,1.0,1.0,0.9410962639760022,0.9232140476596536,0.7458472847938538,0.05176553130149841,0.9334988253410853,0.11082151532173157,0.9412674406118655,0.9410962462425232,0.8202247191011236,0.9214209203177699,0.9372784292337061,0.9090731454080425,0.7320826053619385,0.053551457822322845,0.9296888741957016,0.1158207431435585,0.937234157380099,0.9372784495353699,0.8024691358024691,0.9116392875101673,,,,,,,,0.07628671079874039,1.0997838195692111e-08,1.6192874596754336e-08,3.814697265625e-05,4.57763671875e-05,0.0,0.0,0.0,0.0,0.9372784495353699,,,,,,,,,0.015899453312158585,0.009611212648451328,0.0,0.006288241129368544,0.39270851016044617,0.35749754309654236,0.35211023688316345,0.0006235474138520658,0.18046610057353973,9.37508487701416,0.0,coauthor_cs,graphatlas,graphatlas,0,170,250,0,250,0.9410962462425232,2139215,18333,163788,0,1653.3904275894165,cpu,0,,,,,,,,,,,,,,,,,,,1.9848361015319824,0.9848361015319824,0.6516909003257751,0.6921623945236206,0.13107585906982422,0.3841736614704132,coauthor_cs__node_classification__graphatlas__split0__seed0__9275b6753774,9275b6753774,464db07c065a0877
node_classification,accuracy,0.9954095482826233,0.9675315022468567,0.9711552262306213,,,,,,,,,,,,0.9954095192075381,0.993861324621553,0.015231315046548843,0.0022987155243754387,0.9932587877140329,0.00718271266669035,0.9954084332112981,0.9954095482826233,0.9887218045112782,0.9940210509412969,0.9675315263081606,0.9570106695902313,0.1693815141916275,0.02255944535136223,0.9520071401457675,0.055852435529232025,0.967519195804167,0.9675315022468567,0.9213483146067416,0.957071593388517,0.9711552398898391,0.962879888522731,0.14813795685768127,0.01952243223786354,0.9572674826010167,0.04908252879977226,0.971188185214011,0.9711552262306213,0.9366715758468336,0.9606651267043999,,,,,,,,0.2677687406539917,5.8464575403149865e-09,1.1544052824774553e-08,3.814697265625e-05,4.57763671875e-05,0.0,0.0,0.0,0.0,0.9711552262306213,,,,,,,,,0.07099275290966034,0.0509217195212841,0.0,0.020071037113666534,0.5389981865882874,0.5001363158226013,0.38861918449401855,1.883844925032463e-05,0.3049940764904022,6.271431922912598,0.0,coauthor_physics,graphatlas,graphatlas,0,75,155,0,155,0.9675315022468567,2601925,34493,495924,0,2717.9156420230865,cpu,0,,,,,,,,,,,,,,,,,,,1.7647348642349243,0.7647348642349243,0.4579552412033081,0.6898354291915894,0.037148989737033844,0.4472580552101135,coauthor_physics__node_classification__graphatlas__split0__seed0__1364876be8ae,1364876be8ae,464db07c065a0877
node_classification,accuracy,1.0,0.7039999961853027,0.6990000009536743,,,,,,,,,,,,1.0,1.0,8.721870835870504e-05,8.720159530639648e-05,1.0,1.2654223269237264e-07,1.0,1.0,1.0,1.0,0.704,0.7283679562547228,1.8109705448150635,0.18631324172019958,0.6466233848517453,0.4877851605415344,0.7062215437090836,0.7039999961853027,0.6075949367088608,0.6995021831101605,0.699,0.7076185776804185,1.9253394603729248,0.21014706790447235,0.6414744216781516,0.5130523443222046,0.7044438351811587,0.6990000009536743,0.6426332288401254,0.686908712177319,,,,,,,,0.08311296254396439,5.1013230972785095e-08,6.936765828413627e-08,7.62939453125e-06,1.52587890625e-05,0.0,0.0,0.0,0.0,0.6990000009536743,,,,,,,,,0.18970495462417603,0.1817913055419922,0.0,0.007913654670119286,0.35546910762786865,0.295116662979126,0.6035248637199402,5.841378151671961e-05,0.20650726556777954,8.356280326843262,0.0,cora,graphatlas,graphatlas,0,120,200,0,200,0.7039999961853027,563332,2708,10556,0,147.02220797538757,cpu,0,,,,,,,,,,,,,,,,,,,2.0,1.0,0.6924811005592346,0.6931301355361938,0.04119716212153435,0.5120576620101929,cora__node_classification__graphatlas__split0__seed0__3ecffe7fbf17,3ecffe7fbf17,464db07c065a0877
node_classification,accuracy,1.0,0.7674999833106995,0.7767884731292725,,,,,,,,,,,,1.0,1.0,1.738251194183249e-05,1.7344951629638672e-05,1.0,1.9049174682095327e-08,1.0,1.0,1.0,1.0,0.7675,0.7657059033834124,1.7684729099273682,0.1952662169933319,0.6897423835653531,0.43349847197532654,0.7670655493991927,0.7674999833106995,0.6956521739130435,0.7655010120320096,0.776788455634019,0.7685021681368314,1.8126792907714844,0.18577836453914642,0.6997590792710613,0.40083685517311096,0.7773789887702484,0.7767884731292725,0.6934931506849316,0.7672111728662783,,,,,,,,0.12902681529521942,1.0890651225281545e-07,1.7152993336821964e-07,2.288818359375e-05,1.9073486328125e-05,0.0,0.0,0.0,0.0,0.7767884731292725,,,,,,,,,0.192072331905365,0.18080101907253265,0.0,0.011271319352090359,0.5332454442977905,0.45814260840415955,0.7510286569595337,0.00031904177740216255,0.18702185153961182,9.099525451660156,0.0,dblp,graphatlas,graphatlas,0,85,165,0,165,0.7674999833106995,1396836,26128,239566,0,1467.7251720428467,cpu,0,,,,,,,,,,,,,,,,,,,1.9986987113952637,0.9986987113952637,0.6565700173377991,0.6930774450302124,0.020834900438785553,0.413421094417572,dblp__node_classification__graphatlas__split0__seed0__cdaf0adeb150,cdaf0adeb150,464db07c065a0877
node_classification,roc_auc,0.8985154999999999,0.874131,0.8802710000000001,,,,,,,,,,,,0.8538,0.71775,0.2973012626171112,0.010098256170749664,0.4981918841392168,0.19865328073501587,0.8440842960767295,0.8537999987602234,0.491,0.7425264153456792,0.8336,0.6890000000000001,0.3341166377067566,0.017451882362365723,0.4286871679747029,0.22207844257354736,0.8232394870692742,0.8335999846458435,0.448,0.7089691238627409,0.84,0.7005,0.3232547342777252,0.012005116790533066,0.4527170626386241,0.2164672166109085,0.830389764499623,0.8399999737739563,0.468,0.7211825429044303,,,,,,,,0.03615240752696991,2.3520751568639753e-08,2.878292271191185e-08,1.1444091796875e-05,1.9073486328125e-05,0.0,0.0,0.0,0.0,0.8399999737739563,,,,,,,,,0.014179224148392677,0.0103989876806736,0.0,0.0037802369333803654,0.2552000880241394,0.24338382482528687,0.11816243082284927,0.0003477234276942909,0.18327336013317108,9.723971366882324,0.0,minesweeper,graphatlas,graphatlas,0,365,400,0,400,0.874131,180130,10000,78804,0,836.8352649211884,cpu,0,,,,,,,,,,,,,,,,,,,1.9144999980926514,0.9144999980926514,0.6098926067352295,0.687373161315918,5.2760653488803655e-05,0.3769786059856415,minesweeper__node_classification__graphatlas__split0__seed0__266e47f20c8b,266e47f20c8b,464db07c065a0877
node_classification,accuracy,1.0,0.7480000257492065,0.7129999995231628,,,,,,,,,,,,1.0,1.0,6.666009721811861e-05,6.67572021484375e-05,1.0,7.633951071284173e-08,1.0,1.0,1.0,1.0,0.748,0.7427377176088518,1.9647226333618164,0.21749207377433777,0.604703945382579,0.45875269174575806,0.74791409329723,0.7480000257492065,0.7142857142857143,0.7453569420436655,0.713,0.6960217095810316,2.2617175579071045,0.24925768375396729,0.5440044644426764,0.5245393514633179,0.7126139366233558,0.7129999995231628,0.6222222222222222,0.6987147839416887,,,,,,,,0.03282177448272705,3.424794314810242e-08,3.032921824797086e-08,7.62939453125e-06,9.5367431640625e-06,0.0,0.0,0.0,0.0,0.7129999995231628,,,,,,,,,0.15778645873069763,0.15125781297683716,0.0,0.006528640165925026,0.3723905682563782,0.28823596239089966,0.8415462374687195,1.0993911018886138e-05,0.21799995005130768,8.018345832824707,0.0,pubmed,graphatlas,graphatlas,0,135,215,0,215,0.7480000257492065,294240,19717,88648,0,863.5721077919006,cpu,0,,,,,,,,,,,,,,,,,,,2.0,1.0,0.6902390718460083,0.6912345886230469,2.4568598746554926e-05,0.5376860499382019,pubmed__node_classification__graphatlas__split0__seed0__729fe9755b37,729fe9755b37,464db07c065a0877
node_classification,roc_auc,0.8392117659283376,0.7559535643570072,0.7611640487729416,,,,,,,,,,,,0.9737939493049877,0.5709168210865386,0.10072539746761322,0.001509030582383275,0.3468541265196499,0.04703038930892944,0.9645306366762437,0.9737939238548279,0.14246575342465753,0.6158298339575695,0.9709730171708912,0.5588411870991578,0.12078980356454849,0.006974465679377317,0.25154781150756317,0.05449097976088524,0.9617438058103412,0.970973014831543,0.12054794520547946,0.5919322007708798,0.970975390401439,0.5588413078462927,0.12033473700284958,0.007041278760880232,0.2515485780403049,0.05465012416243553,0.9617469191760134,0.970975399017334,0.12054794520547946,0.5919328161668852,,,,,,,,0.032635364681482315,5.43025091559457e-09,7.188012407510769e-09,9.5367431640625e-07,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.970975399017334,,,,,,,,,0.0027122681494802237,0.0014355112798511982,0.0,0.0012767568696290255,0.1389586478471756,0.13071009516716003,0.08248553425073624,0.00011627171625150368,0.19294148683547974,7.848555564880371,0.0,questions,graphatlas,graphatlas,0,180,260,0,260,0.7559535643570072,264802,48921,307080,0,4489.182467699051,cpu,0,,,,,,,,,,,,,,,,,,,1.997833251953125,0.997833251953125,0.6537463068962097,0.6919510364532471,0.00020175910321995616,0.5758652687072754,questions__node_classification__graphatlas__split0__seed0__5709e24119a9,5709e24119a9,464db07c065a0877
