task,metric_name,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,train_link_mrr,val_link_mrr,test_link_mrr,test_link_hits_at_10,test_link_hits_at_50,train_mcc,train_ece,train_weighted_f1,train_nll,train_macro_f1,train_accuracy,train_balanced_accuracy,train_brier,train_worst_class_recall,train_micro_f1,val_mcc,val_ece,val_weighted_f1,val_nll,val_macro_f1,val_accuracy,val_balanced_accuracy,val_brier,val_worst_class_recall,val_micro_f1,test_mcc,test_ece,test_weighted_f1,test_nll,test_macro_f1,test_accuracy,test_balanced_accuracy,test_brier,test_worst_class_recall,test_micro_f1,train_roc_auc,val_roc_auc,test_roc_auc,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,intervention_flip_rate_affine,intervention_flip_rate_nonlinear,intervention_test_metric_drop_affine,intervention_test_metric_drop_nonlinear,intervention_test_metric_nonlinear,metric_recovery_error,metric_recovery_mean_error,transition_error,local_distortion,cross_chart_distortion,curvature_flat_fraction,curvature_positive_fraction,curvature_negative_fraction,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,metric_direction_error,metric_scale_error,chart_rank_error,chart_min_relative_singular_value,chart_condition_number,geometry_error,dataset,model,model_family,condition_id,intervention_profile,certified_routing_mode,transportability_beta,readout_mode,coordinate_activation,coordinate_left_linear,link_decoder,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,transportability_mean,transportability_std,transportability_min,transportability_max,distortion_mean,fraction_q_below_025,fraction_q_above_075,active_source_chart_count,q_route_spread_mean,q_route_spread_p90,routing_kl_from_membership,fraction_edges_with_multiple_source_charts,routing_total_variation_from_membership,routing_entropy_mean,active_target_chart_count,fraction_edges_with_multiple_target_charts,q_route_spread_median,q_route_spread_max,q_delta_closure_error,routing_opportunity,irreducible_transport_risk,cross_chart_mass,q_reference_agreement,mean_active_charts,overlap_ratio,membership_entropy_mean,membership_entropy_p90,chart_utilization_min,chart_utilization_max,run_id,config_hash,source_hash,native_heterogeneous,homogeneous_projection,neighbor_sampling,batch_size,fanout,sampled_nodes,sampled_edges,sampled_batches,val_f1,val_precision,val_recall,val_average_precision,test_f1,test_precision,test_recall,test_average_precision
node_classification,accuracy,0.429824560880661,0.3811677694320678,0.3736842274665832,,,,,,,,,,,,0.2781714093146103,0.0506548509001731,0.4300218106938144,1.242284059524536,0.4117039789564581,0.429824560880661,0.4114757336296148,0.6501674652099609,0.2941176470588235,0.4298245614035088,0.2121772007749655,0.0583343133330345,0.3820552371557804,1.4136631488800049,0.3624260178836745,0.3811677694320678,0.3617410116607101,0.7080124616622925,0.2727272727272727,0.3811677631578947,0.2034222494177767,0.0549467839300632,0.3751080671118221,1.4280898571014404,0.3517687370021524,0.3736842274665832,0.3495580730479141,0.7134166955947876,0.2213740458015267,0.3736842105263158,,,,,,,,0.1732100844383239,7.85246712098342e-08,1.1208587835653817e-07,6.67572021484375e-06,6.67572021484375e-06,0.0,0.0,0.0,0.0,0.3736842274665832,,,,,,,,,0.0157709680497646,0.0117443241178989,0.0,0.0040266448631882,0.2955047488212585,0.2702180743217468,0.2528667151927948,0.0067766848951578,0.1188598722219467,12.528314590454102,0.0,actor,graphatlas_c,graphatlas_certified,,,certificate,1.0,full,none,False,dot,0,65,105,0.0,105.0,0.3811677694320678,640677,7600,53411,3575095808.0,54.62397575378418,cuda,0,0.7995036244392395,0.2619945108890533,0.2456019520759582,1.0,0.2004963904619217,0.0004681823193095,0.7633900046348572,1.9997565746307373,0.2112223505973816,0.6677794456481934,0.0116170356050133,0.9997565746307372,0.0464152172207832,0.6329388618469238,1.9997565746307373,0.9997565746307372,0.1005557775497436,0.754390299320221,2.610884450859885e-07,0.2066487222909927,0.2004963904619217,0.521573007106781,0.6108198165893555,1.999078869819641,0.999078929424286,0.6520986557006836,0.6919876933097839,0.0,0.5265868902206421,actor__node_classification__graphatlas_c__split0__seed0__210a3d452de5,210a3d452de5,e7bb87803961c332,,,,,,,,,,,,,,,,
node_classification,f1,,0.5632141540729819,0.4845650140318054,,,,,,,,,,,,,,,,,,,,,,,,,,0.7589345939691049,0.9178395618109964,,,,0.9178395618109964,,,,,0.7100489747823704,0.8853993344425957,,,,0.8853993344425957,,0.8492824583986122,0.8154068146389627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h2gb_ieee_cis,atn,atn,,,,,,,,,0,45,85,,,0.5632141540729819,404397,153880,1436736,,974.8270182609558,cuda,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h2gb_ieee_cis__node_classification__atn__split0__seed0__e6faa1362aa9,e6faa1362aa9,735f66d2bcfd6f3a,True,False,True,256.0,"[20, 15]",9807810.0,0.0,38335.0,0.5632141540729819,0.5472779369627507,0.5801063022019742,0.5403198577072701,0.4845650140318054,0.4195464362850972,0.5734317343173432,0.4548839535370864
node_classification,f1,,0.8843036754720287,0.8821542836829008,,,,,,,,,,,,,,,,,,,,,,,,,,0.8327755435257932,0.8486532951289398,,,,0.8486532951289398,,,,,0.8341071515219926,0.8480229226361031,,,,0.8480229226361031,,0.9234676794937222,0.92524027942524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h2gb_pdns,atn,atn,,,,,,,,,0,30,70,,,0.8843036754720287,24829,1173558,41501735,,409.35939264297485,cuda,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h2gb_pdns__node_classification__atn__split0__seed0__05b9140e3189,05b9140e3189,e7bb87803961c332,True,False,True,256.0,"[20, 15]",9006251.0,31618248.0,16730.0,0.8843036754720287,0.9084608460846084,0.8613979687633353,0.9617265160114116,0.8821542836829008,0.9046664236237696,0.8607353451266042,0.9605049470470226
node_classification,accuracy,0.489603042602539,0.4897235929965973,0.4870641231536865,,,,,,,,,,,,0.0,0.2821950912475586,0.3218456430579678,1.5971543788909912,0.1314720812182741,0.489603042602539,0.2,0.7950202822685242,0.0,0.4896030245746692,0.0,0.282315731048584,0.3219781234975161,1.5971425771713257,0.1314938154138915,0.4897235929965973,0.2,0.7950156331062317,0.0,0.4897236002834869,0.0,0.2796563506126404,0.3190601553020698,1.5973259210586548,0.1310136157337367,0.4870641231536865,0.2,0.7950890064239502,0.0,0.4870641169853768,,,,,,,,0.0141928493976593,4.832079625316511e-09,5.014294757188509e-09,2.2351741790771484e-08,2.2351741790771484e-08,0.0,0.0,0.0,0.0,0.4870641231536865,,,,,,,,,0.0001989440061151,8.29157215775922e-05,0.0,0.0001160282772616,1.4124599695205688,0.9180002212524414,4.944597244262695,0.0,0.5544251799583435,2.5938868522644043,0.0,hetgb_actor,graphatlas_c,graphatlas_certified,,,certificate,1.0,full,none,False,dot,0,5,45,0.0,45.0,0.4897235929965973,1855653,4416,24292,2006124032.0,41.04568147659302,cuda,0,0.8080655932426453,0.1919431388378143,0.6107884049415588,1.0,0.1919343471527099,0.0,0.5,2.0,0.2309390157461166,0.3864865303039551,0.0091879712417721,1.0,0.0554089359939098,0.6716153025627136,2.0,1.0,0.114939659833908,0.3892115950584411,9.980563220324257e-08,0.1859280914068222,0.1919343918561935,0.4838182032108307,0.5,2.0,1.0,0.6768984794616699,0.6771479249000549,0.0,0.5898885726928711,hetgb_actor__node_classification__graphatlas_c__split0__seed0__140211ce9dcc,140211ce9dcc,e7bb87803961c332,,,,,,,,,,,,,,,,
node_classification,accuracy,0.3678752183914184,0.3677935600280761,0.3679568767547607,,,,,,,,,,,,0.0,0.14673513174057,0.1978721135044913,1.5592058897018433,0.1075756671243507,0.3678752183914184,0.2,0.7801604866981506,0.0,0.3678752245631226,0.0,0.1466524749994278,0.1977960857154697,1.5592187643051147,0.1075582089552238,0.3677935600280761,0.2,0.780165433883667,0.0,0.3677935652457945,0.0,0.1468161940574646,0.1979481517150562,1.5592041015625,0.107593123209169,0.3679568767547607,0.2,0.7801592350006104,0.0,0.3679568838804508,,,,,,,,0.0146997552365064,1.0972661890207291e-08,1.057962961681369e-08,5.960464477539064e-08,4.4703483581542975e-08,0.0,0.0,0.0,0.0,0.3679568767547607,,,,,,,,,0.0011551537318155,0.0005254498682916,0.0,0.0006297038635239,0.2801176309585571,0.2012116014957428,0.7890604138374329,0.0,0.3205277919769287,4.724687099456787,0.0,hetgb_amazon,graphatlas_c,graphatlas_certified,,,certificate,1.0,full,none,False,dot,0,10,50,0.0,50.0,0.3677935600280761,1855653,24492,186100,11691274240.0,568.7453501224518,cuda,0,0.9766571521759032,0.0238971151411533,0.9450575113296508,1.0,0.0233428459614515,0.0,1.0,2.0,0.0249008294194936,0.0539042949676513,0.0001369291130686,1.0,0.0060774344019591,0.6814919114112854,2.0,1.0,0.006432294845581,0.05494225025177,1.2456779074909718e-07,0.0233465917408466,0.0233428832143545,0.4887011349201202,0.5,2.0,1.0,0.6818442940711975,0.6820677518844604,0.0,0.5750324130058289,hetgb_amazon__node_classification__graphatlas_c__split0__seed0__43e195189704,43e195189704,e7bb87803961c332,,,,,,,,,,,,,,,,
node_classification,accuracy,0.5632184147834778,0.5714285969734192,0.5,,,,,,,,,,,,0.0,0.3524882793426513,0.4058485463150777,1.5758038759231567,0.1801470588235294,0.5632184147834778,0.25,0.7866024971008301,0.0,0.5632183908045977,0.0,0.3606984913349151,0.4155844155844156,1.5753344297409058,0.1818181818181818,0.5714285969734192,0.25,0.7864102125167847,0.0,0.5714285714285714,0.0,0.2892694771289825,0.3333333333333333,1.5803509950637815,0.1333333333333333,0.5,0.2,0.788421630859375,0.0,0.5,,,,,,,,0.0162429101765155,4.063953173982782e-09,3.904582435154681e-09,7.450580596923828e-09,7.450580596923828e-09,0.0,0.0,0.0,0.0,0.5,,,,,,,,,6.001448491588235e-05,2.359514655836392e-05,0.0,3.641934017650783e-05,2.815516233444214,1.7710331678390503,10.444828987121582,0.0,0.6265907287597656,2.145957946777344,0.0,hetgb_texas,graphatlas_c,graphatlas_certified,,,certificate,1.0,full,none,False,dot,0,1,40,0.0,40.0,0.5714285969734192,1855653,187,578,187160576.0,13.121439933776855,cuda,0,0.6783487796783447,0.3254315257072449,0.284845769405365,1.0,0.3216512203216553,0.0,0.5,2.0,0.3633770942687988,0.7133710384368896,0.0253950487822294,1.0,0.0872846022248268,0.6606693863868713,2.0,1.0,0.1296277940273285,0.715154230594635,6.746771674670526e-08,0.3116700649261474,0.3216512799263,0.4914655387401581,0.75,2.0,1.0,0.6846476793289185,0.6846941709518433,0.0,0.565097451210022,hetgb_texas__node_classification__graphatlas_c__split0__seed0__f8bb59cdb0d0,f8bb59cdb0d0,e7bb87803961c332,,,,,,,,,,,,,,,,
node_classification,roc_auc,0.8471072684134875,0.7530261099469489,0.7560377410767267,,,,,,,,,,,,0.351602150471431,0.0032591209746897,0.9646179135712344,0.0999184623360633,0.6162958386356888,0.9739165902137756,0.5709800322116967,0.0469423532485961,0.1424657534246575,0.9739165985282092,0.2484204795006388,0.0090564722195267,0.961582299899118,0.1218492686748504,0.5885221651841976,0.9710547924041748,0.5562278833220766,0.0545880086719989,0.1150684931506849,0.9710547833197056,0.2359444849993296,0.0086339805275201,0.9611513632852852,0.1216161549091339,0.5838733184623596,0.9707301259040833,0.5534039929902173,0.054297175258398,0.1095890410958904,0.9707301120104652,,,,,,,,0.0261905044317245,5.030999172817019e-09,4.807343856327861e-09,1.430511474609375e-06,1.1920928955078125e-06,0.0,0.0,0.0,0.0,0.9707301259040833,,,,,,,,,0.0003193646552972,0.0002256330626551,0.0,9.373158536618575e-05,0.0083997985348105,0.0076672327704727,0.0073256539180874,0.0055307373404502,0.1260481178760528,11.298535346984863,0.0,questions,graphatlas_c,graphatlas_certified,,,certificate,1.0,full,none,False,dot,0,145,185,0.0,185.0,0.7530261099469489,264802,48921,307080,14792310272.0,5313.493608951569,cuda,0,0.9992296695709229,0.0007720404537394,0.9868664741516112,1.0,0.000770281185396,0.0,1.0,1.9999966621398928,0.0004604565328918,0.0010213255882263,4.937226805168393e-08,0.9999967217445374,0.0001146877257269,0.6912406086921692,1.9999966621398928,0.9999967217445374,0.0003473758697509,0.0128993391990661,1.6473188679810846e-07,0.0002947515749838,0.0007702995790168,0.4999133348464966,0.5453920960426331,1.9999794960021973,0.999979555606842,0.6908547282218933,0.693099856376648,0.0,0.5017505288124084,questions__node_classification__graphatlas_c__split0__seed0__84004b5a7fa0,84004b5a7fa0,e7bb87803961c332,,,,,,,,,,,,,,,,
