task,metric_name,train_metric,val_metric,test_metric,train_link_roc_auc,val_link_roc_auc,test_link_roc_auc,train_link_average_precision,val_link_average_precision,test_link_average_precision,train_link_mrr,val_link_mrr,test_link_mrr,test_link_hits_at_10,test_link_hits_at_50,train_accuracy,train_micro_f1,train_balanced_accuracy,train_worst_class_recall,train_mcc,train_macro_f1,train_brier,train_nll,train_weighted_f1,train_ece,val_accuracy,val_micro_f1,val_balanced_accuracy,val_worst_class_recall,val_mcc,val_macro_f1,val_brier,val_nll,val_weighted_f1,val_ece,test_accuracy,test_micro_f1,test_balanced_accuracy,test_worst_class_recall,test_mcc,test_macro_f1,test_brier,test_nll,test_weighted_f1,test_ece,train_roc_auc,val_roc_auc,test_roc_auc,boundary_accuracy,interior_accuracy,chart_ari,overlap_f1,reconstruction_error,invariance_error_affine,invariance_error_nonlinear,invariance_logit_max_affine,invariance_logit_max_nonlinear,intervention_flip_rate_affine,intervention_flip_rate_nonlinear,intervention_test_metric_drop_affine,intervention_test_metric_drop_nonlinear,intervention_test_metric_nonlinear,metric_recovery_error,metric_recovery_mean_error,transition_error,local_distortion,cross_chart_distortion,curvature_flat_fraction,curvature_positive_fraction,curvature_negative_fraction,cocycle_error,inverse_cycle_error,triple_cocycle_error,path_consistency_error,metric_compatibility_error,metric_direction_error,metric_scale_error,chart_rank_error,chart_min_relative_singular_value,chart_condition_number,geometry_error,dataset,model,model_family,condition_id,intervention_profile,certified_routing_mode,transportability_beta,readout_mode,coordinate_activation,coordinate_left_linear,link_decoder,seed,best_epoch,last_epoch,resumed_from_epoch,trained_epochs_this_call,best_val_metric,parameters,num_nodes,num_edges,peak_cuda_memory_bytes,runtime_seconds,device,split,transportability_mean,transportability_std,transportability_min,transportability_max,distortion_mean,fraction_q_below_025,fraction_q_above_075,active_source_chart_count,q_route_spread_mean,q_route_spread_p90,routing_kl_from_membership,fraction_edges_with_multiple_source_charts,routing_total_variation_from_membership,routing_entropy_mean,active_target_chart_count,fraction_edges_with_multiple_target_charts,q_route_spread_median,q_route_spread_max,q_delta_closure_error,routing_opportunity,irreducible_transport_risk,cross_chart_mass,q_reference_agreement,mean_active_charts,overlap_ratio,membership_entropy_mean,membership_entropy_p90,chart_utilization_min,chart_utilization_max,run_id,config_hash,source_hash,native_heterogeneous,homogeneous_projection,neighbor_sampling,batch_size,fanout,sampled_nodes,sampled_edges,sampled_batches,val_f1,val_precision,val_recall,val_average_precision,test_f1,test_precision,test_recall,test_average_precision,experiment_name,experiment_stage,result_source,selection_protocol,is_formal_result,legacy_rows_missing_metadata,primary_metric_name,primary_metric_value,panel
node_classification,accuracy,0.429824560880661,0.3811677694320678,0.3736842274665832,,,,,,,,,,,,0.429824560880661,0.4298245614035088,0.4114757336296148,0.2941176470588235,0.2781714093146103,0.4117039789564581,0.6501674652099609,1.242284059524536,0.4300218106938144,0.0506548509001731,0.3811677694320678,0.3811677631578947,0.3617410116607101,0.2727272727272727,0.2121772007749655,0.3624260178836745,0.7080124616622925,1.4136631488800049,0.3820552371557804,0.0583343133330345,0.3736842274665832,0.3736842105263158,0.3495580730479141,0.2213740458015267,0.2034222494177767,0.3517687370021524,0.7134166955947876,1.4280898571014404,0.3751080671118221,0.0549467839300632,,,,,,,,0.1732100844383239,7.85246712098342e-08,1.1208587835653817e-07,6.67572021484375e-06,6.67572021484375e-06,0.0,0.0,0.0,0.0,0.3736842274665832,,,,,,,,,0.0157709680497646,0.0117443241178989,0.0,0.0040266448631882,0.2955047488212585,0.2702180743217468,0.2528667151927948,0.0067766848951578,0.1188598722219467,12.528314590454102,0.0,actor,graphatlas_c,graphatlas_certified,,,certificate,1.0,full,none,False,dot,0,65,105,0.0,105.0,0.3811677694320678,640677,7600,53411,3575095808.0,54.62397575378418,cuda,0,0.7995036244392395,0.2619945108890533,0.2456019520759582,1.0,0.2004963904619217,0.0004681823193095,0.7633900046348572,1.9997565746307373,0.2112223505973816,0.6677794456481934,0.0116170356050133,0.9997565746307372,0.0464152172207832,0.6329388618469238,1.9997565746307373,0.9997565746307372,0.1005557775497436,0.754390299320221,2.610884450859885e-07,0.2066487222909927,0.2004963904619217,0.521573007106781,0.6108198165893555,1.999078869819641,0.999078929424286,0.6520986557006836,0.6919876933097839,0.0,0.5265868902206421,actor__node_classification__graphatlas_c__split0__seed0__210a3d452de5,210a3d452de5,e7bb87803961c332,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.3736842274665832,certificate
node_classification,accuracy,0.5,0.529411792755127,0.304347813129425,,,,,,,,,,,,0.5,0.5,0.4955436720142602,0.0,0.3201978290173614,0.3956043956043956,0.6645273566246033,1.0954138040542605,0.4152276295133438,0.1613477766513824,0.529411792755127,0.5294117647058824,0.5047619047619047,0.0,0.3310952433218815,0.4158730158730159,0.6648889183998108,1.0959405899047852,0.4509803921568627,0.1910935342311859,0.304347813129425,0.3043478260869565,0.3227513227513227,0.0,-0.0398409536444797,0.2076190476190476,0.6659908294677734,1.0975967645645142,0.2019875776397515,0.0341040194034576,,,,0.2857142984867096,0.3333333432674408,0.1332141460252276,0.7114093959731543,0.0186107512563467,2.7939677238464355e-09,3.104408508036726e-09,1.1175870895385742e-08,1.4901161193847656e-08,0.0,0.0,0.0,0.0,0.304347813129425,,,,,,,,,0.0003649523714557,0.0001033202424878,0.0,0.0002616321144159,1.2592257261276243,0.8708761930465698,3.883493900299072,0.0,0.7820649147033691,1.5120257139205933,0.3127127289772033,atlas_het,graphatlas_c,graphatlas_certified,smoke,,certificate,1.0,full,none,False,dot,0,2,3,0.0,3.0,0.529411792755127,64834,96,1274,0.0,0.6214604377746582,cpu,0,0.8379942774772644,0.2184216827154159,0.0973344594240188,1.0,0.1620057076215744,0.0412087924778461,0.7866954207420349,2.0,0.2388478219509124,0.5918630361557007,0.0107439402490854,1.0,0.0567968785762786,0.6656308174133301,2.0,1.0,0.1720232367515564,0.8890870213508606,1.941478586786616e-07,0.1390935778617859,0.1620057076215744,0.5349518656730652,0.7799581289291382,2.0,1.0,0.680010974407196,0.6925488710403442,0.0950559899210929,0.5533496737480164,atlas_het__node_classification__graphatlas_c__split0__seed0__aa017f0b964a,aa017f0b964a,fbfa340e1877f0b2,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.304347813129425,certificate
node_classification,accuracy,0.5,0.529411792755127,0.304347813129425,,,,,,,,,,,,0.5,0.5,0.4955436720142602,0.0,0.3201978290173614,0.3956043956043956,0.6645273566246033,1.0954138040542605,0.4152276295133438,0.1613477766513824,0.529411792755127,0.5294117647058824,0.5047619047619047,0.0,0.3310952433218815,0.4158730158730159,0.6648889183998108,1.0959405899047852,0.4509803921568627,0.1910935342311859,0.304347813129425,0.3043478260869565,0.3227513227513227,0.0,-0.0398409536444797,0.2076190476190476,0.6659908294677734,1.0975967645645142,0.2019875776397515,0.0341040194034576,,,,0.2857142984867096,0.3333333432674408,0.1332141460252276,0.7114093959731543,0.0186107512563467,2.7939677238464355e-09,3.104408508036726e-09,1.1175870895385742e-08,1.4901161193847656e-08,0.0,0.0,0.0,0.0,0.304347813129425,,,,,,,,,0.0003649523714557,0.0001033202424878,0.0,0.0002616321144159,1.2592257261276243,0.8708761930465698,3.883493900299072,0.0,0.7820649147033691,1.5120257139205933,0.3127127289772033,atlas_het,graphatlas_c,graphatlas_certified,smoke,,certificate,1.0,full,none,False,dot,0,2,3,0.0,3.0,0.529411792755127,64834,96,1274,0.0,0.556082010269165,cpu,0,0.8379942774772644,0.2184216827154159,0.0973344594240188,1.0,0.1620057076215744,0.0412087924778461,0.7866954207420349,2.0,0.2388478219509124,0.5918630361557007,0.0107439402490854,1.0,0.0567968785762786,0.6656308174133301,2.0,1.0,0.1720232367515564,0.8890870213508606,1.941478586786616e-07,0.1390935778617859,0.1620057076215744,0.5349518656730652,0.7799581289291382,2.0,1.0,0.680010974407196,0.6925488710403442,0.0950559899210929,0.5533496737480164,atlas_het__node_classification__graphatlas_c__split0__seed0__f752e84bfe98,f752e84bfe98,975d6eec98ed54f0,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.304347813129425,certificate
node_classification,accuracy,0.9128919839859008,0.7553191781044006,0.8989899158477783,,,,,,,,,,,,0.9128919839859008,0.9128919860627178,0.914243856390641,0.8846153846153846,0.86925445453274,0.9135749169899814,0.1316355317831039,0.2166940569877624,0.9127765325396948,0.0304483175277709,0.7553191781044006,0.7553191489361702,0.7567776832646297,0.7352941176470589,0.6343537781915982,0.7553926360377973,0.4304273426532745,1.1749833822250366,0.7557486325159627,0.1906293928623199,0.8989899158477783,0.898989898989899,0.8991188769414576,0.8709677419354839,0.8486196319018405,0.8985817538114929,0.1826901286840438,0.3847533762454986,0.8988306693644533,0.0758884847164154,,,,0.9166666865348816,0.8888888955116272,0.1231596942920175,0.5626204238921002,0.2071196734905243,7.330604034905265e-08,5.94432485456764e-08,4.76837158203125e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.8989899158477783,,,,,,,,,0.1753817498683929,0.1202092692255973,0.0,0.0551724806427955,0.2534748911857605,0.1921474486589431,0.6132745742797852,1.496273966949957e-06,0.5324808955192566,2.766631841659546,1.3933022022247314,atlas_het,graphatlas_c,graphatlas_certified,ov0.10_cross0.50,,certificate,1.0,full,none,False,dot,0,50,75,0.0,75.0,0.7553191781044006,64834,480,6540,0.0,15.657036781311035,cpu,0,0.962411105632782,0.058643065392971,0.6376705765724182,1.0,0.037588894367218,0.0,0.9850552678108216,1.7587156295776367,0.0551339089870452,0.137766033411026,0.0005021774559281,0.7587155699729919,0.0075716678984463,0.3824498355388641,1.7587156295776367,0.7587155699729919,0.0267039537429809,0.3611941933631897,2.510698777768994e-07,0.0209223050624132,0.0375888906419277,0.355897307395935,0.5809378027915955,1.71875,0.71875,0.3762596845626831,0.6675931215286255,0.0425188429653644,0.5134512186050415,atlas_het__node_classification__graphatlas_c__split0__seed0__fe35257e0820,fe35257e0820,975d6eec98ed54f0,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.8989899158477783,certificate
node_classification,accuracy,0.9616724848747252,0.7659574747085571,0.8989899158477783,,,,,,,,,,,,0.9616724848747252,0.9616724738675958,0.9610197257519753,0.9438202247191012,0.9424650498307644,0.9617178193983325,0.0486381985247135,0.0795859023928642,0.9616904442970114,0.0235497131943702,0.7659574747085571,0.7659574468085106,0.7646840716264259,0.6774193548387096,0.649201462047762,0.7641771141166108,0.4186241030693054,1.367892146110535,0.7646313485323947,0.1874093860387802,0.8989899158477783,0.898989898989899,0.8964680406212664,0.8387096774193549,0.8488190016478788,0.8975275144766671,0.1631773710250854,0.3308822512626648,0.8985551629619426,0.0682466551661491,,,,0.92592591047287,0.8666666746139526,0.0234246032232014,0.6051080550098232,0.251642495393753,4.769483652466988e-08,4.384066443208212e-08,5.7220458984375e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.8989899158477783,,,,,,,,,0.1056123599410057,0.0620185174047946,0.0,0.043593842536211,0.2134426534175872,0.1783010363578796,0.3514160811901092,2.668274100869894e-05,0.5747995972633362,2.607090950012207,0.8111368417739868,atlas_het,graphatlas_c,graphatlas_certified,ov0.25_cross0.00,,certificate,1.0,full,none,False,dot,0,70,95,0.0,95.0,0.7659574747085571,64834,480,6540,0.0,19.51098251342773,cpu,0,0.9673827290534972,0.0486826449632644,0.2029006481170654,1.0,0.0326173454523086,0.0005094892112538,0.9954782724380492,1.515749216079712,0.0460635796189308,0.0890746712684631,0.0001752894459059,0.5157492160797119,0.0040541235357522,0.2683597505092621,1.515749216079712,0.5157492160797119,0.0360561609268188,0.752859890460968,2.5414917104171764e-07,0.011595825664699,0.0326173491775989,0.3217431604862213,0.7144750356674194,1.462499976158142,0.4625000059604645,0.2672318518161773,0.6759180426597595,0.0567326210439205,0.5401262044906616,atlas_het__node_classification__graphatlas_c__split0__seed0__bd6c2411d607,bd6c2411d607,975d6eec98ed54f0,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.8989899158477783,certificate
node_classification,accuracy,0.9616724848747252,0.7659574747085571,0.8989899158477783,,,,,,,,,,,,0.9616724848747252,0.9616724738675958,0.9610197257519753,0.9438202247191012,0.9424650498307644,0.9617178193983325,0.0486381985247135,0.0795859023928642,0.9616904442970114,0.0235497131943702,0.7659574747085571,0.7659574468085106,0.7646840716264259,0.6774193548387096,0.649201462047762,0.7641771141166108,0.4186241030693054,1.367892146110535,0.7646313485323947,0.1874093860387802,0.8989899158477783,0.898989898989899,0.8964680406212664,0.8387096774193549,0.8488190016478788,0.8975275144766671,0.1631773710250854,0.3308822512626648,0.8985551629619426,0.0682466551661491,,,,0.92592591047287,0.8666666746139526,0.0234246032232014,0.6051080550098232,0.251642495393753,4.769483652466988e-08,4.384066443208212e-08,5.7220458984375e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.8989899158477783,,,,,,,,,0.1056123599410057,0.0620185174047946,0.0,0.043593842536211,0.2134426534175872,0.1783010363578796,0.3514160811901092,2.668274100869894e-05,0.5747995972633362,2.607090950012207,0.8111368417739868,atlas_het,graphatlas_c,graphatlas_certified,ov0.25_cross0.15,,certificate,1.0,full,none,False,dot,0,70,95,0.0,95.0,0.7659574747085571,64834,480,6540,0.0,19.399715185165405,cpu,0,0.9673827290534972,0.0486826449632644,0.2029006481170654,1.0,0.0326173454523086,0.0005094892112538,0.9954782724380492,1.515749216079712,0.0460635796189308,0.0890746712684631,0.0001752894459059,0.5157492160797119,0.0040541235357522,0.2683597505092621,1.515749216079712,0.5157492160797119,0.0360561609268188,0.752859890460968,2.5414917104171764e-07,0.011595825664699,0.0326173491775989,0.3217431604862213,0.7144750356674194,1.462499976158142,0.4625000059604645,0.2672318518161773,0.6759180426597595,0.0567326210439205,0.5401262044906616,atlas_het__node_classification__graphatlas_c__split0__seed0__16671b6d8d30,16671b6d8d30,975d6eec98ed54f0,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.8989899158477783,certificate
node_classification,accuracy,0.9616724848747252,0.7659574747085571,0.8989899158477783,,,,,,,,,,,,0.9616724848747252,0.9616724738675958,0.9610197257519753,0.9438202247191012,0.9424650498307644,0.9617178193983325,0.0486381985247135,0.0795859023928642,0.9616904442970114,0.0235497131943702,0.7659574747085571,0.7659574468085106,0.7646840716264259,0.6774193548387096,0.649201462047762,0.7641771141166108,0.4186241030693054,1.367892146110535,0.7646313485323947,0.1874093860387802,0.8989899158477783,0.898989898989899,0.8964680406212664,0.8387096774193549,0.8488190016478788,0.8975275144766671,0.1631773710250854,0.3308822512626648,0.8985551629619426,0.0682466551661491,,,,0.92592591047287,0.8666666746139526,0.0234246032232014,0.6051080550098232,0.251642495393753,4.769483652466988e-08,4.384066443208212e-08,5.7220458984375e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.8989899158477783,,,,,,,,,0.1056123599410057,0.0620185174047946,0.0,0.043593842536211,0.2134426534175872,0.1783010363578796,0.3514160811901092,2.668274100869894e-05,0.5747995972633362,2.607090950012207,0.8111368417739868,atlas_het,graphatlas_c,graphatlas_certified,ov0.25_cross0.30,,certificate,1.0,full,none,False,dot,0,70,95,0.0,95.0,0.7659574747085571,64834,480,6540,0.0,19.393293380737305,cpu,0,0.9673827290534972,0.0486826449632644,0.2029006481170654,1.0,0.0326173454523086,0.0005094892112538,0.9954782724380492,1.515749216079712,0.0460635796189308,0.0890746712684631,0.0001752894459059,0.5157492160797119,0.0040541235357522,0.2683597505092621,1.515749216079712,0.5157492160797119,0.0360561609268188,0.752859890460968,2.5414917104171764e-07,0.011595825664699,0.0326173491775989,0.3217431604862213,0.7144750356674194,1.462499976158142,0.4625000059604645,0.2672318518161773,0.6759180426597595,0.0567326210439205,0.5401262044906616,atlas_het__node_classification__graphatlas_c__split0__seed0__a9b09be22e39,a9b09be22e39,975d6eec98ed54f0,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.8989899158477783,certificate
node_classification,accuracy,0.9616724848747252,0.7659574747085571,0.8989899158477783,,,,,,,,,,,,0.9616724848747252,0.9616724738675958,0.9610197257519753,0.9438202247191012,0.9424650498307644,0.9617178193983325,0.0486381985247135,0.0795859023928642,0.9616904442970114,0.0235497131943702,0.7659574747085571,0.7659574468085106,0.7646840716264259,0.6774193548387096,0.649201462047762,0.7641771141166108,0.4186241030693054,1.367892146110535,0.7646313485323947,0.1874093860387802,0.8989899158477783,0.898989898989899,0.8964680406212664,0.8387096774193549,0.8488190016478788,0.8975275144766671,0.1631773710250854,0.3308822512626648,0.8985551629619426,0.0682466551661491,,,,0.92592591047287,0.8666666746139526,0.0234246032232014,0.6051080550098232,0.251642495393753,4.769483652466988e-08,4.384066443208212e-08,5.7220458984375e-06,3.814697265625e-06,0.0,0.0,0.0,0.0,0.8989899158477783,,,,,,,,,0.1056123599410057,0.0620185174047946,0.0,0.043593842536211,0.2134426534175872,0.1783010363578796,0.3514160811901092,2.668274100869894e-05,0.5747995972633362,2.607090950012207,0.8111368417739868,atlas_het,graphatlas_c,graphatlas_certified,ov0.25_cross0.50,,certificate,1.0,full,none,False,dot,0,70,95,0.0,95.0,0.7659574747085571,64834,480,6540,0.0,19.37658214569092,cpu,0,0.9673827290534972,0.0486826449632644,0.2029006481170654,1.0,0.0326173454523086,0.0005094892112538,0.9954782724380492,1.515749216079712,0.0460635796189308,0.0890746712684631,0.0001752894459059,0.5157492160797119,0.0040541235357522,0.2683597505092621,1.515749216079712,0.5157492160797119,0.0360561609268188,0.752859890460968,2.5414917104171764e-07,0.011595825664699,0.0326173491775989,0.3217431604862213,0.7144750356674194,1.462499976158142,0.4625000059604645,0.2672318518161773,0.6759180426597595,0.0567326210439205,0.5401262044906616,atlas_het__node_classification__graphatlas_c__split0__seed0__6c1a1e5c3907,6c1a1e5c3907,975d6eec98ed54f0,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.8989899158477783,certificate
node_classification,accuracy,0.9686411023139954,0.7978723645210266,0.868686854839325,,,,,,,,,,,,0.9686411023139954,0.9686411149825784,0.9693915236886788,0.9519230769230768,0.9530134031481156,0.96878058342477,0.051054447889328,0.0957773923873901,0.968621344653729,0.0355987958610057,0.7978723645210266,0.7978723404255319,0.8029618966607778,0.7058823529411765,0.6976550194132106,0.7995929995929996,0.3521750569343567,0.9027252197265624,0.7962148962148962,0.1697924137115478,0.868686854839325,0.8686868686868687,0.8675328554360813,0.8387096774193549,0.8027002525778812,0.8676287889402644,0.1899119168519973,0.440370500087738,0.8686410129033081,0.0948992222547531,,,,0.8571428656578064,0.9090909361839294,0.0352006941103773,0.6384266263237519,0.2153111845254898,5.5870302162475134e-08,5.067049357876385e-08,7.62939453125e-06,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.868686854839325,,,,,,,,,0.0660986453294754,0.0508387871086597,0.0,0.015259857289493,0.1983945965766906,0.1674401462078094,0.3095446825027466,0.0,0.6411986351013184,2.1816654205322266,1.2584431171417236,atlas_het,graphatlas_c,graphatlas_certified,ov0.40_cross0.00,,certificate,1.0,full,none,False,dot,0,70,95,0.0,95.0,0.7978723645210266,64834,480,6540,0.0,19.62238597869873,cpu,0,0.9398670196533204,0.0828604772686958,0.0933183208107948,1.0,0.0601329989731311,0.0003786922607105,0.9690103530883788,1.5177370309829712,0.0760668441653251,0.1845300197601318,0.000508559285663,0.5177370309829712,0.0070406035520136,0.2824025750160217,1.5177370309829712,0.5177370309829712,0.0457022190093994,0.5950495600700378,2.4412923949057586e-07,0.01871551387012,0.0601329952478408,0.3292018175125122,0.7498980760574341,1.4895833730697632,0.4895833432674408,0.2810347974300384,0.6779201626777649,0.0569388084113597,0.5381816625595093,atlas_het__node_classification__graphatlas_c__split0__seed0__e6aec7acc0d7,e6aec7acc0d7,975d6eec98ed54f0,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.868686854839325,certificate
node_classification,accuracy,0.9686411023139954,0.7978723645210266,0.868686854839325,,,,,,,,,,,,0.9686411023139954,0.9686411149825784,0.9693915236886788,0.9519230769230768,0.9530134031481156,0.96878058342477,0.051054447889328,0.0957773923873901,0.968621344653729,0.0355987958610057,0.7978723645210266,0.7978723404255319,0.8029618966607778,0.7058823529411765,0.6976550194132106,0.7995929995929996,0.3521750569343567,0.9027252197265624,0.7962148962148962,0.1697924137115478,0.868686854839325,0.8686868686868687,0.8675328554360813,0.8387096774193549,0.8027002525778812,0.8676287889402644,0.1899119168519973,0.440370500087738,0.8686410129033081,0.0948992222547531,,,,0.8571428656578064,0.9090909361839294,0.0352006941103773,0.6384266263237519,0.2153111845254898,5.5870302162475134e-08,5.067049357876385e-08,7.62939453125e-06,5.7220458984375e-06,0.0,0.0,0.0,0.0,0.868686854839325,,,,,,,,,0.0660986453294754,0.0508387871086597,0.0,0.015259857289493,0.1983945965766906,0.1674401462078094,0.3095446825027466,0.0,0.6411986351013184,2.1816654205322266,1.2584431171417236,atlas_het,graphatlas_c,graphatlas_certified,ov0.40_cross0.15,,certificate,1.0,full,none,False,dot,0,70,95,0.0,95.0,0.7978723645210266,64834,480,6540,0.0,19.68394684791565,cpu,0,0.9398670196533204,0.0828604772686958,0.0933183208107948,1.0,0.0601329989731311,0.0003786922607105,0.9690103530883788,1.5177370309829712,0.0760668441653251,0.1845300197601318,0.000508559285663,0.5177370309829712,0.0070406035520136,0.2824025750160217,1.5177370309829712,0.5177370309829712,0.0457022190093994,0.5950495600700378,2.4412923949057586e-07,0.01871551387012,0.0601329952478408,0.3292018175125122,0.7498980760574341,1.4895833730697632,0.4895833432674408,0.2810347974300384,0.6779201626777649,0.0569388084113597,0.5381816625595093,atlas_het__node_classification__graphatlas_c__split0__seed0__863876abad12,863876abad12,975d6eec98ed54f0,,,,,,,,,,,,,,,,,unknown,unknown,legacy_unspecified,validation_selected,True,True,test_metric,0.868686854839325,certificate
