epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,cover,balance,sparsity,geometry,total
1,0.04766107723116875,0.04765687137842178,0.04766107723116875,0.04765687137842178,2.8931853771209717,0.021829327568411827,0.0,0.0,0.0,0.0,0.0,0.0,0.04366156831383705,0.12180867791175842,0.0,2.89510440826416
5,0.09673433005809784,0.09681405127048492,0.09673433005809784,0.09681405127048492,2.8498005867004395,0.004595497157424688,0.0,0.0,0.0,0.0,0.0,0.0,0.05816756933927536,0.12270256876945496,0.0,2.8509347438812256
10,0.13821712136268616,0.13829317688941956,0.13821712136268616,0.13829317688941956,2.6178133487701416,0.042698074132204056,0.004134096205234528,0.0030265667010098696,0.001107529504224658,0.0,0.07358349114656448,0.0,0.07461605221033096,0.10218371450901031,0.0,2.6216092109680176
15,0.18623124063014984,0.1885976493358612,0.18623124063014984,0.1885976493358612,2.4982030391693115,0.03211482614278793,0.0,0.0,0.0,0.0,0.0,0.0,0.07697335630655289,0.10154443234205246,0.0,2.500701427459717
20,0.19629302620887756,0.1930103302001953,0.19629302620887756,0.1930103302001953,2.384768486022949,0.03961591795086861,0.07663385570049286,0.039153896272182465,0.037479955703020096,0.0,0.11639382690191269,0.0,0.06361889839172363,0.104276642203331,0.0,2.389518976211548
25,0.26707854866981506,0.2612302601337433,0.26707854866981506,0.2612302601337433,2.308871269226074,0.07308878004550934,0.0,0.0,0.0,0.0,0.0,0.0,0.04530312120914459,0.10531831532716751,0.0,2.313278913497925
30,0.2536628246307373,0.2479039877653122,0.2536628246307373,0.2479039877653122,2.24426007270813,0.13762934505939484,0.14714229106903076,0.06719327718019485,0.0799490213394165,0.0,0.17633715271949768,0.0,0.0304024089127779,0.10737442225217819,0.0,2.255065441131592
35,0.3262135982513428,0.32530227303504944,0.3262135982513428,0.32530227303504944,2.0924572944641113,0.14956392347812653,0.0,0.0,0.0,0.0,0.0,0.0,0.029820527881383896,0.10641612112522125,0.0,2.100616693496704
40,0.3894086480140686,0.38690319657325745,0.3894086480140686,0.38690319657325745,1.9414851665496826,0.20766954123973846,0.11834168434143066,0.04444895684719086,0.07389272749423981,0.0,0.3909640908241272,0.0,0.024649757891893387,0.10237425565719604,0.0,1.957596778869629
45,0.4522506594657898,0.4502691924571991,0.4522506594657898,0.4502691924571991,1.824428677558899,0.19481314718723297,0.0,0.0,0.0,0.0,0.0,0.0,0.017930038273334503,0.10213341563940048,0.0,1.8347697257995605
50,0.499558687210083,0.5003088712692261,0.499558687210083,0.5003088712692261,1.6911568641662598,0.21210554242134094,0.6195001006126404,0.3393673002719879,0.28013280034065247,0.0,0.8672958612442017,0.0,0.01614571176469326,0.10479584336280823,0.0,1.71723473072052
55,0.5260370373725891,0.5246668457984924,0.5260370373725891,0.5246668457984924,1.5690655708312988,0.2689429223537445,0.0,0.0,0.0,0.0,0.0,0.0,0.01632176898419857,0.10333714634180069,0.0,1.583111047744751
60,0.5556928515434265,0.5547612905502319,0.5556928515434265,0.5547612905502319,1.4571170806884766,0.2441161870956421,1.1167347431182861,0.6328169107437134,0.48391783237457275,0.0,0.6351133584976196,0.0,0.01309874840080738,0.1027355045080185,0.0,1.4874204397201538
65,0.5802294611930847,0.5899744033813477,0.5802294611930847,0.5899744033813477,1.3590011596679688,0.23250696063041687,0.0,0.0,0.0,0.0,0.0,0.0,0.017368638888001442,0.09921805560588837,0.0,1.3712093830108643
