epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,cover,balance,sparsity,geometry,total
1,0.04766107723116875,0.04765687137842178,0.04766107723116875,0.04765687137842178,2.8931825160980225,0.021829327568411827,0.0,0.0,0.0,0.0,0.0,0.0,0.04366156831383705,0.12180867791175842,0.0,2.895101547241211
5,0.09673433005809784,0.09681405127048492,0.09673433005809784,0.09681405127048492,2.850245475769043,0.0042467969469726086,0.0,0.0,0.0,0.0,0.0,0.0,0.061158470809459686,0.12309359014034271,0.0,2.851379156112671
10,0.13821712136268616,0.13829317688941956,0.13821712136268616,0.13829317688941956,2.657534599304199,0.030320437625050545,0.0,0.0,0.0,0.0,0.06315477192401886,0.0,0.06892560422420502,0.10273490846157074,0.0,2.6605405807495117
15,0.24254192411899567,0.24172624945640564,0.24254192411899567,0.24172624945640564,2.5488831996917725,0.04923221468925476,0.0,0.0,0.0,0.0,0.0,0.0,0.06658255308866501,0.10337895154953003,0.0,2.552194595336914
20,0.12162400782108307,0.11923043429851532,0.12162400782108307,0.11923043429851532,2.510998010635376,0.11533914506435394,0.0,0.0,0.0,0.0,0.10619818419218063,0.0,0.05993364378809929,0.10873964428901672,0.0,2.518670082092285
25,0.16575463116168976,0.1640632003545761,0.16575463116168976,0.1640632003545761,2.386322021484375,0.23578162491321564,0.0,0.0,0.0,0.0,0.0,0.0,0.05210021138191223,0.10637563467025757,0.0,2.3989036083221436
30,0.21588702499866486,0.21180832386016846,0.21588702499866486,0.21180832386016846,2.313235282897949,0.18185655772686005,0.0,0.0,0.0,0.0,0.10027986019849777,0.0,0.053894300013780594,0.10942598432302475,0.0,2.3241474628448486
35,0.3256840109825134,0.31806549429893494,0.3256840109825134,0.31806549429893494,2.219447612762451,0.12847506999969482,0.0,0.0,0.0,0.0,0.0,0.0,0.050677619874477386,0.10933653265237808,0.0,2.2266714572906494
40,0.33874669671058655,0.3360691964626312,0.33874669671058655,0.3360691964626312,2.065640926361084,0.14159852266311646,0.0,0.0,0.0,0.0,0.5661258101463318,0.0,0.04094662517309189,0.10705597698688507,0.0,2.0791220664978027
45,0.4098852574825287,0.4064072072505951,0.4098852574825287,0.4064072072505951,1.9248512983322144,0.192766010761261,0.0,0.0,0.0,0.0,0.0,0.0,0.03498680144548416,0.10624536871910095,0.0,1.9351956844329834
50,0.4090026319026947,0.4065837264060974,0.4090026319026947,0.4065837264060974,1.8170413970947266,0.25172558426856995,0.0,0.0,0.0,0.0,0.7909502387046814,0.0,0.03671441227197647,0.10379205644130707,0.0,1.8382396697998047
55,0.5020300149917603,0.49774953722953796,0.5020300149917603,0.49774953722953796,1.7021814584732056,0.2555106282234192,0.0,0.0,0.0,0.0,0.0,0.0,0.03723989054560661,0.10238156467676163,0.0,1.7156550884246826
