epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,cover,balance,sparsity,geometry,total
1,0.11032656580209732,0.1104050874710083,0.11032656580209732,0.1104050874710083,2.8960301876068115,0.0342964343726635,0.0,0.0,0.0,0.0,0.0,0.0,0.06247368082404137,0.12489055842161179,0.0,2.898681640625
5,0.11032656580209732,0.1104050874710083,0.11032656580209732,0.1104050874710083,2.8541829586029053,0.007629568688571453,0.0,0.0,0.0,0.0,0.0,0.0,0.05663054436445236,0.11661232262849808,0.0,2.855430841445923
10,0.13821712136268616,0.13829317688941956,0.13821712136268616,0.13829317688941956,2.6395838260650635,0.02551417611539364,0.003138274420052767,0.000928333611227572,0.002209940692409873,0.0,0.15414513647556305,0.0,0.094707190990448,0.08372949808835983,0.0,2.643324613571167
15,0.178993821144104,0.18180213868618011,0.178993821144104,0.18180213868618011,2.5054197311401367,0.05435238033533096,0.0,0.0,0.0,0.0,0.0,0.0,0.0862586498260498,0.09684666991233826,0.0,2.5090529918670654
20,0.2854368984699249,0.2894713580608368,0.2854368984699249,0.2894713580608368,2.3849539756774902,0.10401548445224762,0.10615269839763641,0.025393744930624962,0.0807589516043663,0.0,0.21783846616744995,0.0,0.07382795214653015,0.10560518503189087,0.0,2.394291877746582
25,0.3182700574398041,0.3218604028224945,0.3182700574398041,0.3218604028224945,2.2571933269500732,0.07810521870851517,0.0,0.0,0.0,0.0,0.0,0.0,0.060938119888305664,0.11052270978689194,0.0,2.261955976486206
30,0.32974404096603394,0.33712825179100037,0.32974404096603394,0.33712825179100037,2.103668212890625,0.12555499374866486,0.355200856924057,0.09472546726465225,0.26047539710998535,0.0,0.4740643799304962,0.0,0.055153995752334595,0.108612060546875,0.0,2.1190576553344727
35,0.39364516735076904,0.3989056646823883,0.39364516735076904,0.3989056646823883,1.9950802326202393,0.16377393901348114,0.0,0.0,0.0,0.0,0.0,0.0,0.04938219115138054,0.10623786598443985,0.0,2.004047155380249
40,0.4061782658100128,0.41099637746810913,0.4061782658100128,0.41099637746810913,1.8716336488723755,0.20311887562274933,0.8995896577835083,0.21672168374061584,0.6828679442405701,0.0,0.762162983417511,0.0,0.04102568328380585,0.10392621159553528,0.0,1.8991318941116333
45,0.45172107219696045,0.45547613501548767,0.45172107219696045,0.45547613501548767,1.7530953884124756,0.213479146361351,0.0,0.0,0.0,0.0,0.0,0.0,0.031505655497312546,0.10285506397485733,0.0,1.7644411325454712
50,0.49302735924720764,0.49889683723449707,0.49302735924720764,0.49889683723449707,1.6104716062545776,0.23686525225639343,1.4194279909133911,0.34803152084350586,1.0713964700698853,0.0,0.907379150390625,0.0,0.03085368685424328,0.10067768394947052,0.0,1.646240472793579
55,0.5129743814468384,0.5198129415512085,0.5129743814468384,0.5198129415512085,1.4884953498840332,0.22052040696144104,0.0,0.0,0.0,0.0,0.0,0.0,0.03195454925298691,0.0969814881682396,0.0,1.5001660585403442
60,0.5657545924186707,0.5751478672027588,0.5657545924186707,0.5751478672027588,1.373310923576355,0.16595116257667542,0.7241258025169373,0.2670563757419586,0.45706942677497864,0.0,0.7118099927902222,0.0,0.027769537642598152,0.09501177072525024,0.0,1.396581768989563
65,0.5948808193206787,0.611066997051239,0.5948808193206787,0.611066997051239,1.2838237285614014,0.13693612813949585,0.0,0.0,0.0,0.0,0.0,0.0,0.021962132304906845,0.09485405683517456,0.0,1.2912545204162598
70,0.6151809096336365,0.6363074779510498,0.6151809096336365,0.6363074779510498,1.191974401473999,0.14063970744609833,0.6906554102897644,0.3748936057090759,0.3157618045806885,0.0,0.661566972732544,0.0,0.02081749588251114,0.08934660255908966,0.0,1.2130793333053589
75,0.6342453360557556,0.6499868035316467,0.6342453360557556,0.6499868035316467,1.1187409162521362,0.12038176506757736,0.0,0.0,0.0,0.0,0.0,0.0,0.020788105204701424,0.08493851125240326,0.0,1.125288724899292
80,0.6487202048301697,0.6644603610038757,0.6487202048301697,0.6644603610038757,1.069062352180481,0.13407669961452484,0.8884897232055664,0.35123685002326965,0.5372528433799744,0.0,0.6397168040275574,0.0,0.02109185792505741,0.08260024338960648,0.0,1.091566801071167
85,0.6658428907394409,0.6827288269996643,0.6658428907394409,0.6827288269996643,1.0194122791290283,0.12087512016296387,0.0,0.0,0.0,0.0,0.0,0.0,0.021732136607170105,0.08245018869638443,0.0,1.0259770154953003
90,0.6757281422615051,0.697114109992981,0.6757281422615051,0.697114109992981,0.9736854434013367,0.1170109286904335,0.34374672174453735,0.15371014177799225,0.1900365799665451,0.0,0.748796820640564,0.0,0.02255295403301716,0.08004314452409744,0.0,0.9909744262695312
95,0.677669882774353,0.7014385461807251,0.677669882774353,0.7014385461807251,0.9676496982574463,0.1115977093577385,0.0,0.0,0.0,0.0,0.0,0.0,0.02223394438624382,0.07868940383195877,0.0,0.9737342000007629
100,0.6815533638000488,0.7085870504379272,0.6815533638000488,0.7085870504379272,0.9310106039047241,0.11756148934364319,0.6861298084259033,0.22362491488456726,0.46250492334365845,0.0,0.8833677172660828,0.0,0.022141553461551666,0.07745072990655899,0.0,0.9530816078186035
105,0.6935569047927856,0.7215603590011597,0.6935569047927856,0.7215603590011597,0.886665940284729,0.12701326608657837,0.0,0.0,0.0,0.0,0.0,0.0,0.020675579085946083,0.07849865406751633,0.0,0.8935124278068542
110,0.7039717435836792,0.7327685356140137,0.7039717435836792,0.7327685356140137,0.8579926490783691,0.1283901333808899,0.6401982307434082,0.2834738492965698,0.3567243814468384,0.0,0.9981623291969299,0.0,0.021212879568338394,0.07743318378925323,0.0,0.8812889456748962
115,0.7083848118782043,0.7412408590316772,0.7083848118782043,0.7412408590316772,0.8226693272590637,0.11698515713214874,0.0,0.0,0.0,0.0,0.0,0.0,0.020860930904746056,0.07683921605348587,0.0,0.829007089138031
120,0.7126213312149048,0.7502427101135254,0.7126213312149048,0.7502427101135254,0.7904594540596008,0.11722461134195328,0.6043615341186523,0.25918519496917725,0.3451763391494751,0.0,0.9951493740081787,0.0,0.02049914561212063,0.0770612433552742,0.0,0.8128035664558411
125,0.7191526889801025,0.758538544178009,0.7191526889801025,0.758538544178009,0.7634268403053284,0.11648928374052048,0.0,0.0,0.0,0.0,0.0,0.0,0.020271841436624527,0.07765895873308182,0.0,0.7697409987449646
130,0.7184466123580933,0.7651575207710266,0.7184466123580933,0.7651575207710266,0.7450136542320251,0.11126792430877686,0.5818428993225098,0.18846561014652252,0.39337727427482605,0.0,1.0203534364700317,0.0,0.019865509122610092,0.07729793339967728,0.0,0.7670847773551941
135,0.7240952849388123,0.77036452293396,0.7240952849388123,0.77036452293396,0.7079963088035583,0.10489309579133987,0.0,0.0,0.0,0.0,0.0,0.0,0.019819259643554688,0.07674670219421387,0.0,0.7137238383293152
140,0.7278022766113281,0.7788368463516235,0.7278022766113281,0.7788368463516235,0.7024716138839722,0.10772037506103516,0.8025564551353455,0.36313557624816895,0.4394208788871765,0.0,1.1126222610473633,0.0,0.01933136023581028,0.07619798928499222,0.0,0.7274870872497559
145,0.7322153449058533,0.7837790250778198,0.7322153449058533,0.7837790250778198,0.6790997385978699,0.10525314509868622,0.0,0.0,0.0,0.0,0.0,0.0,0.01944681815803051,0.07597118616104126,0.0,0.6848394870758057
150,0.731509268283844,0.7877504229545593,0.731509268283844,0.7877504229545593,0.6548743844032288,0.10171614587306976,0.810370922088623,0.39015915989875793,0.4202117919921875,0.0,1.1855723857879639,0.0,0.019458845257759094,0.0755663588643074,0.0,0.6803947687149048
155,0.7313327193260193,0.7970170378684998,0.7313327193260193,0.7970170378684998,0.640529215335846,0.10293550044298172,0.0,0.0,0.0,0.0,0.0,0.0,0.019382759928703308,0.07547301054000854,0.0,0.6461502909660339
160,0.7357457876205444,0.8037242889404297,0.7357457876205444,0.8037242889404297,0.6179615259170532,0.10282151401042938,0.8584479093551636,0.42417895793914795,0.434268981218338,0.0,1.2202028036117554,0.0,0.019028015434741974,0.07572720944881439,0.0,0.6443628668785095
165,0.7375110387802124,0.8094608187675476,0.7375110387802124,0.8094608187675476,0.6023872494697571,0.10334241390228271,0.0,0.0,0.0,0.0,0.0,0.0,0.01995082199573517,0.07497711479663849,0.0,0.6080290675163269
170,0.7394527792930603,0.8151090145111084,0.7394527792930603,0.8151090145111084,0.5849871635437012,0.10397005826234818,0.6653797626495361,0.31335678696632385,0.35202300548553467,0.0,1.1752222776412964,0.0,0.01899142377078533,0.07529593259096146,0.0,0.6090630888938904
175,0.7387466430664062,0.823581337928772,0.7387466430664062,0.823581337928772,0.5634974837303162,0.1008809357881546,0.0,0.0,0.0,0.0,0.0,0.0,0.01899103820323944,0.07498040050268173,0.0,0.569011390209198
180,0.7392762303352356,0.8242873549461365,0.7392762303352356,0.8242873549461365,0.560084342956543,0.10674495995044708,0.7904350757598877,0.3984629213809967,0.391972154378891,0.0,1.1739442348480225,0.0,0.018636727705597878,0.0752536803483963,0.0,0.5855348110198975
185,0.7359223365783691,0.8291413187980652,0.7359223365783691,0.8291413187980652,0.5428443551063538,0.10728804022073746,0.0,0.0,0.0,0.0,0.0,0.0,0.018741147592663765,0.0751987174153328,0.0,0.548678457736969
190,0.7433362603187561,0.8350542783737183,0.7433362603187561,0.8350542783737183,0.5300308465957642,0.10958167910575867,1.0106563568115234,0.39852824807167053,0.6121281385421753,0.0,1.4539510011672974,0.0,0.01989561878144741,0.07392527908086777,0.0,0.5606250762939453
195,0.7403354048728943,0.8446739315986633,0.7403354048728943,0.8446739315986633,0.5224236845970154,0.10954183340072632,0.0,0.0,0.0,0.0,0.0,0.0,0.0186054278165102,0.07443314790725708,0.0,0.528365969657898
200,0.7390997409820557,0.8447621464729309,0.7390997409820557,0.8447621464729309,0.4982467293739319,0.11274401843547821,0.9084026217460632,0.3834908604621887,0.5249117612838745,0.0,1.0950334072113037,0.0,0.019055979326367378,0.07372559607028961,0.0,0.5243822932243347
205,0.7406884431838989,0.8518224358558655,0.7406884431838989,0.8518224358558655,0.494488000869751,0.1135115996003151,0.0,0.0,0.0,0.0,0.0,0.0,0.01903037540614605,0.07329829782247543,0.0,0.5006251931190491
210,0.7438658475875854,0.856235146522522,0.7438658475875854,0.856235146522522,0.48782119154930115,0.11526710540056229,0.8637807369232178,0.342728853225708,0.5210518836975098,0.0,1.1993110179901123,0.0,0.019307564944028854,0.0729101374745369,0.0,0.514676570892334
215,0.7401588559150696,0.8555290699005127,0.7401588559150696,0.8555290699005127,0.47429049015045166,0.11473756283521652,0.0,0.0,0.0,0.0,0.0,0.0,0.019057882949709892,0.07359465211629868,0.0,0.48049062490463257
220,0.7438658475875854,0.8662077784538269,0.7438658475875854,0.8662077784538269,0.46331068873405457,0.11539308726787567,1.2362374067306519,0.5655418634414673,0.6706955432891846,0.0,1.2595489025115967,0.0,0.01875414326786995,0.07316897809505463,0.0,0.49449777603149414
225,0.7449249625205994,0.8722972869873047,0.7449249625205994,0.8722972869873047,0.4537675082683563,0.11391617357730865,0.0,0.0,0.0,0.0,0.0,0.0,0.01921304687857628,0.0726412832736969,0.0,0.45992258191108704
230,0.7477493286132812,0.8742388486862183,0.7477493286132812,0.8742388486862183,0.43980672955513,0.11377671360969543,0.8758161067962646,0.4098420739173889,0.46597403287887573,0.0,1.2174681425094604,0.0,0.01862753927707672,0.07329666614532471,0.0,0.4668880105018616
