epoch,val_metric,train_metric,val_accuracy,train_accuracy,task,reconstruction,cocycle,inverse_cycle,path_consistency,triple_cocycle,metric,cover,balance,sparsity,geometry,total
1,0.04766107723116875,0.04765687137842178,0.04766107723116875,0.04765687137842178,2.8931825160980225,0.021829327568411827,0.0,0.0,0.0,0.0,0.0,0.0,0.04366156831383705,0.12180867791175842,0.0,2.895101547241211
5,0.09673433005809784,0.09681405127048492,0.09673433005809784,0.09681405127048492,2.850245475769043,0.0042467969469726086,0.0,0.0,0.0,0.0,0.0,0.0,0.061158470809459686,0.12309359014034271,0.0,2.851379156112671
10,0.13821712136268616,0.13829317688941956,0.13821712136268616,0.13829317688941956,2.657534599304199,0.030320437625050545,0.0017085722647607327,0.0008879376691766083,0.0008206345373764634,0.0,0.0,0.0,0.06892560422420502,0.10273490846157074,0.0,2.659926176071167
15,0.2407766878604889,0.24128498136997223,0.2407766878604889,0.24128498136997223,2.549830436706543,0.04959068074822426,0.0,0.0,0.0,0.0,0.0,0.0,0.06874800473451614,0.10314377397298813,0.0,2.5531694889068604
20,0.11985877901315689,0.11817139387130737,0.11985877901315689,0.11817139387130737,2.513580322265625,0.11673716455698013,0.02095450647175312,0.007675756234675646,0.013278750702738762,0.0,0.0,0.0,0.05990692228078842,0.10870228707790375,0.0,2.520469903945923
25,0.16187113523483276,0.16062131524085999,0.16187113523483276,0.16062131524085999,2.3861024379730225,0.2426900416612625,0.0,0.0,0.0,0.0,0.0,0.0,0.05098797008395195,0.10655871033668518,0.0,2.399024724960327
30,0.21606354415416718,0.211455300450325,0.21606354415416718,0.211455300450325,2.3144326210021973,0.18226756155490875,0.09383563697338104,0.03470340743660927,0.05913223326206207,0.0,0.0,0.0,0.05338362604379654,0.1101437509059906,0.0,2.3253021240234375
35,0.3212709426879883,0.3164769411087036,0.3212709426879883,0.3164769411087036,2.2259504795074463,0.137469083070755,0.0,0.0,0.0,0.0,0.0,0.0,0.050427861511707306,0.1108010858297348,0.0,2.2336301803588867
40,0.3442188799381256,0.3408348858356476,0.3442188799381256,0.3408348858356476,2.069453001022339,0.14418482780456543,0.16587184369564056,0.07819688320159912,0.08767496049404144,0.0,0.0,0.0,0.045131005346775055,0.1075914278626442,0.0,2.0790843963623047
45,0.4052956700325012,0.405171662569046,0.4052956700325012,0.405171662569046,1.9308180809020996,0.20639291405677795,0.0,0.0,0.0,0.0,0.0,0.0,0.04131382703781128,0.10496259480714798,0.0,1.9418690204620361
50,0.4187113642692566,0.4163798391819,0.4187113642692566,0.4163798391819,1.8227241039276123,0.23659734427928925,0.5844475030899048,0.17023685574531555,0.4142106771469116,0.0,0.0,0.0,0.04683364927768707,0.09818252176046371,0.0,1.8411234617233276
