number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
26,0.38092106580734253,COMPLETE,cross_entropy,0.0,l2,256,0.002743682671913969,2,1,38,2.0,0.00036714702068406727,actor,0.3835526406764984,accuracy,"{'learning_rate': 0.002743682671913969, 'weight_decay': 0.00036714702068406727, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 1, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'l2', 'seed': 38}",outputs\oracle_upper_bound\runs\actor\trial_0026,stratified_60_20_20,0.38092106580734253,0.39144739508628845
27,0.41842105984687805,COMPLETE,cross_entropy,0.0,none,256,0.002414817882953579,2,3,449,1.0,0.00017674102316776397,actor,0.35592105984687805,accuracy,"{'learning_rate': 0.002414817882953579, 'weight_decay': 0.00017674102316776397, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 1.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'none', 'seed': 449}",outputs\oracle_upper_bound\runs\actor\trial_0027,stratified_60_20_20,0.41842105984687805,0.4065789580345154
28,0.401973694562912,COMPLETE,cross_entropy,0.0,none,256,0.0013044852817884866,2,3,781,1.0,0.0011631917990618712,actor,0.38486844301223755,accuracy,"{'learning_rate': 0.0013044852817884866, 'weight_decay': 0.0011631917990618712, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 1.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'none', 'seed': 781}",outputs\oracle_upper_bound\runs\actor\trial_0028,stratified_60_20_20,0.401973694562912,0.40526318550109863
29,0.37171053886413574,COMPLETE,weighted_ce,0.0,none,256,0.0014781734946679402,2,2,349,0.5,4.493203931181727e-05,actor,0.36250001192092896,accuracy,"{'learning_rate': 0.0014781734946679402, 'weight_decay': 4.493203931181727e-05, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 349}",outputs\oracle_upper_bound\runs\actor\trial_0029,stratified_60_20_20,0.37171053886413574,0.37368422746658325
30,0.37763160467147827,PRUNED,cross_entropy,0.2,none,256,0.0032358894531968447,2,3,18,1.0,0.0010522532583089224,,0.40460526943206787,,,,,,
31,0.36973685026168823,PRUNED,weighted_ce,0.4,none,256,0.003878035926915321,2,1,82,2.0,2.475980179956692e-05,,0.35986843705177307,,,,,,
32,0.3907894790172577,COMPLETE,cross_entropy,0.0,none,256,0.001583381929415606,2,3,776,0.5,0.0005979666997394388,actor,0.35855263471603394,accuracy,"{'learning_rate': 0.001583381929415606, 'weight_decay': 0.0005979666997394388, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'cross_entropy', 'feature_normalization': 'none', 'seed': 776}",outputs\oracle_upper_bound\runs\actor\trial_0032,stratified_60_20_20,0.3907894790172577,0.37763160467147827
33,0.2565789520740509,PRUNED,cross_entropy,0.0,none,256,0.004659966968565471,2,3,152,2.0,0.00010838706209813142,,0.2611842155456543,,,,,,
34,0.2585526406764984,PRUNED,cross_entropy,0.0,none,128,0.0023323022472070704,2,3,436,1.0,3.8317729021368744e-05,,0.2585526406764984,,,,,,
35,0.35394737124443054,COMPLETE,cross_entropy,0.0,layernorm,256,0.003534756696419642,2,2,647,1.0,0.003029821087764855,actor,0.3500000238418579,accuracy,"{'learning_rate': 0.003534756696419642, 'weight_decay': 0.003029821087764855, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 1.0, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 647}",outputs\oracle_upper_bound\runs\actor\trial_0035,stratified_60_20_20,0.35394737124443054,0.378947377204895
36,0.31973686814308167,COMPLETE,weighted_ce,0.0,layernorm,256,0.0001283872763647947,1,2,310,1.0,0.0006951073199335466,actor,0.31381580233573914,accuracy,"{'learning_rate': 0.0001283872763647947, 'weight_decay': 0.0006951073199335466, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 1.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 310}",outputs\oracle_upper_bound\runs\actor\trial_0036,stratified_60_20_20,0.31973686814308167,0.3453947603702545
37,0.2585526406764984,PRUNED,cross_entropy,0.1,none,128,0.0012139920826376338,2,3,877,1.0,0.003036453593750174,,0.2585526406764984,,,,,,
38,0.38026317954063416,PRUNED,cross_entropy,0.0,l2,256,0.00488905219279482,2,3,388,1.0,0.00033240587972039004,,0.36052632331848145,,,,,,
39,0.3546052873134613,COMPLETE,focal,0.6,none,256,0.0010218683396235957,2,3,854,1.0,0.00021376806400687072,actor,0.366447389125824,accuracy,"{'learning_rate': 0.0010218683396235957, 'weight_decay': 0.00021376806400687072, 'dropout': 0.6, 'hidden_dim': 256, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 1.0, 'classification_loss': 'focal', 'feature_normalization': 'none', 'seed': 854}",outputs\oracle_upper_bound\runs\actor\trial_0039,stratified_60_20_20,0.3546052873134613,0.38881582021713257
40,0.41184213757514954,COMPLETE,weighted_ce,0.2,none,256,0.0015531287410778872,2,3,520,4.0,0.0006140230922073943,actor,0.40526318550109863,accuracy,"{'learning_rate': 0.0015531287410778872, 'weight_decay': 0.0006140230922073943, 'dropout': 0.2, 'hidden_dim': 256, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 4.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'none', 'seed': 520}",outputs\oracle_upper_bound\runs\actor\trial_0040,stratified_60_20_20,0.41184213757514954,0.4151315987110138
