number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay
0,,FAIL,focal,0.1,l2,64,0.00021708797465744292,2,3,46,2.0,0.004434664071892905
1,,FAIL,focal,0.6,l2,64,0.0002737259039695737,1,3,651,4.0,0.00010767456422886725
2,,FAIL,weighted_ce,0.0,l2,128,0.0009957679929978964,1,1,915,2.0,2.4394514003860556e-06
3,,FAIL,focal,0.4,layernorm,128,0.0010355855660097424,1,4,689,1.0,0.007180982059650466
4,,FAIL,cross_entropy,0.4,none,64,0.0038703881654826387,1,3,285,0.5,0.0006077913604766735
5,,FAIL,focal,0.6,layernorm,128,0.0010435494050002009,1,1,145,1.0,0.0020309986978852036
6,,FAIL,weighted_ce,0.2,layernorm,64,0.0003190047607113999,1,1,483,4.0,0.0033450450749978986
7,,FAIL,cross_entropy,0.1,l2,64,0.0001118934052983261,2,3,671,0.0,5.634112461977682e-06
