source_id,paper_title,venue,year,table_id,source_url,dataset,dataset_version,task,metric,feature_condition,split_protocol,model,mean,std,unit,n_runs,comparison_level,notes
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,amazon_ratings,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,GCN,48.7,0.63,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,minesweeper,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GCN,89.75,0.52,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,tolokers,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GCN,83.64,0.67,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,questions,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GCN,76.09,1.27,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,roman_empire,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,SAGE,85.74,0.67,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,amazon_ratings,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,SAGE,53.63,0.39,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,minesweeper,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,SAGE,93.51,0.57,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,tolokers,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,SAGE,82.43,0.44,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,questions,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,SAGE,76.44,0.62,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,roman_empire,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,GAT,80.87,0.3,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,amazon_ratings,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,GAT,49.09,0.63,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,minesweeper,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GAT,92.01,0.68,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,tolokers,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GAT,83.7,0.47,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,questions,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GAT,77.43,1.2,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,roman_empire,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,GAT-sep,88.75,0.41,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,amazon_ratings,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,GAT-sep,52.7,0.62,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,minesweeper,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GAT-sep,93.91,0.35,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,tolokers,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GAT-sep,83.78,0.43,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,questions,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GAT-sep,76.79,0.71,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,roman_empire,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,GT,86.51,0.73,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,amazon_ratings,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,GT,51.17,0.66,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,minesweeper,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GT,91.85,0.76,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,tolokers,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GT,83.23,0.64,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,questions,hgb_iclr2023_v1,node_classification,roc_auc,native,hgb_fixed_10,GT,77.95,0.68,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
platonov_iclr2023_official,A Critical Look at the Evaluation of GNNs under Heterophily: Are We Really Making Progress?,ICLR,2023,official results notebook,https://github.com/yandex-research/heterophilous-graphs/blob/main/notebooks/results.ipynb,roman_empire,hgb_iclr2023_v1,node_classification,accuracy,native,hgb_fixed_10,GT-sep,87.32,0.39,percent,10,exact,Official repository aggregate. Layer count selected by validation performance.
