source_id,paper_title,venue,year,table_id,source_url,dataset,dataset_version,task,metric,feature_condition,split_protocol,model,mean,std,unit,n_runs,comparison_level,notes
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,H2GCN,73.86,0.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,H2GCN,50.46,0.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,73.33,2.8,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,82.5,5.0,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,80.35,2.1,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,73.79,0.6,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,FAGCN,47.5,0.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,71.64,1.3,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,73.41,4.9,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_wisconsin,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,74.2,5.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_actor,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,72.44,1.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_amazon,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,JacobiConv,48.77,0.2,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_cornell,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,67.62,2.4,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
hetgb_2025_table2,HeTGB: A Comprehensive Benchmark for Heterophilic Text-Attributed Graphs,arXiv,2025,Table 2,https://arxiv.org/abs/2503.04822,hetgb_texas,hetgb_2025,node_classification,accuracy,shallow_features,hetgb_paper,GBK-GNN,79.55,2.5,percent,,contextual,Feature condition differs unless GraphAtlas uses the exact released embeddings and split files.
